,cinema_name,15_total_route,15_total_duration,15_walk_to,15_walk_from,15_total_changes,18_total_route,18_total_duration,18_walk_to,18_walk_from,18_total_changes,21_total_route,21_total_duration,21_walk_to,21_walk_from,21_total_changes,car_duration,foot_duration,area,start_location,distance_start_centroid,distance_start_cinema,geometry,average duration,15_speed,18_speed,21_speed,average speed,average duration difference to car,15_fastest_mode,15_trip_duration,15_fastest_overall_mode,15_transit_dur,15_walk_share,18_fastest_mode,18_trip_duration,18_fastest_overall_mode,18_transit_dur,18_walk_share,21_fastest_mode,21_trip_duration,21_fastest_overall_mode,21_transit_dur,21_walk_share,average transit duration,average walk share,average changes,osm_cinemas,area average changes,level,level_dummy,cinemas,population aggr,population density,built-up area,transit departures,transit stops
10,CasaBlanca Art House,CasaBlanca Art House_BadSodenRobert-Stolz-StraßeNBadSodenBf_15.csv,378.5,36.8,41.7,0,CasaBlanca Art House_BadSodenRobert-Stolz-StraßeNBadSodenBf_18.csv,378.5,36.8,41.7,0,CasaBlanca Art House_BadSodenRobert-Stolz-StraßeNBadSodenBf_21.csv,378.5,36.8,41.7,0,126.6,790.5,Bad Soden am Taunus,POINT (8.508637697683524 50.137774783376535),2226.869958681585,967.1838941911336,,1135.5,2.555307514375518,2.555307514375518,2.555307514375518,2.555307514375518,1008.9,transit,378.5,car,300.0,20.73976221928666,transit,378.5,car,300.0,20.73976221928666,transit,378.5,car,300.0,20.73976221928666,900.0,20.73976221928666,0,1,0.038461538461538464,mid,2,1,23162,1852.96,40.8,2117,33
11,CasaBlanca Art House,CasaBlanca Art House_BadSodenFriedrich-Uhde-Str.NBahnhof_15.csv,583.6,361.9,41.7,0,CasaBlanca Art House_BadSodenFriedrich-Uhde-Str.NBahnhof_18.csv,583.6,361.9,41.7,0,CasaBlanca Art House_BadSodenFriedrich-Uhde-Str.NBahnhof_21.csv,583.6,361.9,41.7,0,184.1,746.3,Bad Soden am Taunus,POINT (8.50936523244458 50.13938000254652),2136.659767984762,869.1567828897724,,1750.8000000000002,1.4893022325047505,1.4893022325047505,1.4893022325047505,1.4893022325047505,1566.7000000000005,transit,583.6,car,180.00000000000006,69.15695681973955,transit,583.6,car,180.00000000000006,69.15695681973955,transit,583.6,car,180.00000000000006,69.15695681973955,540.0000000000002,69.15695681973955,0,1,0.038461538461538464,mid,2,1,23162,1852.96,40.8,2117,33
12,CasaBlanca Art House,CasaBlanca Art House_BadSodenBahnhofD_SalinenNKoe(E)_15.csv,336.8,235.1,41.7,0,CasaBlanca Art House_BadSodenBahnhofD_SalinenNKoe(E)_18.csv,455.4,233.7,41.7,0,CasaBlanca Art House_BadSodenBahnhofD_SalinenNKoe(E)_21.csv,455.4,233.7,41.7,0,129.7,618.0,Bad Soden am Taunus,POINT (8.5083612 50.14053110000001),1997.304077236873,730.7705254689107,,1247.6,2.169746215762799,1.6046783607134625,1.6046783607134625,1.7930343123965744,1117.9,transit,336.8,car,60.0,82.1852731591449,transit,455.4,car,180.0,60.47430830039526,transit,455.4,car,180.0,60.47430830039526,420.0,67.71129658664513,0,1,0.038461538461538464,mid,2,1,23162,1852.96,40.8,2117,33
13,CasaBlanca Art House,CasaBlanca Art House_BadSodenMartin-Luther-WegNMünstererweg_15.csv,1060.7,153.1,67.6,0,CasaBlanca Art House_BadSodenMartin-Luther-WegNMünstererweg_18.csv,1060.7,153.1,67.6,0,CasaBlanca Art House_BadSodenMartin-Luther-WegNMünstererweg_21.csv,3791.0,153.1,157.9,0,272.5,1009.3,Bad Soden am Taunus,POINT (8.495009607196144 50.13523046695378),1994.3334593218656,1123.8603346186117,,5912.4,1.059545898575103,1.059545898575103,0.2964548495432898,0.8051822155644986,5639.9,foot,1009.3,car,840.0,20.80701423588196,foot,1009.3,car,840.0,20.80701423588196,foot,1009.3,car,3480.0,8.203640200474808,5160.0,16.60588955741291,0,1,0.038461538461538464,mid,2,1,23162,1852.96,40.8,2117,33
14,CasaBlanca Art House,CasaBlanca Art House_BadSodenReitplatzNSchwalbach_15.csv,921.6,734.0,67.6,0,CasaBlanca Art House_BadSodenReitplatzNSchwalbach_18.csv,921.6,734.0,67.6,0,CasaBlanca Art House_BadSodenReitplatzNSchwalbach_21.csv,921.6,734.0,67.6,0,358.9,1091.7,Bad Soden am Taunus,POINT (8.501969816916251 50.15420105081197),1048.3971168290898,1060.7562282331444,,2764.8,1.1509941712599223,1.1509941712599223,1.1509941712599223,1.1509941712599223,2405.9,transit,921.6,car,120.0,86.97916666666667,transit,921.6,car,120.0,86.97916666666667,transit,921.6,car,120.0,86.97916666666667,360.0,86.97916666666667,0,1,0.038461538461538464,mid,2,1,23162,1852.96,40.8,2117,33
15,CasaBlanca Art House,CasaBlanca Art House_BadSodenBahnhofB_KönigstVkoe(E)_15.csv,1123.8,276.2,67.6,0,CasaBlanca Art House_BadSodenBahnhofB_KönigstVkoe(E)_18.csv,1123.8,276.2,67.6,0,CasaBlanca Art House_BadSodenBahnhofB_KönigstVkoe(E)_21.csv,3854.1,276.2,157.9,0,160.1,610.6,Bad Soden am Taunus,POINT (8.500574217880171 50.139047819377474),1763.3316626404735,629.607345506191,,6101.7,0.5602485722603586,0.5602485722603586,0.1633604072302719,0.4279525172503297,5941.599999999999,foot,610.6,car,780.0,30.592632140950347,foot,610.6,car,780.0,30.592632140950347,foot,610.6,car,3420.0,11.263329960302016,4980.0,24.14953141406757,0,1,0.038461538461538464,mid,2,1,23162,1852.96,40.8,2117,33
16,CasaBlanca Art House,CasaBlanca Art House_BadSodenRosenthalstraßeNSulzbach_15.csv,343.1,241.4,41.7,0,CasaBlanca Art House_BadSodenRosenthalstraßeNSulzbach_18.csv,461.8,240.1,41.7,0,CasaBlanca Art House_BadSodenRosenthalstraßeNSulzbach_21.csv,461.8,240.1,41.7,0,131.9,624.4,Bad Soden am Taunus,POINT (8.507981495942637 50.140114476593624),2008.677480123595,741.1819508397051,,1266.7,2.160250512502784,1.6049847354692617,1.6049847354692617,1.790073327813769,1134.8,transit,343.1,car,60.0,82.51238705916643,transit,461.8,car,180.0,61.0220874837592,transit,461.8,car,180.0,61.0220874837592,420.0,68.1855206755616,0,1,0.038461538461538464,mid,2,1,23162,1852.96,40.8,2117,33
17,CasaBlanca Art House,CasaBlanca Art House_BadSodenMartin-Luther-WegNMünstererweg_15.csv,1286.1,172.8,273.3,0,CasaBlanca Art House_BadSodenMartin-Luther-WegNMünstererweg_18.csv,1286.1,172.8,273.3,0,CasaBlanca Art House_BadSodenMartin-Luther-WegNMünstererweg_21.csv,3923.6,172.8,270.8,0,289.0,1029.0,Bad Soden am Taunus,POINT (8.49500175 50.13492659999999),2026.7577951184844,1155.7965683513116,,6495.799999999999,0.8986832815110114,0.8986832815110114,0.2945755348025567,0.6973140326081932,6206.799999999999,foot,1029.0,car,839.9999999999999,34.68626078843014,foot,1029.0,car,839.9999999999999,34.68626078843014,foot,1029.0,car,3480.0,11.30594352125599,5160.0,26.89282169937209,0,1,0.038461538461538464,mid,2,1,23162,1852.96,40.8,2117,33
18,CasaBlanca Art House,CasaBlanca Art House_BadSodenBahnhofSchieneGleis1+2_15.csv,488.8,327.1,41.7,0,CasaBlanca Art House_BadSodenBahnhofSchieneGleis1+2_18.csv,488.8,327.1,41.7,0,CasaBlanca Art House_BadSodenBahnhofSchieneGleis1+2_21.csv,488.8,327.1,41.7,0,208.3,533.3,Bad Soden am Taunus,POINT (8.508314295010758 50.143819061530834),1771.6655437123045,569.3489756448646,,1466.4,1.1647892300426854,1.1647892300426854,1.1647892300426854,1.1647892300426854,1258.1,transit,488.8,car,120.0,75.45008183306055,transit,488.8,car,120.0,75.45008183306055,transit,488.8,car,120.0,75.45008183306055,360.0,75.45008183306055,0,1,0.038461538461538464,mid,2,1,23162,1852.96,40.8,2117,33
19,CasaBlanca Art House,CasaBlanca Art House_NeuenhainSandwieseNKönigstein_15.csv,1457.8,45.0,272.8,0,CasaBlanca Art House_NeuenhainSandwieseNKönigstein_18.csv,1457.8,45.0,272.8,0,CasaBlanca Art House_NeuenhainSandwieseNKönigstein_21.csv,1348.9,981.3,67.6,0,347.8,2062.5,Bad Soden am Taunus,POINT (8.473027890312384 50.15707812581837),1153.8962252223062,2394.6583591128538,,4264.5,1.6426521876202866,1.6426521876202866,1.775267521026654,1.6868572987557422,3916.7,transit,1457.8,car,1140.0,21.799972561393883,transit,1457.8,car,1140.0,21.799972561393883,transit,1348.9,car,300.0000000000002,77.75965601601304,2580.0,40.45320037960027,0,1,0.038461538461538464,mid,2,1,23162,1852.96,40.8,2117,33
