,cinema_name,15_total_route,15_total_duration,15_walk_to,15_walk_from,15_total_changes,18_total_route,18_total_duration,18_walk_to,18_walk_from,18_total_changes,21_total_route,21_total_duration,21_walk_to,21_walk_from,21_total_changes,car_duration,foot_duration,area,start_location,distance_start_centroid,distance_start_cinema,geometry,average duration,15_speed,18_speed,21_speed,average speed,average duration difference to car,15_fastest_mode,15_trip_duration,15_fastest_overall_mode,15_transit_dur,15_walk_share,18_fastest_mode,18_trip_duration,18_fastest_overall_mode,18_transit_dur,18_walk_share,21_fastest_mode,21_trip_duration,21_fastest_overall_mode,21_transit_dur,21_walk_share,average transit duration,average walk share,average changes,osm_cinemas,area average changes,level,level_dummy,cinemas,population aggr,population density,built-up area,transit departures,transit stops
10,Gloria Kinocenter Ankum,"Gloria Kinocenter Ankum_Tütingen,Eilfort,Mast2_15.csv",892.1,645.9,126.2,0.0,"Gloria Kinocenter Ankum_Tütingen,Eilfort,Mast2_18.csv",892.1,645.9,126.2,0.0,"Gloria Kinocenter Ankum_Tütingen,Eilfort,Mast2_21.csv",892.1,645.9,126.2,0.0,243.4,650.3,Ankum,POINT (7.859671897429235 52.53829655832532),1041.4186516251464,720.92245095542,,2676.3,0.8081184294982849,0.8081184294982849,0.8081184294982849,0.8081184294982848,2432.9,foot,650.3,car,120.0,86.54859320703957,foot,650.3,car,120.0,86.54859320703957,foot,650.3,car,120.0,86.54859320703957,360.0,86.54859320703957,0.0,1,0.0,base,1,1,8035,121.19,12.58,796.0,43.0
11,Gloria Kinocenter Ankum,"Gloria Kinocenter Ankum_Ankum,Schulzentrum,Mast3_15.csv",1311.8,1082.9,108.9,0.0,"Gloria Kinocenter Ankum_Ankum,Schulzentrum,Mast3_18.csv",1311.8,1082.9,108.9,0.0,"Gloria Kinocenter Ankum_Ankum,Schulzentrum,Mast3_21.csv",1389.1,1082.9,126.2,0.0,181.7,1650.4,Ankum,POINT (7.892374048641106 52.531587965704084),1299.0697386166376,1946.99424774684,,4012.7,1.484215770503766,1.484215770503766,1.4016228117103449,1.4566847842392925,3831.0,transit,1311.8,car,119.99999999999976,90.852264064644,transit,1311.8,car,119.99999999999976,90.852264064644,transit,1389.1,car,179.99999999999977,87.04196962061769,419.9999999999993,89.58216591663523,0.0,1,0.0,base,1,1,8035,121.19,12.58,796.0,43.0
12,Gloria Kinocenter Ankum,"Gloria Kinocenter Ankum_Tütingen,Eilfort,Mast2_15.csv",655.9,409.7,126.2,0.0,"Gloria Kinocenter Ankum_Tütingen,Eilfort,Mast2_18.csv",655.9,409.7,126.2,0.0,"Gloria Kinocenter Ankum_Tütingen,Eilfort,Mast2_21.csv",655.9,409.7,126.2,0.0,128.3,414.0,Ankum,POINT (7.864794732192277 52.53904369855238),761.8946166392238,393.8022659628149,,1967.7,0.6003998566287772,0.6003998566287772,0.6003998566287772,0.6003998566287772,1839.4,foot,414.0,car,120.0,81.704528129288,foot,414.0,car,120.0,81.704528129288,foot,414.0,car,120.0,81.704528129288,360.0,81.704528129288,0.0,1,0.0,base,1,1,8035,121.19,12.58,796.0,43.0
13,Gloria Kinocenter Ankum,"Gloria Kinocenter Ankum_Aslage,Wöllermann,Mast1_15.csv",715.6,469.4,126.2,0.0,"Gloria Kinocenter Ankum_Aslage,Wöllermann,Mast1_18.csv",715.6,469.4,126.2,0.0,"Gloria Kinocenter Ankum_Aslage,Wöllermann,Mast1_21.csv",715.6,469.4,126.2,0.0,184.1,467.6,Ankum,POINT (7.862043989774548 52.54038314733144),999.7323393241196,479.0778432460717,,2146.8,0.6694771426021126,0.6694771426021126,0.6694771426021126,0.6694771426021126,1962.7000000000005,foot,467.6,car,120.0,83.23085522638347,foot,467.6,car,120.0,83.23085522638347,foot,467.6,car,120.0,83.23085522638347,360.0,83.23085522638347,0.0,1,0.0,base,1,1,8035,121.19,12.58,796.0,43.0
14,Gloria Kinocenter Ankum,"Gloria Kinocenter Ankum_Ankum,Schulzentrum,Mast3_15.csv",1468.6,822.2,526.4,0.0,"Gloria Kinocenter Ankum_Ankum,Schulzentrum,Mast3_18.csv",1468.6,822.2,526.4,0.0,"Gloria Kinocenter Ankum_Ankum,Schulzentrum,Mast3_21.csv",1359.4,822.2,357.2,0.0,267.1,964.8,Ankum,POINT (7.8806835854922275 52.53642947767907),454.1198996104709,988.5094341142484,,4296.6,0.6730964415867142,0.6730964415867142,0.7271659806637107,0.6911196212790464,4029.500000000001,foot,964.8,car,120.0,91.82895274411004,foot,964.8,car,120.0,91.82895274411004,foot,964.8,car,180.0,86.75886420479624,420.0,90.13892323100544,0.0,1,0.0,base,1,1,8035,121.19,12.58,796.0,43.0
15,Gloria Kinocenter Ankum,"Gloria Kinocenter Ankum_Holsten,Dierker,Mast1_15.csv",1254.1,1007.9,126.2,0.0,"Gloria Kinocenter Ankum_Holsten,Dierker,Mast1_18.csv",1254.1,1007.9,126.2,0.0,"Gloria Kinocenter Ankum_Holsten,Dierker,Mast1_21.csv",1254.1,1007.9,126.2,0.0,169.4,938.5,Ankum,POINT (7.8521438 52.5392997),1562.1022515644315,1159.6848274497193,,3762.3,0.924714797424224,0.924714797424224,0.924714797424224,0.924714797424224,3592.9,foot,938.5,car,120.0,90.431385057013,foot,938.5,car,120.0,90.431385057013,foot,938.5,car,120.0,90.431385057013,360.0,90.431385057013,0.0,1,0.0,base,1,1,8035,121.19,12.58,796.0,43.0
16,Gloria Kinocenter Ankum,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,404.5,3335.9,Ankum,POINT (7.9078293788596605 52.52256185177458),2685.63249725739,3388.80271633157,,,,,,,,foot,3335.9,car,,,foot,3335.9,car,,,foot,3335.9,car,,,,,,1,0.0,base,1,1,8035,121.19,12.58,796.0,43.0
17,Gloria Kinocenter Ankum,"Gloria Kinocenter Ankum_Ankum,Krankenhaus,Mast1_15.csv",1032.0,385.6,526.4,0.0,"Gloria Kinocenter Ankum_Ankum,Krankenhaus,Mast1_18.csv",1032.0,385.6,526.4,0.0,"Gloria Kinocenter Ankum_Ankum,Krankenhaus,Mast1_21.csv",922.8,385.6,357.2,0.0,187.3,1340.4,Ankum,POINT (7.888723948953176 52.546677352040774),1599.4948246924318,1463.393333288344,,2986.8,1.4180167958220389,1.4180167958220389,1.5858185232860251,1.4739507049767009,2799.5,transit,1032.0,car,120.0,88.37209302325581,transit,1032.0,car,120.0,88.37209302325581,transit,922.8,car,180.0,80.49414824447334,420.0,85.74611143032831,0.0,1,0.0,base,1,1,8035,121.19,12.58,796.0,43.0
18,Gloria Kinocenter Ankum,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,423.6,3477.1,Ankum,POINT (7.882015202591065 52.50469778202886),3448.472029474437,4200.750691106327,,,,,,,,foot,3477.1,car,,,foot,3477.1,car,,,foot,3477.1,car,,,,,,1,0.0,base,1,1,8035,121.19,12.58,796.0,43.0
19,Gloria Kinocenter Ankum,"Gloria Kinocenter Ankum_Ankum,Bahnhof,Mast2_15.csv",483.9,237.7,126.2,0.0,"Gloria Kinocenter Ankum_Ankum,Bahnhof,Mast2_18.csv",483.9,237.7,126.2,0.0,"Gloria Kinocenter Ankum_Ankum,Bahnhof,Mast2_21.csv",483.9,237.7,126.2,0.0,42.9,128.8,Ankum,POINT (7.8670944 52.54226140000001),910.325222029687,138.81159617882977,,1451.6999999999998,0.2868600871643517,0.2868600871643517,0.2868600871643517,0.2868600871643517,1408.7999999999995,foot,128.8,car,120.0,75.20148791072536,foot,128.8,car,120.0,75.20148791072536,foot,128.8,car,120.0,75.20148791072536,360.0,75.20148791072536,0.0,1,0.0,base,1,1,8035,121.19,12.58,796.0,43.0
20,Gloria Kinocenter Ankum,"Gloria Kinocenter Ankum_Kettenkamp,Hollermann,Mast2_15.csv",486.2,137.3,108.9,0.0,"Gloria Kinocenter Ankum_Kettenkamp,Hollermann,Mast2_18.csv",486.2,137.3,108.9,0.0,"Gloria Kinocenter Ankum_Kettenkamp,Hollermann,Mast2_21.csv",486.2,137.3,108.9,0.0,229.5,1680.2,Ankum,POINT (7.838540489606166 52.538658215421755),2449.3074977434144,2079.730797136698,,1458.6,4.277521178808511,4.277521178808511,4.277521178808511,4.277521178808511,1229.1,transit,486.2,car,240.0,50.63759769642123,transit,486.2,car,240.0,50.63759769642123,transit,486.2,car,240.0,50.63759769642123,719.9999999999999,50.63759769642124,0.0,1,0.0,base,1,1,8035,121.19,12.58,796.0,43.0
21,Gloria Kinocenter Ankum,"Gloria Kinocenter Ankum_Ankum,NeuerMarkt,Mast1_15.csv",1289.0,642.2,526.8,0.0,"Gloria Kinocenter Ankum_Ankum,NeuerMarkt,Mast1_18.csv",1289.0,642.2,526.8,0.0,"Gloria Kinocenter Ankum_Ankum,NeuerMarkt,Mast1_21.csv",1289.0,642.2,526.8,0.0,158.5,696.4,Ankum,POINT (7.874665210765309 52.53663622103805),147.93600853957474,679.0388866691393,,3867.0,0.526795102148285,0.526795102148285,0.526795102148285,0.526795102148285,3708.5,foot,696.4,car,120.0,90.69045771916214,foot,696.4,car,120.0,90.69045771916214,foot,696.4,car,120.0,90.69045771916214,360.0,90.69045771916214,0.0,1,0.0,base,1,1,8035,121.19,12.58,796.0,43.0
22,Gloria Kinocenter Ankum,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,276.9,2574.4,Ankum,POINT (7.832331766249953 52.56054676272466),3992.7771381869047,3250.8957183704333,,,,,,,,foot,2574.4,car,,,foot,2574.4,car,,,foot,2574.4,car,,,,,,1,0.0,base,1,1,8035,121.19,12.58,796.0,43.0
23,Gloria Kinocenter Ankum,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,413.3,3477.1,Ankum,POINT (7.890790883747327 52.579840252217195),5076.744743018181,4507.782634746064,,,,,,,,foot,3477.1,car,,,foot,3477.1,car,,,foot,3477.1,car,,,,,,1,0.0,base,1,1,8035,121.19,12.58,796.0,43.0
24,Gloria Kinocenter Ankum,"Gloria Kinocenter Ankum_Sitter,Siedlung,Mast1_15.csv",1543.5,897.1,526.4,0.0,"Gloria Kinocenter Ankum_Sitter,Siedlung,Mast1_18.csv",1543.5,897.1,526.4,0.0,"Gloria Kinocenter Ankum_Sitter,Siedlung,Mast1_21.csv",1434.3,897.1,357.2,0.0,229.0,1858.6,Ankum,POINT (7.900280300000001 52.54747915000001),2224.015458685799,2231.6303906575386,,4521.3,1.4458246781066009,1.4458246781066009,1.5559021060151563,1.4825171540761195,4292.3,transit,1543.5,car,120.0,92.22546161321672,transit,1543.5,car,120.0,92.22546161321672,transit,1434.3,car,180.0,87.45032419995816,420.0,90.63374914213054,0.0,1,0.0,base,1,1,8035,121.19,12.58,796.0,43.0
