,cinema_name,15_total_route,15_total_duration,15_walk_to,15_walk_from,15_total_changes,18_total_route,18_total_duration,18_walk_to,18_walk_from,18_total_changes,21_total_route,21_total_duration,21_walk_to,21_walk_from,21_total_changes,car_duration,foot_duration,area,start_location,distance_start_centroid,distance_start_cinema,geometry,average duration,15_speed,18_speed,21_speed,average speed,average duration difference to car,15_fastest_mode,15_trip_duration,15_fastest_overall_mode,15_transit_dur,15_walk_share,18_fastest_mode,18_trip_duration,18_fastest_overall_mode,18_transit_dur,18_walk_share,21_fastest_mode,21_trip_duration,21_fastest_overall_mode,21_transit_dur,21_walk_share,average transit duration,average walk share,population,level,level_dummy,cinemas,population aggr,population density,built-up area,transit departures,transit stops,osm_cinemas,average changes,area average changes
10,Filmwelt Landau,"Filmwelt Landau_Landau,Synagogenmahnmal_15.csv",836.8,346.7,130.1,0,"Filmwelt Landau_Landau,Synagogenmahnmal_18.csv",1005.6,395.5,130.1,0.0,"Filmwelt Landau_Landau,Synagogenmahnmal_21.csv",1360.5,630.4,130.1,0.0,456.9,1554.4,Landau in der Pfalz,POINT (8.110049977166405 49.19017828833361),5846.033923735532,1608.805386191982,,3202.9,1.922568578145294,1.5998462472076194,1.182510390438796,1.5683084052639034,2746.0,transit,836.8,car,360.0,56.97896749521989,transit,1005.6,car,480.0,52.2673031026253,transit,1360.5,car,600.0,55.898566703417856,1440.0,165.14483730126304,2394.0,mid,2,2,47610,574.03,24.95,6234,90,2,0.0,0.4072164948453608
11,Universum Kinocenter,"Universum Kinocenter_Landau,Synagogenmahnmal_15.csv",597.0,346.7,190.3,0,"Universum Kinocenter_Landau,Synagogenmahnmal_18.csv",720.9,470.6,190.3,0.0,"Universum Kinocenter_Landau,Synagogenmahnmal_21.csv",780.9,470.6,190.3,0.0,308.9,746.2,Landau in der Pfalz,POINT (8.110049977166405 49.19017828833361),5846.033923735532,806.629349093966,,2098.8,1.3511379381808477,1.1189198905451048,1.032948327691082,1.167668718805678,1789.9,transit,597.0,car,60.0,89.9497487437186,transit,720.9,car,59.999999999999886,91.67707032875576,foot,746.2,car,119.99999999999989,84.63311563580486,239.99999999999977,266.2599347082792,4907.0,mid,2,2,47610,574.03,24.95,6234,90,2,0.0,0.4072164948453608
12,Filmwelt Landau,"Filmwelt Landau_Landau,Finanzamt_15.csv",1253.8,343.7,130.1,0,"Filmwelt Landau_Landau,Finanzamt_18.csv",1253.8,343.7,130.1,0.0,"Filmwelt Landau_Landau,Finanzamt_21.csv",1468.8,210.7,658.1,0.0,487.4,1729.3,Landau in der Pfalz,POINT (8.111555241647704 49.197966659676695),5397.147564534484,1857.07006326057,,3976.4,1.4811533444413545,1.4811533444413545,1.264345086642545,1.4088839251750844,3488.9999999999995,transit,1253.8,car,780.0,37.789121071941295,transit,1253.8,car,780.0,37.789121071941295,transit,1468.8,car,600.0,59.15032679738562,2160.0,134.7285689412682,4907.0,mid,2,2,47610,574.03,24.95,6234,90,2,0.0,0.4072164948453608
13,Universum Kinocenter,"Universum Kinocenter_Landau,Finanzamt_15.csv",1482.5,343.7,358.8,1,"Universum Kinocenter_Landau,Finanzamt_18.csv",906.2,467.0,379.2,0.0,"Universum Kinocenter_Landau,Finanzamt_21.csv",772.6,467.0,185.6,0.0,339.3,271.0,Landau in der Pfalz,POINT (8.111555241647704 49.197966659676695),5397.147564534484,286.0666066942318,,3161.3,0.1929622979387735,0.3156771206071858,0.370264828752565,0.2929680824328414,2821.9999999999995,foot,271.0,car,780.0,47.38617200674536,foot,271.0,car,60.0,93.37894504524388,foot,271.0,car,120.0,84.46803002847528,960.0,225.23314708046453,4907.0,mid,2,2,47610,574.03,24.95,6234,90,2,1.0,0.4072164948453608
14,Filmwelt Landau,"Filmwelt Landau_Landau,Stadtbibliothek_15.csv",688.6,438.5,130.1,0,"Filmwelt Landau_Landau,Stadtbibliothek_18.csv",2033.1,474.3,778.8,0.0,"Filmwelt Landau_Landau,Stadtbibliothek_21.csv",2105.1,787.0,658.1,0.0,304.3,1251.2,Landau in der Pfalz,POINT (8.116937957401461 49.19394016975103),5975.182440178258,1279.4798733116208,,4826.799999999999,1.858088692000611,0.6293246142893222,0.6078000443264552,1.0317377835387962,4522.499999999999,transit,688.6,car,120.0,82.57333720592506,foot,1251.2,car,780.0,61.63494171462298,foot,1251.2,car,660.0,68.64757018668946,1560.0,212.85584910723747,4907.0,mid,2,2,47610,574.03,24.95,6234,90,2,0.0,0.4072164948453608
15,Universum Kinocenter,"Universum Kinocenter_Landau,Stadtbibliothek_15.csv",898.6,320.3,398.3,0,"Universum Kinocenter_Landau,Stadtbibliothek_18.csv",898.6,320.3,398.3,0.0,"Universum Kinocenter_Landau,Stadtbibliothek_21.csv",348.2,97.9,190.3,0.0,164.8,283.6,Landau in der Pfalz,POINT (8.116937957401461 49.19394016975103),5975.182440178258,337.2578494102712,,2145.4,0.3753147667597053,0.3753147667597053,0.9685750988232948,0.5730682107809018,1980.6,foot,283.6,car,180.0,79.96884041842867,foot,283.6,car,180.0,79.96884041842867,foot,283.6,car,59.99999999999994,82.76852383687537,420.0,242.7062046737327,7153.0,mid,2,2,47610,574.03,24.95,6234,90,2,0.0,0.4072164948453608
16,Filmwelt Landau,"Filmwelt Landau_Landau,Westring_15.csv",1238.3,508.2,130.1,0,"Filmwelt Landau_Landau,Westring_18.csv",1202.8,592.7,130.1,0.0,"Filmwelt Landau_Landau,Westring_21.csv",1139.0,348.9,130.1,0.0,434.5,1639.0,Landau in der Pfalz,POINT (8.115199700000002 49.19911675000001),5550.415299943896,1742.98613706444,,3580.1,1.4075637059391424,1.4491071974263718,1.5302775566851976,1.4623161533502371,3145.6,transit,1238.3,car,600.0,51.546475006056696,transit,1202.8,car,479.9999999999999,60.09311606252079,transit,1139.0,car,660.0,42.05443371378402,1740.0,153.6940247823615,660.0,mid,2,2,47610,574.03,24.95,6234,90,2,0.0,0.4072164948453608
17,Universum Kinocenter,"Universum Kinocenter_Landau,Westring_15.csv",761.8,348.9,292.9,0,"Universum Kinocenter_Landau,Westring_18.csv",761.8,348.9,292.9,0.0,"Universum Kinocenter_Landau,Westring_21.csv",761.8,348.9,292.9,0.0,295.5,241.7,Landau in der Pfalz,POINT (8.115199700000002 49.19911675000001),5550.415299943896,271.25660719086613,,2285.4,0.3560732570108508,0.3560732570108508,0.3560732570108508,0.3560732570108508,1989.9,foot,241.7,car,120.0,84.24783407718562,foot,241.7,car,120.0,84.24783407718562,foot,241.7,car,120.0,84.24783407718562,360.0,252.74350223155685,660.0,mid,2,2,47610,574.03,24.95,6234,90,2,0.0,0.4072164948453608
18,Filmwelt Landau,"Filmwelt Landau_Landau,DeutschesTor_15.csv",1329.4,59.3,130.1,0,"Filmwelt Landau_Landau,DeutschesTor_18.csv",1329.4,59.3,130.1,0.0,"Filmwelt Landau_Landau,DeutschesTor_21.csv",2513.9,463.8,130.1,1.0,541.4,2184.5,Landau in der Pfalz,POINT (8.119029849999999 49.20749880000001),5381.740936766667,2375.0536606496094,,5172.700000000001,1.786560599255009,1.786560599255009,0.9447685511156408,1.5059632498752196,4631.300000000001,transit,1329.4,car,1140.0,14.24702873476756,transit,1329.4,car,1140.0,14.24702873476756,foot,2184.5,car,1920.0,23.624646962886352,4200.0,52.118704432421474,4154.0,mid,2,2,47610,574.03,24.95,6234,90,2,1.0,0.4072164948453608
19,Universum Kinocenter,"Universum Kinocenter_Landau,DeutschesTor_15.csv",1012.2,59.3,292.9,0,"Universum Kinocenter_Landau,DeutschesTor_18.csv",1002.1,409.2,292.9,0.0,no routes possible to this cinema,,,,,402.4,1055.9,Landau in der Pfalz,POINT (8.119029849999999 49.20749880000001),5381.740936766667,1238.611315205147,,,1.2236823900465787,1.2360156822723751,,,,transit,1012.2,car,660.0,34.79549496147006,transit,1002.1,car,300.0000000000001,70.06286797724776,foot,1055.9,car,,,,,4907.0,mid,2,2,47610,574.03,24.95,6234,90,2,,0.4072164948453608
