,15_total_duration,15_walk_to,15_walk_from,15_total_changes,18_total_duration,18_walk_to,18_walk_from,18_total_changes,21_total_duration,21_walk_to,21_walk_from,21_total_changes,car_duration,foot_duration,distance_start_centroid,distance_start_cinema,average duration,15_speed,18_speed,21_speed,average speed,average duration difference to car,15_trip_duration,15_transit_dur,15_walk_share,18_trip_duration,18_transit_dur,18_walk_share,21_trip_duration,21_transit_dur,21_walk_share,average transit duration,average walk share,population,cinemas,population aggr,population density,built-up area,transit departures,transit stops,area,osm_cinemas,start_location,15 transit is reasonable,18 transit is reasonable,21 transit is reasonable,15 min cinema dur,15 most accessible cinema,18 min cinema dur,18 most accessible cinema,21 min cinema dur,21 most accessible cinema,15 max cinema dur,15 least accessible cinema,18 max cinema dur,18 least accessible cinema,21 max cinema dur,21 least accessible cinema,average changes,area average changes,level,level_dummy
11,504.7,63.8,320.9,0.0,,,,,,,,,457.0,716.7,2058.2535582768096,739.5934994064859,,1.4654121248394807,,,,,504.7,120.0,76.22349910838122,716.7,,,716.7,,,,,1704.0,1.0,19864.0,545.26,38.32,3531.0,72.0,Aue-Bad Schlema,2,POINT (12.703582650811832 50.59146745402354),100.0,0.0,0.0,504.7,Nickel-Odeon Kino-Center,,,,,504.7,Nickel-Odeon Kino-Center,,,,,,,mid,2
12,1119.3,618.4,320.9,0.0,,,,,,,,,296.4,373.8,2600.6953855250654,437.0616057372651,,0.3904776250667963,,,,,373.8,180.0,83.91852050388636,373.8,,,373.8,,,,,501.0,1.0,19864.0,545.26,38.32,3531.0,72.0,Aue-Bad Schlema,1,POINT (12.712598922867945 50.59052056451314),0.0,0.0,0.0,1119.3,Nickel-Odeon Kino-Center,,,,,1119.3,Nickel-Odeon Kino-Center,,,,,,,mid,2
13,1148.1,647.2,320.9,0.0,,,,,,,,,288.9,239.5,2780.8414227716426,220.5750231225516,,0.1921217865364965,,,,,239.5,179.9999999999999,84.32192317742359,239.5,,,239.5,,,,,501.0,1.0,19864.0,545.26,38.32,3531.0,72.0,Aue-Bad Schlema,1,POINT (12.712923379713832 50.588259273865674),0.0,0.0,0.0,1148.1,Nickel-Odeon Kino-Center,,,,,1148.1,Nickel-Odeon Kino-Center,,,,,,,mid,2
14,1123.6,622.7,320.9,0.0,,,,,,,,,463.1,795.2,2403.6189298607555,816.1086717905941,,0.7263338125583786,,,,,795.2,179.9999999999999,83.98006407974368,795.2,,,795.2,,,,,501.0,1.0,19864.0,545.26,38.32,3531.0,72.0,Aue-Bad Schlema,1,POINT (12.71294964073158 50.59395990632753),0.0,0.0,0.0,1123.6,Nickel-Odeon Kino-Center,,,,,1123.6,Nickel-Odeon Kino-Center,,,,,,,mid,2
15,761.9,192.4,449.5,0.0,,,,,,,,,255.3,910.7,2033.209813320044,955.83823191207,,1.2545455202940938,,,,,761.9,120.0,84.24990156188477,910.7,,,910.7,,,,,1704.0,1.0,19864.0,545.26,38.32,3531.0,72.0,Aue-Bad Schlema,1,POINT (12.69795827016508 50.58912009528824),100.0,0.0,0.0,761.9,Nickel-Odeon Kino-Center,,,,,761.9,Nickel-Odeon Kino-Center,,,,,,,mid,2
16,787.0,286.1,320.9,0.0,,,,,,,,,413.5,1088.1,1955.908457664556,996.7764213725586,,1.266551996661447,,,,,787.0,180.0,77.12833545108006,1088.1,,,1088.1,,,,,501.0,1.0,19864.0,545.26,38.32,3531.0,72.0,Aue-Bad Schlema,1,POINT (12.706818746492823 50.59530856708884),100.0,0.0,0.0,787.0,Nickel-Odeon Kino-Center,,,,,787.0,Nickel-Odeon Kino-Center,,,,,,,mid,2
17,923.4,482.5,320.9,0.0,,,,,,,,,260.7,1254.2,1806.356544950872,1225.179398154495,,1.3268132966801982,,,,,923.4,120.0,87.00454840805718,1254.2,,,1254.2,,,,,1704.0,1.0,19864.0,545.26,38.32,3531.0,72.0,Aue-Bad Schlema,1,POINT (12.694554266436377 50.590294753738675),100.0,0.0,0.0,923.4,Nickel-Odeon Kino-Center,,,,,923.4,Nickel-Odeon Kino-Center,,,,,,,mid,2
18,507.4,66.5,320.9,0.0,,,,,,,,,457.9,648.4,2153.3911631321853,644.3929788037186,,1.269990104067242,,,,,507.4,120.0,76.3500197083169,648.4,,,648.4,,,,,1704.0,1.0,19864.0,545.26,38.32,3531.0,72.0,Aue-Bad Schlema,1,POINT (12.704534532614723 50.59086360167356),100.0,0.0,0.0,507.4,Nickel-Odeon Kino-Center,,,,,507.4,Nickel-Odeon Kino-Center,,,,,,,mid,2
19,1097.5,596.6,320.9,0.0,,,,,,,,,423.0,1029.8,2334.2706483787124,1178.600929189436,,1.0738960630427663,,,,,1029.8,180.0,83.5990888382688,1029.8,,,1029.8,,,,,501.0,1.0,19864.0,545.26,38.32,3531.0,72.0,Aue-Bad Schlema,2,POINT (12.71432125 50.59710815),0.0,0.0,0.0,1097.5,Nickel-Odeon Kino-Center,,,,,1097.5,Nickel-Odeon Kino-Center,,,,,,,mid,2
20,1601.7,1032.2,449.5,0.0,,,,,,,,,386.2,1200.4,2970.457322585301,1331.6521523983697,,0.83139923356332,,,,,1200.4,120.0,92.50796029218957,1200.4,,,1200.4,,,,,1582.0,1.0,19864.0,545.26,38.32,3531.0,72.0,Aue-Bad Schlema,1,POINT (12.695992168082055 50.57947322927475),0.0,0.0,0.0,1601.7,Nickel-Odeon Kino-Center,,,,,1601.7,Nickel-Odeon Kino-Center,,,,,,,mid,2
21,1321.9,881.0,320.9,0.0,,,,,,,,,213.8,822.6,2414.104847422691,884.842391570302,,0.6693716556247084,,,,,822.6,120.0,90.92215750056737,822.6,,,822.6,,,,,3582.0,1.0,19864.0,545.26,38.32,3531.0,72.0,Aue-Bad Schlema,1,POINT (12.698593624799113 50.5854703355026),0.0,0.0,0.0,1321.9,Nickel-Odeon Kino-Center,,,,,1321.9,Nickel-Odeon Kino-Center,,,,,,,mid,2
22,609.3,168.4,320.9,0.0,,,,,,,,,454.5,818.1,2008.2249235535269,792.819282302442,,1.3011969182708716,,,,,609.3,120.0,80.30526834071885,818.1,,,818.1,,,,,1704.0,1.0,19864.0,545.26,38.32,3531.0,72.0,Aue-Bad Schlema,1,POINT (12.703902062144437 50.592289358030776),100.0,0.0,0.0,609.3,Nickel-Odeon Kino-Center,,,,,609.3,Nickel-Odeon Kino-Center,,,,,,,mid,2
23,583.7,82.8,320.9,0.0,,,,,,,,,407.0,768.3,2130.095296311062,729.1102482597598,,1.2491181227681338,,,,,583.7,180.00000000000006,69.16224087716292,768.3,,,768.3,,,,,501.0,1.0,19864.0,545.26,38.32,3531.0,72.0,Aue-Bad Schlema,1,POINT (12.706922999828928 50.59277797622734),100.0,0.0,0.0,583.7,Nickel-Odeon Kino-Center,,,,,583.7,Nickel-Odeon Kino-Center,,,,,,,mid,2
24,662.5,161.6,320.9,0.0,,,,,,,,,380.8,847.1,2155.681254255535,765.5550965228207,,1.1555548626759558,,,,,662.5,180.0,72.83018867924528,847.1,,,847.1,,,,,501.0,1.0,19864.0,545.26,38.32,3531.0,72.0,Aue-Bad Schlema,1,POINT (12.708140676198138 50.5933884862664),100.0,0.0,0.0,662.5,Nickel-Odeon Kino-Center,,,,,662.5,Nickel-Odeon Kino-Center,,,,,,,mid,2
25,670.0,169.1,320.9,0.0,,,,,,,,,375.3,633.0,2262.015622097173,582.8123289810154,,0.8698691477328588,,,,,633.0,180.0,73.13432835820895,633.0,,,633.0,,,,,501.0,1.0,19864.0,545.26,38.32,3531.0,72.0,Aue-Bad Schlema,1,POINT (12.707756346161695 50.5915749607231),0.0,0.0,0.0,670.0,Nickel-Odeon Kino-Center,,,,,670.0,Nickel-Odeon Kino-Center,,,,,,,mid,2
26,1276.7,707.2,449.5,0.0,,,,,,,,,336.8,1331.4,2552.468112584559,1545.8150507123898,,1.2107895752427271,,,,,1276.7,120.0,90.600767603979,1331.4,,,1331.4,,,,,988.0,1.0,19864.0,545.26,38.32,3531.0,72.0,Aue-Bad Schlema,1,POINT (12.690178432402737 50.58243751698241),100.0,0.0,0.0,1276.7,Nickel-Odeon Kino-Center,,,,,1276.7,Nickel-Odeon Kino-Center,,,,,,,mid,2
27,1621.4,1180.5,320.9,0.0,,,,,,,,,295.2,689.1,3374.373961796412,675.5193635840324,,0.4166272132626324,,,,,689.1,120.0,92.59898852843224,689.1,,,689.1,,,,,511.0,1.0,19864.0,545.26,38.32,3531.0,72.0,Aue-Bad Schlema,1,POINT (12.712342847493233 50.580739204280185),0.0,0.0,0.0,1621.4,Nickel-Odeon Kino-Center,,,,,1621.4,Nickel-Odeon Kino-Center,,,,,,,mid,2
28,,,,,,,,,,,,,610.4,2376.6,1518.3455423412672,2653.89450023382,,,,,,,2376.6,,,2376.6,,,2376.6,,,,,1002.0,1.0,19864.0,545.26,38.32,3531.0,72.0,Aue-Bad Schlema,1,POINT (12.674639121978272 50.59267324210235),0.0,0.0,0.0,,,,,,,,,,,,,,,mid,2
29,,,,,,,,,,,,,549.0,2936.7,1029.474510656379,2916.738884710953,,,,,,,2936.7,,,2936.7,,,2936.7,,,,,1042.0,1.0,19864.0,545.26,38.32,3531.0,72.0,Aue-Bad Schlema,1,POINT (12.673912375015924 50.598225606217056),0.0,0.0,0.0,,,,,,,,,,,,,,,mid,2
30,709.0,268.1,320.9,0.0,,,,,,,,,370.1,576.7,2238.564395859527,591.1453173595573,,0.8337733672208143,,,,,576.7,120.0,83.07475317348378,576.7,,,576.7,,,,,1704.0,1.0,19864.0,545.26,38.32,3531.0,72.0,Aue-Bad Schlema,1,POINT (12.703675880895796 50.589375100573314),0.0,0.0,0.0,709.0,Nickel-Odeon Kino-Center,,,,,709.0,Nickel-Odeon Kino-Center,,,,,,,mid,2
31,1021.1,580.2,320.9,0.0,,,,,,,,,254.0,608.0,2862.7653496217054,489.4702218304333,,0.4793558141518296,,,,,608.0,120.0,88.24796787777888,608.0,,,608.0,,,,,511.0,1.0,19864.0,545.26,38.32,3531.0,72.0,Aue-Bad Schlema,1,POINT (12.706130174058663 50.58357299733328),0.0,0.0,0.0,1021.1,Nickel-Odeon Kino-Center,,,,,1021.1,Nickel-Odeon Kino-Center,,,,,,,mid,2
32,680.8,179.9,320.9,0.0,,,,,,,,,371.7,622.1,2277.1475692745626,569.1826435157474,,0.8360497113921084,,,,,622.1,180.0,73.56051703877792,622.1,,,622.1,,,,,501.0,1.0,19864.0,545.26,38.32,3531.0,72.0,Aue-Bad Schlema,1,POINT (12.707915231974237 50.59148407879301),0.0,0.0,0.0,680.8,Nickel-Odeon Kino-Center,,,,,680.8,Nickel-Odeon Kino-Center,,,,,,,mid,2
