,15_total_duration,15_walk_to,15_walk_from,15_total_changes,18_total_duration,18_walk_to,18_walk_from,18_total_changes,21_total_duration,21_walk_to,21_walk_from,21_total_changes,car_duration,foot_duration,distance_start_centroid,distance_start_cinema,average duration,15_speed,18_speed,21_speed,average speed,average duration difference to car,15_trip_duration,15_transit_dur,15_walk_share,18_trip_duration,18_transit_dur,18_walk_share,21_trip_duration,21_transit_dur,21_walk_share,average transit duration,average walk share,average changes,area,start_location,15 fastest mode,18 fastest mode,21 fastest mode,15 transit is fastest,18 transit is fastest,21 transit is fastest,15 min cinema dur,15 most accessible cinema,18 min cinema dur,18 most accessible cinema,21 min cinema dur,21 most accessible cinema,15 max cinema dur,15 least accessible cinema,18 max cinema dur,18 least accessible cinema,21 max cinema dur,21 least accessible cinema,area average changes,level,level_dummy,cinemas,population aggr,population density,built-up area,transit departures,transit stops
10,1861.94,588.3399999999999,169.6,0.4,1861.94,588.3399999999999,169.6,0.4,2602.8,637.4,300.40000000000003,0.5,707.68,2788.74,3405.086486235825,3235.4607537369257,6751.0,1.8249406633529983,1.8249406633529983,1.5359929789852405,1.7254932831186194,5990.424999999999,1760.16,1104.0,47.06151856455001,1760.16,1104.0,47.06151856455001,2059.66,1665.0,37.96266755432042,4365.0,37.1792371250499,1.5,Halle (Saale),POINT (11.925986123212576 51.49565789750089),transit,transit,transit,80.0,80.0,60.0,1013.3,Prisma Cinema Halle-Neustadt,1013.3,Prisma Cinema Halle-Neustadt,1994.2,CinemaxX,2827.1,Luchs,2827.1,Luchs,4005.5,Luchs,1.5962783171521038,top,3,6,242083,1792.81,52.92,60209,290
11,2652.7,76.2,164.5,1.4,2413.7,305.64000000000004,164.06,1.0,3313.66,76.2,237.46,2.4,826.22,4286.12,5608.604834044441,5118.16388829054,8380.060000000001,2.020964455330676,2.250178992981512,1.8244006777583928,2.031848042023527,7553.839999999999,2652.7,2412.0,9.225284063913143,2413.7,1944.0,16.77608260981483,2998.42,3000.0,10.067834278922446,7356.0,12.023066984216806,4.8,Halle (Saale),POINT (11.904141415799534 51.51084462588773),transit,transit,transit,100.0,100.0,60.0,1295.5,Prisma Cinema Halle-Neustadt,1295.5,Prisma Cinema Halle-Neustadt,1235.5,Prisma Cinema Halle-Neustadt,3473.4,Bel Etage,3418.4,Bel Etage,4844.5,Luchs,1.5962783171521038,top,3,6,242083,1792.81,52.92,60209,290
12,1048.1799999999998,487.68,164.5,0.2,1024.1799999999998,487.68,164.5,0.2,1117.4199999999998,508.92,164.5,0.6,442.04,1789.84,1759.4815918763786,1999.468111553222,3189.78,1.966041085589716,2.030951488907246,1.7602664699257418,1.9190863481409013,2747.74,1048.1799999999998,396.0,70.38593772508204,1024.1799999999998,372.0,72.10079547149473,1117.4199999999998,444.0,69.47902227575021,1212.0,70.655251824109,1.0,Halle (Saale),POINT (11.967555142461435 51.496124052946996),transit,transit,transit,100.0,100.0,100.0,477.9,Luchs,477.9,Luchs,477.9,Luchs,2359.7,Prisma Cinema Halle-Neustadt,2359.7,Prisma Cinema Halle-Neustadt,1885.3,Prisma Cinema Halle-Neustadt,1.5962783171521038,top,3,6,242083,1792.81,52.92,60209,290
13,1650.9,418.4,164.5,0.2,1663.7400000000002,479.24,164.5,0.4,2035.74,479.24,164.5,0.6,736.0600000000001,3422.0,2819.2662198199228,3843.002345735891,5350.379999999999,2.35282528543404,2.4289859706896886,1.9694675319309576,2.250426262684896,4614.32,1650.9,1068.0,37.04151140867649,1663.7400000000002,1020.0,41.00390274456026,2035.74,1392.0,35.06904043768966,3480.0,37.70481819697547,1.2,Halle (Saale),POINT (11.956881483533735 51.456026628112554),transit,transit,transit,100.0,100.0,100.0,1355.6,Bel Etage,1214.3,CinemaxX,1355.6,Bel Etage,2117.7,Prisma Cinema Halle-Neustadt,2601.9,Prisma Cinema Halle-Neustadt,3077.7,Prisma Cinema Halle-Neustadt,1.5962783171521038,top,3,6,242083,1792.81,52.92,60209,290
14,1510.62,482.12,164.5,0.4,1638.3,482.12,256.18,0.4,4485.0,486.325,1898.675,1.5,508.5,2107.28,1269.1857488066,2512.0484853748417,7787.85,1.5358811659237492,1.4334167758586622,0.9506994023484154,1.2267366906992092,7289.975,1445.42,864.0,51.31681710635966,1573.1,900.0,53.50382983022462,1896.66,2100.0,58.84074717754885,3975.0,55.30685289684469,2.5,Halle (Saale),POINT (11.976702618808098 51.47015976064172),transit,transit,foot,60.0,60.0,20.0,946.6,Bel Etage,946.6,Bel Etage,946.6,Bel Etage,2344.6,Prisma Cinema Halle-Neustadt,2612.5,Luchs,13447.6,Luchs,1.5962783171521038,top,3,6,242083,1792.81,52.92,60209,290
15,1700.28,822.7,349.58,0.0,1803.14,913.56,349.58,0.0,1774.14,822.86,375.28,0.4,359.92,1561.82,799.4289418122305,1893.68748709684,5277.56,1.2030757736120914,1.130706465549932,1.1330609726441596,1.1556144039353944,4917.64,1038.52,528.0,68.07923165739437,1153.38,540.0,69.34083483777808,1170.7,576.0,68.77275789919399,1644.0,68.73094146478881,0.4,Halle (Saale),POINT (11.979601150000002 51.48197095),foot,foot,foot,40.0,40.0,20.0,1304.2,Prisma Cinema Halle-Neustadt,1304.2,Prisma Cinema Halle-Neustadt,1305.0,Prisma Cinema Halle-Neustadt,2167.1,Puschkino,2427.4,Luchs,2836.6,Luchs,1.5962783171521038,top,3,6,242083,1792.81,52.92,60209,290
16,1306.62,429.04,349.58,0.0,1245.3,355.72,349.58,0.0,1382.9599999999998,427.68,379.28,0.4,499.7799999999999,2306.28,1797.887807927454,2587.394841167151,3934.88,1.834004608150194,1.9034911045385905,1.780964855428373,1.8394868560390527,3435.1,1306.62,528.0,60.0708577013004,1245.3,540.0,58.02433909671318,1382.9599999999998,576.0,61.17619371430776,1644.0,59.75713017077378,0.4,Halle (Saale),POINT (11.994222696015587 51.481391464884325),transit,transit,transit,100.0,100.0,100.0,750.3,CinemaxX,750.3,CinemaxX,690.3,CinemaxX,1911.3,Luchs,1664.7,Luchs,2073.9,Luchs,1.5962783171521038,top,3,6,242083,1792.81,52.92,60209,290
17,1720.98,983.6,425.38,0.0,1758.8200000000002,1021.4400000000002,425.38,0.0,1832.66,1021.44,427.22,0.2,344.04,1582.02,1002.7566112445264,1887.8094353231693,5312.460000000001,1.142760422826772,1.124140806208231,1.1034344354352617,1.123445221490088,4968.42,1242.1799999999998,312.0,82.49923656736834,1242.1799999999998,312.0,82.74006740626591,1246.1799999999998,384.0,80.35576283372014,1008.0,81.86502226911813,0.2,Halle (Saale),POINT (11.976597431122197 51.487738874075944),foot,foot,foot,20.0,20.0,20.0,1470.9,CinemaxX,1488.4,Prisma Cinema Halle-Neustadt,1470.9,CinemaxX,2213.9,Luchs,2213.9,Luchs,2477.7,Luchs,1.5962783171521038,top,3,6,242083,1792.81,52.92,60209,290
18,1728.2599999999998,270.7,389.56,0.2,1911.58,467.74,423.84,0.4,2233.48,467.74,373.74,0.6,725.8,3420.1600000000008,2720.6295355224984,3803.7651407853314,5873.32,2.1732835153253527,2.097351337162326,1.7857751639420203,2.0188033388099,5147.52,1728.2599999999998,1068.0,38.97974879813099,1911.58,1020.0,47.93172574353287,2233.48,1392.0,38.43246329828071,3480.0,41.78131261331486,1.2,Halle (Saale),POINT (11.964878099999998 51.455969100000004),transit,transit,transit,100.0,100.0,100.0,1205.7,Bel Etage,1205.7,Bel Etage,1205.7,Bel Etage,2161.0,Luchs,3135.2,Prisma Cinema Halle-Neustadt,3375.4,Luchs,1.5962783171521038,top,3,6,242083,1792.81,52.92,60209,290
19,2303.62,1538.6,177.02,0.0,1195.36,155.3,164.06,0.6,1023.06,103.0,164.06,0.4,466.74000000000007,2466.3200000000006,3299.599496837314,2901.113242288141,4522.04,2.5567783521449536,2.850461141774881,2.929956386208405,2.77906529337608,4055.3,1405.0800000000002,588.0,52.19190708873106,1195.36,876.0,38.54123705720693,1023.06,756.0,36.982022363753615,2220.0,42.5717221698972,1.0,Halle (Saale),POINT (11.96152047511077 51.5096612143011),transit,transit,transit,80.0,100.0,100.0,291.8,Luchs,291.8,Luchs,291.8,Luchs,8442.9,Prisma Cinema Halle-Neustadt,3083.8,Prisma Cinema Halle-Neustadt,2162.3,Prisma Cinema Halle-Neustadt,1.5962783171521038,top,3,6,242083,1792.81,52.92,60209,290
