,total duration,total changes,speed,fastest mode,fastest overall mode,walk share,population,departure time
0,1155.3,0.0,1.4253597146609158,transit,car,42.87198130355752,4154.0,15
1,535.3,0.0,0.3307789192319703,foot,car,66.37399589015506,4907.0,15
2,941.8,0.0,1.9173343992157428,transit,car,55.40454448927585,4154.0,15
3,460.6,0.0,1.0080648857315455,foot,car,86.97351280937907,4154.0,15
4,1043.4,0.0,1.580050251781297,transit,car,42.49568717653823,4154.0,15
5,799.3,0.0,0.0945811931083211,foot,car,92.49343175278368,7153.0,15
6,1121.3,0.0,1.307853084757482,transit,car,62.54347632212612,4907.0,15
7,668.4,0.0,0.1606990183260492,foot,car,73.07001795332135,4154.0,15
8,1151.0,0.0,1.4459803421645483,transit,car,47.87141615986099,4154.0,15
9,756.0,0.0,0.204183593403551,foot,car,92.06349206349206,660.0,15
10,836.8,0.0,1.922568578145294,transit,car,56.97896749521989,2394.0,15
11,597.0,0.0,1.3511379381808477,transit,car,89.9497487437186,4907.0,15
12,1253.8,0.0,1.4811533444413545,transit,car,37.789121071941295,4907.0,15
13,1482.5,1.0,0.1929622979387735,foot,car,47.38617200674536,4907.0,15
14,688.6,0.0,1.858088692000611,transit,car,82.57333720592506,4907.0,15
15,898.6,0.0,0.3753147667597053,foot,car,79.96884041842867,7153.0,15
16,1238.3,0.0,1.4075637059391424,transit,car,51.546475006056696,660.0,15
17,761.8,0.0,0.3560732570108508,foot,car,84.24783407718562,660.0,15
18,1329.4,0.0,1.786560599255009,transit,car,14.24702873476756,4154.0,15
19,1012.2,0.0,1.2236823900465787,transit,car,34.79549496147006,4907.0,15
20,446.1,0.0,2.482437395677716,transit,car,86.55010087424344,4907.0,15
21,1101.6,1.0,1.3144718867187486,transit,car,40.08714596949892,732.0,15
22,1025.9,0.0,1.6858596466817513,transit,car,41.51476752120089,660.0,15
23,774.8,0.0,0.2011721393531689,foot,car,76.76819824470832,660.0,15
24,1339.8,0.0,1.2199913631992814,transit,car,41.78235557545902,660.0,15
25,908.4,0.0,0.2121638934261731,foot,car,86.78996036988111,4154.0,15
26,1046.6,0.0,1.6906921477361458,transit,car,59.87005541754253,660.0,15
27,933.2,0.0,0.3566742549904241,foot,car,93.57051007286756,660.0,15
28,3152.6,0.0,0.4726485010506565,foot,car,63.83937067817039,732.0,15
29,2393.7,0.0,0.1656607618134465,foot,car,72.42762250908636,4907.0,15
30,855.6,0.0,1.88842994298762,transit,car,57.9242636746143,4907.0,15
31,990.7,0.0,0.7919799873450659,foot,car,93.94367618855354,4154.0,15
32,2105.1,0.0,0.9821905875199368,foot,car,45.84580304973636,660.0,15
33,1346.2,0.0,0.727040373216256,foot,car,50.9731094933888,660.0,15
34,1384.4,0.0,1.5911897085578046,transit,car,13.319849754406237,4907.0,15
35,1667.5,0.0,0.718134175789701,foot,car,89.20539730134932,4154.0,15
36,2893.8,0.0,0.5413307253951917,foot,car,58.53203400373212,2394.0,15
37,682.2,0.0,0.1068214193932716,foot,car,73.61477572559367,4154.0,15
38,2033.8,0.0,0.9990601476863356,foot,car,35.09686301504573,4154.0,15
39,1476.8,0.0,0.3309628915841726,foot,car,95.9371614301192,4154.0,15
40,1008.1,0.0,1.6206192440056826,transit,car,58.337466521178456,4907.0,15
41,653.6,0.0,0.2158901386119149,foot,car,72.46022031823746,4154.0,15
42,2319.6,1.0,1.252167520393788,transit,car,12.053802379720644,1868.0,15
43,759.8,0.0,2.023080417353793,transit,car,44.72229534087919,7153.0,15
44,1721.1,0.0,1.037281957862581,foot,car,93.02771483353668,1868.0,15
45,905.7,1.0,0.9836258676094842,foot,car,80.12586949320968,4907.0,15
46,1364.9,0.0,1.6045915562289506,transit,car,38.45702981903436,2962.0,15
47,794.4,0.0,1.0020838882804313,foot,car,84.89425981873111,660.0,15
48,1400.1,0.0,1.615250027092104,transit,car,40.00428540818513,660.0,15
49,1082.9,0.0,0.9389641597725004,foot,car,66.75593314248776,4907.0,15
50,848.4,0.0,1.2462671198106463,transit,car,85.85572842998585,4154.0,15
51,1368.5,0.0,0.4145239559971878,foot,car,60.54073803434418,1868.0,15
52,1060.8,0.0,1.897284435388082,transit,car,26.470588235294112,732.0,15
53,694.4,0.0,0.8337833659303632,foot,car,82.7188940092166,660.0,15
54,1686.7,0.0,1.0604037223381215,foot,car,92.88551609651982,4154.0,15
55,871.3,1.0,1.0604924999193577,transit,car,79.34121427751636,660.0,15
56,2689.9,1.0,1.246639780621876,transit,car,21.930183278188775,2041.0,15
57,1104.9,0.0,1.7742139801086272,transit,car,61.987510181916925,2962.0,15
58,1048.0,0.0,1.8229951003497404,transit,car,59.92366412213741,4907.0,15
59,1328.2,0.0,0.3481593016947198,foot,car,95.48260804095769,4154.0,15
60,1284.1,0.0,1.4031427991236205,transit,car,39.25706720660385,2962.0,15
61,1443.0,0.0,0.1676714570093642,foot,car,95.84199584199584,4907.0,15
62,1045.8,0.0,1.437864782845708,transit,car,65.57659208261619,4907.0,15
63,806.0,0.0,0.3270229410399813,foot,car,92.55583126550869,732.0,15
64,1855.2,0.0,1.3025117278151943,transit,car,38.55109961190168,660.0,15
65,1096.3,0.0,1.1416512227944746,foot,car,39.79750068411931,2394.0,15
66,1376.1,0.0,1.610888538833099,transit,car,43.3180728144757,660.0,15
67,1771.0,0.0,0.5420978314986611,foot,car,96.61208356860531,4907.0,15
68,1566.7,0.0,1.213694633844265,transit,car,61.7029424905853,4154.0,15
69,1568.7,0.0,0.2118021352539637,foot,car,96.17517689806849,4907.0,15
70,1464.1,0.0,1.082726340461987,transit,car,46.72495048152449,4154.0,15
71,909.2,0.0,0.1432983193853064,foot,car,86.80158380994281,296.0,15
72,1230.4,0.0,0.7430272885235673,foot,car,95.12353706111833,1868.0,15
73,1046.0,1.0,1.351625461184793,transit,car,36.90248565965583,2394.0,15
74,2007.1,0.0,0.5767905129109682,foot,car,70.10612326241842,660.0,15
75,594.5,0.0,0.7084684534024236,foot,car,89.90748528174937,4154.0,15
76,1986.3,0.0,0.7271613802710649,foot,car,33.54478175502191,4907.0,15
77,1735.9,0.0,0.2647987095092373,foot,car,96.54357969929144,2962.0,15
78,1865.0,0.0,0.8868502549259436,foot,car,38.8739946380697,4154.0,15
79,920.0,0.0,0.4494365994311649,foot,car,86.95652173913044,4907.0,15
80,1181.6,0.0,1.621988858749591,transit,car,49.22139471902506,1868.0,15
81,917.4,0.0,0.4198606217827338,foot,car,93.45977763243953,4907.0,15
82,1691.7,0.0,1.0805898075658205,transit,car,64.53271856712183,660.0,15
83,846.5,0.0,0.3718374665280547,foot,car,85.82398109864147,2394.0,15
84,2316.1,0.0,1.152695726124622,transit,car,50.77932731747334,4907.0,15
85,1557.2,0.0,0.7730551192731906,foot,car,57.61623426663241,4907.0,15
86,984.6,0.0,1.6493812461299238,transit,car,69.53077391834248,4907.0,15
87,493.8,0.0,1.9731476352543995,transit,car,87.84933171324423,4154.0,15
88,2405.5,0.0,1.105818613380463,transit,car,52.60860527956766,4154.0,15
89,1646.6,0.0,0.7462864799305023,foot,car,59.91740556297825,2394.0,15
90,1288.5,0.0,1.511421037947509,transit,car,39.46449359720605,4907.0,15
91,1600.7,0.0,0.2337492473978643,foot,car,96.25163990754044,2394.0,15
