,nan,field_1,Unnamed: 0,cinema_name,15_total_route,15_total_duration,15_walk_to,15_walk_from,15_total_changes,18_total_route,18_total_duration,18_walk_to,18_walk_from,18_total_changes,21_total_route,21_total_duration,21_walk_to,21_walk_from,21_total_changes,car_duration,foot_duration,example_for,start_location,distance_start_centroid,distance_start_cinema,geometry
67,67,17,2.0,,None_Misereorlw_15.csv,606.5,313.8,172.7,0,None_Misereorlw_18.csv,606.5,313.8,172.7,0,None_Misereorlw_21.csv,606.5,313.8,172.7,0.0,240.4,480.1,Aachen,POINT (6.079960236109232 50.76942745119387),2504.5404318621,540.302739379766,
68,68,18,3.0,Cineplex Aachen,Cineplex Aachen_Misereorlw_15.csv,596.8,366.8,170.0,0,Cineplex Aachen_Misereorlw_18.csv,596.8,366.8,170.0,0,Cineplex Aachen_Misereorlw_21.csv,596.8,366.8,170.0,0.0,157.7,579.1,Aachen,POINT (6.079960236109232 50.76942745119387),2504.5404318621,547.306083142619,
69,69,19,4.0,Eden Palast,Eden Palast_Misereorlw_15.csv,442.1,200.8,121.3,0,Eden Palast_Misereorlw_18.csv,442.1,200.8,121.3,0,Eden Palast_Misereorlw_21.csv,771.4,366.8,224.6,0.0,148.9,418.4,Aachen,POINT (6.079960236109232 50.76942745119387),2504.5404318621,414.881765161176,
70,70,20,0.0,Apollo Kino,Apollo Kino_AachenKaiserplatzH3-WIBR(Li.47)_15.csv,571.0,135.2,75.8,0,Apollo Kino_AachenKaiserplatzH3-WIBR(Li.47)_18.csv,571.0,135.2,75.8,1,Apollo Kino_AachenKaiserplatzH3-WIBR(Li.47)_21.csv,541.0,225.2,75.8,0.0,289.2,952.7,Aachen,POINT (6.093389869154901 50.77626057548849),2315.73762847345,1130.87391884629,
71,71,21,1.0,Capitol,Capitol_AachenKaiserplatzH3-WIBR(Li.47)_15.csv,414.7,135.2,99.5,0,Capitol_AachenKaiserplatzH3-WIBR(Li.47)_18.csv,414.7,135.2,99.5,0,Capitol_AachenKaiserplatzH3-WIBR(Li.47)_21.csv,444.7,225.2,99.5,0.0,168.4,411.0,Aachen,POINT (6.093389869154901 50.77626057548849),2315.73762847345,480.245333748938,
72,72,22,2.0,,None_AachenKaiserplatzH3-WIBR(Li.47)_15.csv,710.4,258.8,151.6,1,None_AachenKaiserplatzH3-WIBR(Li.47)_18.csv,710.4,258.8,151.6,0,None_AachenKaiserplatzH3-WIBR(Li.47)_21.csv,796.8,225.2,151.6,0.0,351.9,575.4,Aachen,POINT (6.093389869154901 50.77626057548849),2315.73762847345,691.053133361782,
73,73,23,3.0,Cineplex Aachen,Cineplex Aachen_AachenKaiserplatzH3-WIBR(Li.47)_15.csv,735.5,258.8,176.7,1,Cineplex Aachen_AachenKaiserplatzH3-WIBR(Li.47)_18.csv,735.5,258.8,176.7,0,Cineplex Aachen_AachenKaiserplatzH3-WIBR(Li.47)_21.csv,821.9,225.2,176.7,0.0,281.2,618.6,Aachen,POINT (6.093389869154901 50.77626057548849),2315.73762847345,698.913890442556,
74,74,24,4.0,Eden Palast,Eden Palast_AachenKaiserplatzH3-WIBR(Li.47)_15.csv,680.1,258.8,121.3,0,Eden Palast_AachenKaiserplatzH3-WIBR(Li.47)_18.csv,680.1,258.8,121.3,0,Eden Palast_AachenKaiserplatzH3-WIBR(Li.47)_21.csv,649.1,167.8,121.3,0.0,372.8,805.5,Aachen,POINT (6.093389869154901 50.77626057548849),2315.73762847345,820.496388391731,
75,75,25,0.0,Apollo Kino,Apollo Kino_Hansmannstraße(EilendorfBf.)sw_15.csv,1687.4,51.6,75.8,3,Apollo Kino_Hansmannstraße(EilendorfBf.)sw_18.csv,1687.4,51.6,75.8,2,Apollo Kino_Hansmannstraße(EilendorfBf.)sw_21.csv,2963.0,117.2,145.8,2.0,1070.3,4677.1,Aachen,POINT (6.154816301140881 50.781150224298365),3953.89068480964,5351.15279473319,
76,76,26,1.0,Capitol,Capitol_Hansmannstraße(EilendorfBf.)sw_15.csv,1716.7,117.2,99.5,2,Capitol_Hansmannstraße(EilendorfBf.)sw_18.csv,1716.7,117.2,99.5,2,Capitol_Hansmannstraße(EilendorfBf.)sw_21.csv,1596.7,117.2,99.5,0.0,993.9,4187.0,Aachen,POINT (6.154816301140881 50.781150224298365),3953.89068480964,4758.63892104741,
77,77,27,2.0,,None_Hansmannstraße(EilendorfBf.)sw_15.csv,1604.3,51.6,172.7,0,None_Hansmannstraße(EilendorfBf.)sw_18.csv,1604.3,51.6,172.7,0,None_Hansmannstraße(EilendorfBf.)sw_21.csv,1948.8,117.2,151.6,1.0,951.0,4216.3,Aachen,POINT (6.154816301140881 50.781150224298365),3953.89068480964,5009.36433985916,
78,78,28,3.0,Cineplex Aachen,Cineplex Aachen_Hansmannstraße(EilendorfBf.)sw_15.csv,1601.6,51.6,170.0,0,Cineplex Aachen_Hansmannstraße(EilendorfBf.)sw_18.csv,1601.6,51.6,170.0,0,Cineplex Aachen_Hansmannstraße(EilendorfBf.)sw_21.csv,1967.2,117.2,170.0,2.0,880.3,4117.4,Aachen,POINT (6.154816301140881 50.781150224298365),3953.89068480964,4901.67115268073,
79,79,29,4.0,Eden Palast,Eden Palast_Hansmannstraße(EilendorfBf.)sw_15.csv,1552.9,51.6,121.3,0,Eden Palast_Hansmannstraße(EilendorfBf.)sw_18.csv,1552.9,51.6,121.3,0,Eden Palast_Hansmannstraße(EilendorfBf.)sw_21.csv,1918.5,117.2,121.3,2.0,971.9,4304.4,Aachen,POINT (6.154816301140881 50.781150224298365),3953.89068480964,5031.30621857324,
80,80,30,0.0,Apollo Kino,Apollo Kino_Königstraßelw(Li.13-TURM)_15.csv,290.5,94.7,75.8,0,Apollo Kino_Königstraßelw(Li.13-TURM)_18.csv,290.5,94.7,75.8,0,Apollo Kino_Königstraßelw(Li.13-TURM)_21.csv,1742.3,36.5,145.8,1.0,447.4,771.5,Aachen,POINT (6.071004715690923 50.77522179469425),3376.64089219581,826.851647538808,
81,81,31,1.0,Capitol,Capitol_Königstraßelw(Li.13-TURM)_15.csv,1034.2,94.7,99.5,1,Capitol_Königstraßelw(Li.13-TURM)_18.csv,1034.2,94.7,99.5,1,Capitol_Königstraßelw(Li.13-TURM)_21.csv,1936.0,36.5,99.5,1.0,406.4,954.3,Aachen,POINT (6.071004715690923 50.77522179469425),3376.64089219581,1216.07536727662,
82,82,32,2.0,,None_Königstraßelw(Li.13-TURM)_15.csv,570.3,37.6,172.7,0,None_Königstraßelw(Li.13-TURM)_18.csv,570.3,37.6,172.7,0,None_Königstraßelw(Li.13-TURM)_21.csv,510.3,37.6,172.7,1.0,302.0,894.3,Aachen,POINT (6.071004715690923 50.77522179469425),3376.64089219581,1010.79812085104,
83,83,33,3.0,Cineplex Aachen,Cineplex Aachen_Königstraßelw(Li.13-TURM)_15.csv,567.6,37.6,170.0,0,Cineplex Aachen_Königstraßelw(Li.13-TURM)_18.csv,567.6,37.6,170.0,0,Cineplex Aachen_Königstraßelw(Li.13-TURM)_21.csv,507.6,37.6,170.0,1.0,311.5,1041.0,Aachen,POINT (6.071004715690923 50.77522179469425),3376.64089219581,1206.99488833793,
84,84,34,4.0,Eden Palast,Eden Palast_Königstraßelw(Li.13-TURM)_15.csv,561.9,80.6,121.3,0,Eden Palast_Königstraßelw(Li.13-TURM)_18.csv,561.9,80.6,121.3,0,Eden Palast_Königstraßelw(Li.13-TURM)_21.csv,458.9,37.6,121.3,1.0,275.1,1009.3,Aachen,POINT (6.071004715690923 50.77522179469425),3376.64089219581,1117.51443365539,
85,85,35,0.0,Apollo Kino,Apollo Kino_Rottstraßesw-HÜLS_15.csv,1200.9,225.1,75.8,2,Apollo Kino_Rottstraßesw-HÜLS_18.csv,1200.9,225.1,75.8,2,Apollo Kino_Rottstraßesw-HÜLS_21.csv,1463.2,427.4,75.8,1.0,656.4,2622.9,Aachen,POINT (6.1235482898259805 50.77655600144384),2158.02097494832,3178.90603306188,
86,86,36,1.0,Capitol,Capitol_Rottstraßesw-HÜLS_15.csv,1104.6,225.1,99.5,2,Capitol_Rottstraßesw-HÜLS_18.csv,1104.6,225.1,99.5,2,Capitol_Rottstraßesw-HÜLS_21.csv,1044.6,225.1,99.5,0.0,580.0,2132.7,Aachen,POINT (6.1235482898259805 50.77655600144384),2158.02097494832,2551.89683166626,
87,87,37,2.0,,None_Rottstraßesw-HÜLS_15.csv,1336.7,225.1,151.6,1,None_Rottstraßesw-HÜLS_18.csv,1336.7,225.1,151.6,1,None_Rottstraßesw-HÜLS_21.csv,1396.7,225.1,151.6,0.0,545.7,2297.0,Aachen,POINT (6.1235482898259805 50.77655600144384),2158.02097494832,2750.2034525321,
88,88,38,3.0,Cineplex Aachen,Cineplex Aachen_Rottstraßesw-HÜLS_15.csv,1361.8,225.1,176.7,1,Cineplex Aachen_Rottstraßesw-HÜLS_18.csv,1361.8,225.1,176.7,1,Cineplex Aachen_Rottstraßesw-HÜLS_21.csv,1421.8,225.1,176.7,0.0,475.0,2094.9,Aachen,POINT (6.1235482898259805 50.77655600144384),2158.02097494832,2637.70985450242,
89,89,39,4.0,Eden Palast,Eden Palast_Rottstraßesw-HÜLS_15.csv,1306.4,225.1,121.3,3,Eden Palast_Rottstraßesw-HÜLS_18.csv,1306.4,225.1,121.3,3,Eden Palast_Rottstraßesw-HÜLS_21.csv,1366.4,225.1,121.3,2.0,566.6,2281.9,Aachen,POINT (6.1235482898259805 50.77655600144384),2158.02097494832,2767.27627653836,
90,90,40,0.0,Apollo Kino,Apollo Kino_Schwester-Zita-Wegsw_15.csv,2506.0,570.2,75.8,3,Apollo Kino_Schwester-Zita-Wegsw_18.csv,2506.0,570.2,75.8,2,Apollo Kino_Schwester-Zita-Wegsw_21.csv,1603.9,28.1,75.8,2.0,1000.9,5336.0,Aachen,POINT (6.165492552568045 50.7928618659277),5385.72548643729,6251.78056121288,
91,91,41,1.0,Capitol,Capitol_Schwester-Zita-Wegsw_15.csv,1507.6,28.1,99.5,1,Capitol_Schwester-Zita-Wegsw_18.csv,1507.6,28.1,99.5,1,Capitol_Schwester-Zita-Wegsw_21.csv,1267.6,28.1,99.5,1.0,959.8,5095.9,Aachen,POINT (6.165492552568045 50.7928618659277),5385.72548643729,5731.24366930615,
92,92,42,2.0,,None_Schwester-Zita-Wegsw_15.csv,1844.6,28.1,136.5,1,None_Schwester-Zita-Wegsw_18.csv,1844.6,28.1,136.5,1,None_Schwester-Zita-Wegsw_21.csv,1700.8,28.1,172.7,1.0,1170.3,5260.2,Aachen,POINT (6.165492552568045 50.7928618659277),5385.72548643729,6091.3130165299,
93,93,43,3.0,Cineplex Aachen,Cineplex Aachen_Schwester-Zita-Wegsw_15.csv,1850.4,28.1,142.3,2,Cineplex Aachen_Schwester-Zita-Wegsw_18.csv,1850.4,28.1,142.3,2,Cineplex Aachen_Schwester-Zita-Wegsw_21.csv,1698.1,28.1,170.0,1.0,1099.6,5058.2,Aachen,POINT (6.165492552568045 50.7928618659277),5385.72548643729,6025.01236180699,
94,94,44,4.0,Eden Palast,Eden Palast_Schwester-Zita-Wegsw_15.csv,1829.4,28.1,121.3,1,Eden Palast_Schwester-Zita-Wegsw_18.csv,1829.4,28.1,121.3,1,Eden Palast_Schwester-Zita-Wegsw_21.csv,1769.4,28.1,121.3,1.0,1191.2,5245.1,Aachen,POINT (6.165492552568045 50.7928618659277),5385.72548643729,6157.40803444809,
95,95,45,0.0,Apollo Kino,Apollo Kino_Schmiedgassesw_15.csv,1069.3,33.5,75.8,0,Apollo Kino_Schmiedgassesw_18.csv,1069.3,33.5,75.8,0,Apollo Kino_Schmiedgassesw_21.csv,1079.3,33.5,145.8,0.0,678.6,2687.4,Aachen,POINT (6.039441943635748 50.77050541308429),5231.46072966845,3008.65207956646,
96,96,46,1.0,Capitol,Capitol_Schmiedgassesw_15.csv,1434.3,33.5,80.8,0,Capitol_Schmiedgassesw_18.csv,1434.3,33.5,80.8,0,Capitol_Schmiedgassesw_21.csv,1136.2,76.7,99.5,0.0,743.0,2801.4,Aachen,POINT (6.039441943635748 50.77050541308429),5231.46072966845,3502.09008336802,
97,97,47,2.0,,None_Schmiedgassesw_15.csv,1089.4,76.7,172.7,0,None_Schmiedgassesw_18.csv,1089.4,76.7,172.7,0,None_Schmiedgassesw_21.csv,909.4,76.7,172.7,0.0,687.4,2586.3,Aachen,POINT (6.039441943635748 50.77050541308429),5231.46072966845,3223.19117238513,
98,98,48,3.0,Cineplex Aachen,Cineplex Aachen_Schmiedgassesw_15.csv,1086.7,76.7,170.0,0,Cineplex Aachen_Schmiedgassesw_18.csv,1086.7,76.7,170.0,0,Cineplex Aachen_Schmiedgassesw_21.csv,906.7,76.7,170.0,0.0,621.7,2672.0,Aachen,POINT (6.039441943635748 50.77050541308429),5231.46072966845,3359.7051813552,
99,99,49,4.0,Eden Palast,Eden Palast_Schmiedgassesw_15.csv,1038.0,76.7,121.3,0,Eden Palast_Schmiedgassesw_18.csv,1038.0,76.7,121.3,0,Eden Palast_Schmiedgassesw_21.csv,1381.3,76.7,224.6,0.0,612.8,2583.5,Aachen,POINT (6.039441943635748 50.77050541308429),5231.46072966845,3238.17949008004,
100,100,0,0.0,Apollo Kino,"Apollo Kino_Aachen,LaurensbergRosenhügel_15.csv",796.5,230.7,145.8,0,"Apollo Kino_Aachen,LaurensbergRosenhügel_18.csv",796.5,230.7,145.8,0,"Apollo Kino_Aachen,LaurensbergRosenhügel_21.csv",796.5,230.7,145.8,0.0,451.7,1978.8,Aachen,POINT (6.0644847791966905 50.798952712346754),5553.43591981351,2274.44517255031,
101,101,1,1.0,Capitol,"Capitol_Aachen,LaurensbergRosenhügel_15.csv",930.2,230.7,99.5,0,"Capitol_Aachen,LaurensbergRosenhügel_18.csv",930.2,230.7,99.5,0,"Capitol_Aachen,LaurensbergRosenhügel_21.csv",930.2,230.7,99.5,1.0,519.4,2387.5,Aachen,POINT (6.0644847791966905 50.798952712346754),5553.43591981351,2802.37301289933,
102,102,2,2.0,,"None_Aachen,LaurensbergRosenhügel_15.csv",1613.8,181.1,172.7,2,"None_Aachen,LaurensbergRosenhügel_18.csv",1462.3,230.7,151.6,0,"None_Aachen,LaurensbergRosenhügel_21.csv",1543.4,230.7,172.7,1.0,821.3,2622.3,Aachen,POINT (6.0644847791966905 50.798952712346754),5553.43591981351,3216.37025378826,
103,103,3,3.0,Cineplex Aachen,"Cineplex Aachen_Aachen,LaurensbergRosenhügel_15.csv",1367.4,230.7,176.7,0,"Cineplex Aachen_Aachen,LaurensbergRosenhügel_18.csv",1487.4,230.7,176.7,0,"Cineplex Aachen_Aachen,LaurensbergRosenhügel_21.csv",1540.7,230.7,170.0,1.0,789.4,2828.1,Aachen,POINT (6.0644847791966905 50.798952712346754),5553.43591981351,3449.81518167522,
104,104,4,4.0,Eden Palast,"Eden Palast_Aachen,LaurensbergRosenhügel_15.csv",1845.7,181.1,224.6,2,"Eden Palast_Aachen,LaurensbergRosenhügel_18.csv",1262.4,181.1,121.3,1,"Eden Palast_Aachen,LaurensbergRosenhügel_21.csv",1492.0,230.7,121.3,1.0,794.3,2800.9,Aachen,POINT (6.0644847791966905 50.798952712346754),5553.43591981351,3446.038948614,
105,105,5,0.0,Apollo Kino,Apollo Kino_BurtscheidHauptstraßesw_15.csv,1330.9,586.3,324.6,0,Apollo Kino_BurtscheidHauptstraßesw_18.csv,1330.9,586.3,324.6,0,Apollo Kino_BurtscheidHauptstraßesw_21.csv,1122.1,278.7,123.4,0.0,424.1,1316.9,Aachen,POINT (6.087856865333846 50.76890742501709),1997.3678673262,1452.84035125587,
106,106,6,1.0,Capitol,Capitol_BurtscheidHauptstraßesw_15.csv,1360.2,360.7,99.5,1,Capitol_BurtscheidHauptstraßesw_18.csv,1292.5,657.2,215.3,0,Capitol_BurtscheidHauptstraßesw_21.csv,1060.2,360.7,99.5,0.0,303.4,983.7,Aachen,POINT (6.087856865333846 50.76890742501709),1997.3678673262,1058.18812655878,
107,107,7,2.0,,None_BurtscheidHauptstraßesw_15.csv,949.9,657.2,172.7,0,None_BurtscheidHauptstraßesw_18.csv,949.9,657.2,172.7,0,None_BurtscheidHauptstraßesw_21.csv,893.4,360.7,172.7,0.0,199.0,527.8,Aachen,POINT (6.087856865333846 50.76890742501709),1997.3678673262,511.348286614312,
108,108,8,3.0,Cineplex Aachen,Cineplex Aachen_BurtscheidHauptstraßesw_15.csv,759.8,423.8,276.0,0,Cineplex Aachen_BurtscheidHauptstraßesw_18.csv,759.8,423.8,276.0,0,Cineplex Aachen_BurtscheidHauptstraßesw_21.csv,759.8,423.8,276.0,0.0,127.9,295.4,Aachen,POINT (6.087856865333846 50.76890742501709),1997.3678673262,287.466380656574,
109,109,9,4.0,Eden Palast,Eden Palast_BurtscheidHauptstraßesw_15.csv,942.9,569.0,253.9,0,Eden Palast_BurtscheidHauptstraßesw_18.csv,942.9,569.0,253.9,0,Eden Palast_BurtscheidHauptstraßesw_21.csv,828.4,423.8,224.6,0.0,119.1,323.9,Aachen,POINT (6.087856865333846 50.76890742501709),1997.3678673262,287.84887551717,
110,110,10,0.0,Apollo Kino,Apollo Kino_Hohenzollernplatzlw-41_15.csv,962.0,121.8,180.2,1,Apollo Kino_Hohenzollernplatzlw-41_18.csv,962.0,121.8,180.2,1,Apollo Kino_Hohenzollernplatzlw-41_21.csv,962.0,121.8,180.2,1.0,653.3,2254.4,Aachen,POINT (6.114731413182091 50.77283330212028),1580.87502610009,2670.57364900962,
111,111,11,1.0,Capitol,Capitol_Hohenzollernplatzlw-41_15.csv,874.8,121.8,213.0,2,Capitol_Hohenzollernplatzlw-41_18.csv,874.8,121.8,213.0,2,Capitol_Hohenzollernplatzlw-41_21.csv,814.8,121.8,213.0,0.0,544.5,1641.2,Aachen,POINT (6.114731413182091 50.77283330212028),1580.87502610009,2019.50320003112,
112,112,12,2.0,,None_Hohenzollernplatzlw-41_15.csv,967.5,254.8,172.7,0,None_Hohenzollernplatzlw-41_18.csv,967.5,254.8,172.7,0,None_Hohenzollernplatzlw-41_21.csv,907.5,254.8,172.7,0.0,475.5,1787.0,Aachen,POINT (6.114731413182091 50.77283330212028),1580.87502610009,2101.77375957882,
113,113,13,3.0,Cineplex Aachen,Cineplex Aachen_Hohenzollernplatzlw-41_15.csv,964.8,254.8,170.0,0,Cineplex Aachen_Hohenzollernplatzlw-41_18.csv,964.8,254.8,170.0,0,Cineplex Aachen_Hohenzollernplatzlw-41_21.csv,784.8,254.8,170.0,0.0,404.8,1688.1,Aachen,POINT (6.114731413182091 50.77283330212028),1580.87502610009,1959.77118056807,
114,114,14,4.0,Eden Palast,Eden Palast_Hohenzollernplatzlw-41_15.csv,1209.1,121.8,367.3,3,Eden Palast_Hohenzollernplatzlw-41_18.csv,1209.1,121.8,367.3,3,Eden Palast_Hohenzollernplatzlw-41_21.csv,736.1,254.8,121.3,0.0,496.4,1875.1,Aachen,POINT (6.114731413182091 50.77283330212028),1580.87502610009,2084.58668272625,
115,115,15,0.0,Apollo Kino,Apollo Kino_DriescherGässchen(TechnischeHochschule)sw_15.csv,418.6,282.8,75.8,0,Apollo Kino_DriescherGässchen(TechnischeHochschule)sw_18.csv,418.6,282.8,75.8,0,Apollo Kino_DriescherGässchen(TechnischeHochschule)sw_21.csv,567.9,302.1,145.8,0.0,493.0,592.6,Aachen,POINT (6.080015862581927 50.7750023062246),2847.22430473414,636.423302854249,
116,116,16,1.0,Capitol,Capitol_DriescherGässchen(TechnischeHochschule)sw_15.csv,562.3,282.8,99.5,0,Capitol_DriescherGässchen(TechnischeHochschule)sw_18.csv,562.3,282.8,99.5,0,Capitol_DriescherGässchen(TechnischeHochschule)sw_21.csv,562.3,282.8,99.5,0.0,372.2,564.9,Aachen,POINT (6.080015862581927 50.7750023062246),2847.22430473414,649.850277383809,
117,117,17,2.0,,None_DriescherGässchen(TechnischeHochschule)sw_15.csv,622.2,269.5,172.7,0,None_DriescherGässchen(TechnischeHochschule)sw_18.csv,622.2,269.5,172.7,0,None_DriescherGässchen(TechnischeHochschule)sw_21.csv,622.2,269.5,172.7,0.0,267.8,392.8,Aachen,POINT (6.080015862581927 50.7750023062246),2847.22430473414,406.027054746914,
118,118,18,3.0,Cineplex Aachen,Cineplex Aachen_DriescherGässchen(TechnischeHochschule)sw_15.csv,619.5,269.5,170.0,0,Cineplex Aachen_DriescherGässchen(TechnischeHochschule)sw_18.csv,619.5,269.5,170.0,0,Cineplex Aachen_DriescherGässchen(TechnischeHochschule)sw_21.csv,619.5,269.5,170.0,0.0,277.3,598.5,Aachen,POINT (6.080015862581927 50.7750023062246),2847.22430473414,634.608227289634,
119,119,19,4.0,Eden Palast,Eden Palast_DriescherGässchen(TechnischeHochschule)sw_15.csv,940.6,279.3,121.3,0,Eden Palast_DriescherGässchen(TechnischeHochschule)sw_18.csv,826.1,464.8,121.3,0,Eden Palast_DriescherGässchen(TechnischeHochschule)sw_21.csv,826.1,464.8,121.3,0.0,240.9,571.4,Aachen,POINT (6.080015862581927 50.7750023062246),2847.22430473414,587.333904447626,
120,120,20,0.0,Apollo Kino,Apollo Kino_Aachen-RotheErde_15.csv,1048.6,312.8,75.8,1,Apollo Kino_Aachen-RotheErde_18.csv,1048.6,312.8,75.8,1,Apollo Kino_Aachen-RotheErde_21.csv,1118.6,312.8,145.8,1.0,599.9,2403.2,Aachen,POINT (6.116812520898977 50.7745275107795),1793.64108680836,2756.90995814096,
121,121,21,1.0,Capitol,Capitol_Aachen-RotheErde_15.csv,952.3,312.8,99.5,2,Capitol_Aachen-RotheErde_18.csv,952.3,312.8,99.5,2,Capitol_Aachen-RotheErde_21.csv,892.3,312.8,99.5,0.0,523.5,1913.0,Aachen,POINT (6.116812520898977 50.7745275107795),1793.64108680836,2113.14935899502,
122,122,22,2.0,,None_Aachen-RotheErde_15.csv,1281.6,318.1,183.5,1,None_Aachen-RotheErde_18.csv,1281.6,318.1,183.5,1,None_Aachen-RotheErde_21.csv,1311.1,347.6,183.5,1.0,507.4,2007.9,Aachen,POINT (6.116812520898977 50.7745275107795),1793.64108680836,2253.7958141112,
123,123,23,3.0,Cineplex Aachen,Cineplex Aachen_Aachen-RotheErde_15.csv,1162.5,445.8,176.7,0,Cineplex Aachen_Aachen-RotheErde_18.csv,1162.5,445.8,176.7,0,Cineplex Aachen_Aachen-RotheErde_21.csv,1081.8,445.8,276.0,0.0,436.7,1909.0,Aachen,POINT (6.116812520898977 50.7745275107795),1793.64108680836,2128.32722120914,
124,124,24,4.0,Eden Palast,Eden Palast_Aachen-RotheErde_15.csv,1154.1,312.8,121.3,3,Eden Palast_Aachen-RotheErde_18.csv,1154.1,312.8,121.3,3,Eden Palast_Aachen-RotheErde_21.csv,972.7,445.8,166.9,0.0,528.4,2095.9,Aachen,POINT (6.116812520898977 50.7745275107795),1793.64108680836,2256.27195091755,
125,125,25,0.0,Apollo Kino,Apollo Kino_Couven-Gymnasiumlw_15.csv,629.0,253.2,75.8,0,Apollo Kino_Couven-Gymnasiumlw_18.csv,629.0,253.2,75.8,0,Apollo Kino_Couven-Gymnasiumlw_21.csv,629.0,253.2,75.8,0.0,614.3,1559.4,Aachen,POINT (6.074702107100762 50.76557404338923),2686.78361348359,1707.53922088728,
126,126,26,1.0,Capitol,Capitol_Couven-Gymnasiumlw_15.csv,832.7,253.2,99.5,0,Capitol_Couven-Gymnasiumlw_18.csv,832.7,253.2,99.5,0,Capitol_Couven-Gymnasiumlw_21.csv,832.7,253.2,99.5,0.0,493.5,1640.0,Aachen,POINT (6.074702107100762 50.76557404338923),2686.78361348359,1689.78644515739,
127,127,27,2.0,,None_Couven-Gymnasiumlw_15.csv,905.9,253.2,172.7,0,None_Couven-Gymnasiumlw_18.csv,905.9,253.2,172.7,0,None_Couven-Gymnasiumlw_21.csv,845.9,253.2,172.7,0.0,389.1,1149.0,Aachen,POINT (6.074702107100762 50.76557404338923),2686.78361348359,1107.25436265311,
128,128,28,3.0,Cineplex Aachen,Cineplex Aachen_Couven-Gymnasiumlw_15.csv,903.2,253.2,170.0,0,Cineplex Aachen_Couven-Gymnasiumlw_18.csv,903.2,253.2,170.0,0,Cineplex Aachen_Couven-Gymnasiumlw_21.csv,843.2,253.2,170.0,0.0,275.2,1164.2,Aachen,POINT (6.074702107100762 50.76557404338923),2686.78361348359,1087.87645317478,
129,129,29,4.0,Eden Palast,Eden Palast_Couven-Gymnasiumlw_15.csv,774.7,473.4,121.3,0,Eden Palast_Couven-Gymnasiumlw_18.csv,774.7,473.4,121.3,0,Eden Palast_Couven-Gymnasiumlw_21.csv,794.5,253.2,121.3,0.0,266.3,1087.3,Aachen,POINT (6.074702107100762 50.76557404338923),2686.78361348359,958.805203234901,
130,130,30,0.0,Apollo Kino,Apollo Kino_AmHügellw_15.csv,509.9,194.1,75.8,0,Apollo Kino_AmHügellw_18.csv,509.9,194.1,75.8,0,Apollo Kino_AmHügellw_21.csv,639.9,194.1,145.8,0.0,396.4,1242.3,Aachen,POINT (6.059495447726253 50.777815124293284),4220.1635472946,1409.25150921802,
131,131,31,1.0,Capitol,Capitol_AmHügellw_15.csv,893.6,194.1,99.5,0,Capitol_AmHügellw_18.csv,893.6,194.1,99.5,0,Capitol_AmHügellw_21.csv,833.6,194.1,99.5,0.0,415.8,1662.6,Aachen,POINT (6.059495447726253 50.777815124293284),4220.1635472946,1975.9679454758,
132,132,32,2.0,,None_AmHügellw_15.csv,942.0,109.3,172.7,0,None_AmHügellw_18.csv,942.0,109.3,172.7,0,None_AmHügellw_21.csv,762.0,109.3,172.7,1.0,502.7,1602.6,Aachen,POINT (6.059495447726253 50.777815124293284),4220.1635472946,1869.74729881483,
133,133,33,3.0,Cineplex Aachen,Cineplex Aachen_AmHügellw_15.csv,939.3,109.3,170.0,0,Cineplex Aachen_AmHügellw_18.csv,939.3,109.3,170.0,0,Cineplex Aachen_AmHügellw_21.csv,759.3,109.3,170.0,1.0,512.1,1749.3,Aachen,POINT (6.059495447726253 50.777815124293284),4220.1635472946,2068.58646064549,
134,134,34,4.0,Eden Palast,Eden Palast_AmHügellw_15.csv,1498.7,194.1,224.6,0,Eden Palast_AmHügellw_18.csv,1498.7,194.1,224.6,0,Eden Palast_AmHügellw_21.csv,710.6,109.3,121.3,1.0,475.7,1717.6,Aachen,POINT (6.059495447726253 50.777815124293284),4220.1635472946,1976.79275989284,
135,135,35,0.0,Apollo Kino,Apollo Kino_Schanz-HBF(13)H2_15.csv,703.6,207.8,75.8,0,Apollo Kino_Schanz-HBF(13)H2_18.csv,703.6,207.8,75.8,0,Apollo Kino_Schanz-HBF(13)H2_21.csv,1106.3,190.5,75.8,0.0,540.4,1393.3,Aachen,POINT (6.0785622615040165 50.76650294890928),2460.59825318673,1577.86763689575,
136,136,36,1.0,Capitol,Capitol_Schanz-HBF(13)H2_15.csv,1301.2,361.7,99.5,0,Capitol_Schanz-HBF(13)H2_18.csv,829.8,190.3,99.5,1,Capitol_Schanz-HBF(13)H2_21.csv,1181.2,361.7,99.5,0.0,419.6,1264.5,Aachen,POINT (6.0785622615040165 50.76650294890928),2460.59825318673,1467.46978766253,
137,137,37,2.0,,None_Schanz-HBF(13)H2_15.csv,603.0,190.3,172.7,0,None_Schanz-HBF(13)H2_18.csv,603.0,190.3,172.7,0,None_Schanz-HBF(13)H2_21.csv,543.0,190.3,172.7,0.0,315.2,773.5,Aachen,POINT (6.0785622615040165 50.76650294890928),2460.59825318673,862.49172834833,
