,Unnamed: 0.1,field_1,Unnamed: 0,cinema_name,15_total_route,15_total_duration,15_walk_to,15_walk_from,15_total_changes,18_total_route,18_total_duration,18_walk_to,18_walk_from,18_total_changes,21_total_route,21_total_duration,21_walk_to,21_walk_from,21_total_changes,car_duration,foot_duration,example_for,start_location,distance_start_centroid,distance_start_cinema,geometry
15,15,15,0.0,Puschkino,Puschkino_WeinbergCampus_15.csv,1037.4,236.1,141.3,0.0,Puschkino_WeinbergCampus_18.csv,1037.4,236.1,141.3,0.0,Puschkino_WeinbergCampus_21.csv,977.4,236.1,141.3,0.0,645.9,2855.1,Halle (Saale),POINT (11.929675609930161 51.50581844633511),3909.6567007042977,3062.970097621453,
16,16,16,1.0,CinemaxX,CinemaxX_WeinbergCampus_15.csv,1512.0,236.1,195.9,1.0,CinemaxX_WeinbergCampus_18.csv,1572.0,236.1,195.9,1.0,CinemaxX_WeinbergCampus_21.csv,1812.0,236.1,195.9,2.0,870.2,3974.2,Halle (Saale),POINT (11.929675609930161 51.50581844633511),3909.6567007042977,4526.294808156906,
17,17,17,2.0,Bel Etage,Bel Etage_WeinbergCampus_15.csv,1773.3,236.1,337.2,1.0,Bel Etage_WeinbergCampus_18.csv,1833.3,236.1,337.2,1.0,Bel Etage_WeinbergCampus_21.csv,2013.3,236.1,337.2,2.0,837.4,4345.8,Halle (Saale),POINT (11.929675609930161 51.50581844633511),3909.6567007042977,5018.095113366746,
18,18,18,3.0,Prisma Cinema Halle-Neustadt,Prisma Cinema Halle-Neustadt_WeinbergCampus_15.csv,2037.0,695.1,141.9,0.0,Prisma Cinema Halle-Neustadt_WeinbergCampus_18.csv,1939.9,695.1,104.8,0.0,Prisma Cinema Halle-Neustadt_WeinbergCampus_21.csv,2840.3,961.0,79.3,0.0,608.1,2791.6,Halle (Saale),POINT (11.929675609930161 51.50581844633511),3909.6567007042977,3027.4836037729315,
19,19,19,4.0,Luchs,Luchs_WeinbergCampus_15.csv,604.9,236.1,68.8,0.0,Luchs_WeinbergCampus_18.csv,2544.4,236.1,328.3,1.0,Luchs_WeinbergCampus_21.csv,604.9,236.1,68.8,0.0,429.4,2001.9,Halle (Saale),POINT (11.929675609930161 51.50581844633511),3909.6567007042977,2165.112148376533,
20,20,20,0.0,Puschkino,Puschkino_Huttenstraße_15.csv,1412.8,491.5,141.3,0.0,Puschkino_Huttenstraße_18.csv,1412.8,491.5,141.3,0.0,Puschkino_Huttenstraße_21.csv,1470.7,369.4,141.3,2.0,741.5,3599.4,Halle (Saale),POINT (11.980824964657042 51.453890562501),3064.973064219531,4315.498764056737,
21,21,21,1.0,CinemaxX,CinemaxX_Huttenstraße_15.csv,1222.4,366.5,195.9,0.0,CinemaxX_Huttenstraße_18.csv,1222.4,366.5,195.9,0.0,CinemaxX_Huttenstraße_21.csv,1447.1,651.2,195.9,0.0,541.9,2382.3,Halle (Saale),POINT (11.980824964657042 51.453890562501),3064.973064219531,2939.1412393678256,
22,22,22,2.0,Bel Etage,Bel Etage_Huttenstraße_15.csv,1003.7,366.5,337.2,0.0,Bel Etage_Huttenstraße_18.csv,1003.7,366.5,337.2,0.0,Bel Etage_Huttenstraße_21.csv,1003.7,366.5,337.2,0.0,516.1,1918.5,Halle (Saale),POINT (11.980824964657042 51.453890562501),3064.973064219531,2383.7574702058223,
23,23,23,3.0,Prisma Cinema Halle-Neustadt,Prisma Cinema Halle-Neustadt_Huttenstraße_15.csv,2310.8,491.5,79.3,2.0,Prisma Cinema Halle-Neustadt_Huttenstraße_18.csv,2479.6,720.3,79.3,2.0,Prisma Cinema Halle-Neustadt_Huttenstraße_21.csv,2950.5,651.2,79.3,2.0,941.4,5032.0,Halle (Saale),POINT (11.980824964657042 51.453890562501),3064.973064219531,5080.88077782121,
24,24,24,4.0,Luchs,Luchs_Huttenstraße_15.csv,1880.3,491.5,68.8,0.0,Luchs_Huttenstraße_18.csv,1880.3,491.5,68.8,0.0,Luchs_Huttenstraße_21.csv,1758.2,369.4,68.8,2.0,979.0,5031.8,Halle (Saale),POINT (11.980824964657042 51.453890562501),3064.973064219531,5963.651695115296,
25,25,25,0.0,Puschkino,Puschkino_Adolfstraße_15.csv,565.6,364.3,141.3,0.0,Puschkino_Adolfstraße_18.csv,489.1,227.8,141.3,0.0,Puschkino_Adolfstraße_21.csv,489.1,227.8,141.3,0.0,179.6,185.7,Halle (Saale),POINT (11.970888753859356 51.4918734922076),1297.0816254672825,227.3106103997498,
26,26,26,1.0,CinemaxX,CinemaxX_Adolfstraße_15.csv,723.7,227.8,195.9,0.0,CinemaxX_Adolfstraße_18.csv,663.7,227.8,195.9,0.0,CinemaxX_Adolfstraße_21.csv,843.1,587.2,195.9,0.0,279.9,1221.4,Halle (Saale),POINT (11.970888753859356 51.4918734922076),1297.0816254672825,1447.9458141518471,
27,27,27,2.0,Bel Etage,Bel Etage_Adolfstraße_15.csv,985.0,227.8,337.2,0.0,Bel Etage_Adolfstraße_18.csv,925.0,227.8,337.2,0.0,Bel Etage_Adolfstraße_21.csv,1044.4,587.2,337.2,0.0,397.0,1641.2,Halle (Saale),POINT (11.970888753859356 51.4918734922076),1297.0816254672825,2024.482404597979,
28,28,28,3.0,Prisma Cinema Halle-Neustadt,Prisma Cinema Halle-Neustadt_Adolfstraße_15.csv,1876.1,656.8,79.3,1.0,Prisma Cinema Halle-Neustadt_Adolfstraße_18.csv,1876.1,656.8,79.3,1.0,Prisma Cinema Halle-Neustadt_Adolfstraße_21.csv,1731.9,332.6,79.3,1.0,769.1,3416.8,Halle (Saale),POINT (11.970888753859356 51.4918734922076),1297.0816254672825,3798.9021185493993,
