,Unnamed: 0.1,field_1,Unnamed: 0,cinema_name,15_total_route,15_total_duration,15_walk_to,15_walk_from,15_total_changes,18_total_route,18_total_duration,18_walk_to,18_walk_from,18_total_changes,21_total_route,21_total_duration,21_walk_to,21_walk_from,21_total_changes,car_duration,foot_duration,example_for,start_location,distance_start_centroid,distance_start_cinema,geometry
12,12,2,0.0,CasaBlanca Art House,CasaBlanca Art House_BadSodenBahnhofD_SalinenNKoe(E)_15.csv,336.8,235.1,41.7,0,CasaBlanca Art House_BadSodenBahnhofD_SalinenNKoe(E)_18.csv,455.4,233.7,41.7,0,CasaBlanca Art House_BadSodenBahnhofD_SalinenNKoe(E)_21.csv,455.4,233.7,41.7,0,129.7,618.0,Bad Soden am Taunus,POINT (8.5083612 50.14053110000001),1997.304077236873,730.7705254689107,
13,13,3,0.0,CasaBlanca Art House,CasaBlanca Art House_BadSodenMartin-Luther-WegNMünstererweg_15.csv,1060.7,153.1,67.6,0,CasaBlanca Art House_BadSodenMartin-Luther-WegNMünstererweg_18.csv,1060.7,153.1,67.6,0,CasaBlanca Art House_BadSodenMartin-Luther-WegNMünstererweg_21.csv,3791.0,153.1,157.9,0,272.5,1009.3,Bad Soden am Taunus,POINT (8.495009607196144 50.13523046695378),1994.3334593218656,1123.8603346186117,
14,14,4,0.0,CasaBlanca Art House,CasaBlanca Art House_BadSodenReitplatzNSchwalbach_15.csv,921.6,734.0,67.6,0,CasaBlanca Art House_BadSodenReitplatzNSchwalbach_18.csv,921.6,734.0,67.6,0,CasaBlanca Art House_BadSodenReitplatzNSchwalbach_21.csv,921.6,734.0,67.6,0,358.9,1091.7,Bad Soden am Taunus,POINT (8.501969816916251 50.15420105081197),1048.3971168290898,1060.7562282331444,
15,15,5,0.0,CasaBlanca Art House,CasaBlanca Art House_BadSodenBahnhofB_KönigstVkoe(E)_15.csv,1123.8,276.2,67.6,0,CasaBlanca Art House_BadSodenBahnhofB_KönigstVkoe(E)_18.csv,1123.8,276.2,67.6,0,CasaBlanca Art House_BadSodenBahnhofB_KönigstVkoe(E)_21.csv,3854.1,276.2,157.9,0,160.1,610.6,Bad Soden am Taunus,POINT (8.500574217880171 50.139047819377474),1763.3316626404735,629.607345506191,
16,16,6,0.0,CasaBlanca Art House,CasaBlanca Art House_BadSodenRosenthalstraßeNSulzbach_15.csv,343.1,241.4,41.7,0,CasaBlanca Art House_BadSodenRosenthalstraßeNSulzbach_18.csv,461.8,240.1,41.7,0,CasaBlanca Art House_BadSodenRosenthalstraßeNSulzbach_21.csv,461.8,240.1,41.7,0,131.9,624.4,Bad Soden am Taunus,POINT (8.507981495942637 50.140114476593624),2008.677480123595,741.1819508397051,
17,17,7,0.0,CasaBlanca Art House,CasaBlanca Art House_BadSodenMartin-Luther-WegNMünstererweg_15.csv,1286.1,172.8,273.3,0,CasaBlanca Art House_BadSodenMartin-Luther-WegNMünstererweg_18.csv,1286.1,172.8,273.3,0,CasaBlanca Art House_BadSodenMartin-Luther-WegNMünstererweg_21.csv,3923.6,172.8,270.8,0,289.0,1029.0,Bad Soden am Taunus,POINT (8.49500175 50.13492659999999),2026.7577951184844,1155.7965683513116,
18,18,8,0.0,CasaBlanca Art House,CasaBlanca Art House_BadSodenBahnhofSchieneGleis1+2_15.csv,488.8,327.1,41.7,0,CasaBlanca Art House_BadSodenBahnhofSchieneGleis1+2_18.csv,488.8,327.1,41.7,0,CasaBlanca Art House_BadSodenBahnhofSchieneGleis1+2_21.csv,488.8,327.1,41.7,0,208.3,533.3,Bad Soden am Taunus,POINT (8.508314295010758 50.143819061530834),1771.6655437123045,569.3489756448646,
19,19,9,0.0,CasaBlanca Art House,CasaBlanca Art House_NeuenhainSandwieseNKönigstein_15.csv,1457.8,45.0,272.8,0,CasaBlanca Art House_NeuenhainSandwieseNKönigstein_18.csv,1457.8,45.0,272.8,0,CasaBlanca Art House_NeuenhainSandwieseNKönigstein_21.csv,1348.9,981.3,67.6,0,347.8,2062.5,Bad Soden am Taunus,POINT (8.473027890312384 50.15707812581837),1153.8962252223062,2394.6583591128538,
20,20,0,0.0,CasaBlanca Art House,CasaBlanca Art House_NeuenhainFriedhofVReitplatz_15.csv,667.6,445.9,41.7,0,CasaBlanca Art House_NeuenhainFriedhofVReitplatz_18.csv,667.6,445.9,41.7,0,CasaBlanca Art House_NeuenhainFriedhofVReitplatz_21.csv,667.6,445.9,41.7,0,238.1,1542.1,Bad Soden am Taunus,POINT (8.490861650000001 50.159964550000005),862.1863764248885,1829.7279137513133,
21,21,1,0.0,CasaBlanca Art House,CasaBlanca Art House_BadSodenNiederhofheimerStrVBahnhof_15.csv,1268.6,155.3,273.3,0,CasaBlanca Art House_BadSodenNiederhofheimerStrVBahnhof_18.csv,1268.6,155.3,273.3,0,CasaBlanca Art House_BadSodenNiederhofheimerStrVBahnhof_21.csv,3906.1,155.3,270.8,0,229.1,1034.6,Bad Soden am Taunus,POINT (8.496265181109013 50.134228556793204),2126.452914077944,1203.48241884882,
