,Unnamed: 0.1,field_1,Unnamed: 0,cinema_name,15_total_route,15_total_duration,15_walk_to,15_walk_from,15_total_changes,18_total_route,18_total_duration,18_walk_to,18_walk_from,18_total_changes,21_total_route,21_total_duration,21_walk_to,21_walk_from,21_total_changes,car_duration,foot_duration,example_for,start_location,distance_start_centroid,distance_start_cinema,geometry
19,19,9,0.0,Nickel-Odeon Kino-Center,"Nickel-Odeon Kino-Center_Aue,Albert-Schweitzer-Str_15.csv",1097.5,596.6,320.9,0.0,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,423.0,1029.8,Aue-Bad Schlema,POINT (12.71432125 50.59710815),2334.2706483787124,1178.600929189436,
20,20,0,0.0,Nickel-Odeon Kino-Center,"Nickel-Odeon Kino-Center_Aue,Simmelmarkt_15.csv",1601.7,1032.2,449.5,0.0,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,386.2,1200.4,Aue-Bad Schlema,POINT (12.695992168082055 50.57947322927475),2970.457322585301,1331.6521523983697,
21,21,1,0.0,Nickel-Odeon Kino-Center,"Nickel-Odeon Kino-Center_Aue,Nicolaikirche_15.csv",1321.9,881.0,320.9,0.0,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,213.8,822.6,Aue-Bad Schlema,POINT (12.698593624799113 50.5854703355026),2414.104847422691,884.842391570302,
22,22,2,0.0,Nickel-Odeon Kino-Center,"Nickel-Odeon Kino-Center_Aue,Robert-Koch-Str_15.csv",609.3,168.4,320.9,0.0,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,454.5,818.1,Aue-Bad Schlema,POINT (12.703902062144437 50.592289358030776),2008.2249235535269,792.819282302442,
23,23,3,0.0,Nickel-Odeon Kino-Center,"Nickel-Odeon Kino-Center_Aue,Klinikum,Gartenstr_15.csv",583.7,82.8,320.9,0.0,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,407.0,768.3,Aue-Bad Schlema,POINT (12.706922999828928 50.59277797622734),2130.095296311062,729.1102482597598,
24,24,4,0.0,Nickel-Odeon Kino-Center,"Nickel-Odeon Kino-Center_Aue,Robert-Schumann-Platz_15.csv",662.5,161.6,320.9,0.0,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,380.8,847.1,Aue-Bad Schlema,POINT (12.708140676198138 50.5933884862664),2155.681254255535,765.5550965228207,
25,25,5,0.0,Nickel-Odeon Kino-Center,"Nickel-Odeon Kino-Center_Aue,Robert-Schumann-Platz_15.csv",670.0,169.1,320.9,0.0,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,375.3,633.0,Aue-Bad Schlema,POINT (12.707756346161695 50.5915749607231),2262.015622097173,582.8123289810154,
26,26,6,0.0,Nickel-Odeon Kino-Center,"Nickel-Odeon Kino-Center_Aue,Eichert,Weidmannsweg_15.csv",1276.7,707.2,449.5,0.0,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,336.8,1331.4,Aue-Bad Schlema,POINT (12.690178432402737 50.58243751698241),2552.468112584559,1545.8150507123898,
27,27,7,0.0,Nickel-Odeon Kino-Center,"Nickel-Odeon Kino-Center_Aue,Gabelsberger-Kantstr_15.csv",1621.4,1180.5,320.9,0.0,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,295.2,689.1,Aue-Bad Schlema,POINT (12.712342847493233 50.580739204280185),3374.373961796412,675.5193635840324,
28,28,8,0.0,Nickel-Odeon Kino-Center,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,610.4,2376.6,Aue-Bad Schlema,POINT (12.674639121978272 50.59267324210235),1518.3455423412672,2653.89450023382,
29,29,9,0.0,Nickel-Odeon Kino-Center,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,549.0,2936.7,Aue-Bad Schlema,POINT (12.673912375015924 50.598225606217056),1029.474510656379,2916.738884710953,
30,30,0,0.0,Nickel-Odeon Kino-Center,"Nickel-Odeon Kino-Center_Aue,GabelsbergerstrSchulgasse_15.csv",709.0,268.1,320.9,0.0,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,370.1,576.7,Aue-Bad Schlema,POINT (12.703675880895796 50.589375100573314),2238.564395859527,591.1453173595573,
31,31,1,0.0,Nickel-Odeon Kino-Center,"Nickel-Odeon Kino-Center_Aue,Postplatz(351)_15.csv",1021.1,580.2,320.9,0.0,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,254.0,608.0,Aue-Bad Schlema,POINT (12.706130174058663 50.58357299733328),2862.7653496217054,489.4702218304333,
32,32,2,0.0,Nickel-Odeon Kino-Center,"Nickel-Odeon Kino-Center_Aue,Rudolf-Breitscheid-Str_15.csv",680.8,179.9,320.9,0.0,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,371.7,622.1,Aue-Bad Schlema,POINT (12.707915231974237 50.59148407879301),2277.1475692745626,569.1826435157474,
33,33,3,0.0,Nickel-Odeon Kino-Center,"Nickel-Odeon Kino-Center_Aue,Kohlenweg_15.csv",2176.0,1606.5,449.5,0.0,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,620.5,1774.7,Aue-Bad Schlema,POINT (12.696201978369453 50.573568102297486),3607.885747019228,1799.2268226212802,
34,34,4,0.0,Nickel-Odeon Kino-Center,"Nickel-Odeon Kino-Center_Aue,Auerhammer_15.csv",1513.5,1072.6,320.9,0.0,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,258.0,1014.1,Aue-Bad Schlema,POINT (12.696222738989562 50.585002056149044),2394.433287270978,1059.284605220217,
35,35,5,0.0,Nickel-Odeon Kino-Center,"Nickel-Odeon Kino-Center_Aue,Simmelmarkt_15.csv",1829.6,1260.1,449.5,0.0,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,556.8,1326.7,Aue-Bad Schlema,POINT (12.701552928970475 50.576813002350484),3380.858615432815,1289.0077663318625,
36,36,6,0.0,Nickel-Odeon Kino-Center,"Nickel-Odeon Kino-Center_Aue,Klinikum,Gartenstr_15.csv",803.4,302.5,320.9,0.0,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,366.1,501.9,Aue-Bad Schlema,POINT (12.708425906917329 50.590641366594625),2366.753439391331,468.6754778959856,
37,37,7,0.0,Nickel-Odeon Kino-Center,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,446.7,2357.0,Aue-Bad Schlema,POINT (12.681376743486398 50.597793538869745),821.1429156317748,2427.6893014665807,
38,38,8,0.0,Nickel-Odeon Kino-Center,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,702.8,2927.6,Aue-Bad Schlema,POINT (12.66893315 50.596443949999994),1420.0576763974043,3164.522274168159,
39,39,9,0.0,Nickel-Odeon Kino-Center,"Nickel-Odeon Kino-Center_Aue,Nicolaikirche_15.csv",1202.8,515.4,567.4,0.0,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,247.1,794.2,Aue-Bad Schlema,POINT (12.699518121613092 50.58858246444919),2140.8161688699747,833.5141583861849,
40,40,0,0.0,Nickel-Odeon Kino-Center,"Nickel-Odeon Kino-Center_Aue,SolingerStr_15.csv",1004.9,564.0,320.9,0.0,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,237.8,756.5,Aue-Bad Schlema,POINT (12.700090564965292 50.58284949824892),2723.0783657016705,881.2095060021301,
41,41,1,0.0,Nickel-Odeon Kino-Center,"Nickel-Odeon Kino-Center_Aue,Bahnhofsvorplatz_15.csv",1344.0,903.1,320.9,0.0,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,186.3,804.7,Aue-Bad Schlema,POINT (12.700461515459002 50.5841949370895),2600.0683360624525,793.4612601003083,
42,42,2,0.0,Nickel-Odeon Kino-Center,"Nickel-Odeon Kino-Center_Aue,Klinikum,Gartenstr_15.csv",601.9,101.0,320.9,0.0,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,400.9,786.5,Aue-Bad Schlema,POINT (12.7069188 50.59313624999999),2104.601011267316,766.1161836066792,
43,43,3,0.0,Nickel-Odeon Kino-Center,"Nickel-Odeon Kino-Center_Aue,Gartenanlage_15.csv",1352.2,911.3,320.9,0.0,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,192.3,813.0,Aue-Bad Schlema,POINT (12.699723000341061 50.583782641245605),2618.060589840092,859.0667538534798,
44,44,4,0.0,Nickel-Odeon Kino-Center,"Nickel-Odeon Kino-Center_Aue,Rudolf-Breitscheid-Str_15.csv",738.6,237.7,320.9,0.0,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,352.4,564.3,Aue-Bad Schlema,POINT (12.709127740257102 50.59130513813773),2355.130889223561,523.5723481063959,
45,45,5,0.0,Nickel-Odeon Kino-Center,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,352.9,1854.4,Aue-Bad Schlema,POINT (12.685284473086687 50.59510020220016),1107.8972106445117,2040.625673840147,
46,46,6,0.0,Nickel-Odeon Kino-Center,"Nickel-Odeon Kino-Center_Aue,KlinikumSchwimmhalle_15.csv",1966.9,826.9,720.0,0.0,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,308.6,560.1,Aue-Bad Schlema,POINT (12.712249672196723 50.581782580731016),3278.0869379304227,559.8188168541759,
47,47,7,0.0,Nickel-Odeon Kino-Center,"Nickel-Odeon Kino-Center_Aue,Klinikum,Gartenstr_15.csv",654.9,154.0,320.9,0.0,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,400.4,951.5,Aue-Bad Schlema,POINT (12.707336834795292 50.59439975311671),2043.356160886888,889.345648419368,
48,48,8,0.0,Nickel-Odeon Kino-Center,"Nickel-Odeon Kino-Center_Aue,Gabelsberger-Kantstr_15.csv",1286.2,598.8,567.4,0.0,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,35.8,107.4,Aue-Bad Schlema,POINT (12.711646712937002 50.58583223881951),2906.5851337110585,113.46284898489372,
49,49,9,0.0,Nickel-Odeon Kino-Center,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,611.6,3218.2,Aue-Bad Schlema,POINT (12.6623992 50.59753310000001),1728.7165971709278,3641.209438973901,
50,50,0,0.0,Nickel-Odeon Kino-Center,Nickel-Odeon Kino-Center_Auestation_15.csv,870.8,429.9,320.9,0.0,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,374.3,1081.8,Aue-Bad Schlema,POINT (12.703401579886581 50.594647743642504),1805.2426555062432,1028.628054834855,
51,51,1,0.0,Nickel-Odeon Kino-Center,"Nickel-Odeon Kino-Center_Aue,Klinikum,Gartenstr_15.csv",654.9,154.0,320.9,0.0,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,400.4,951.5,Aue-Bad Schlema,POINT (12.707336834795292 50.59439975311671),2043.356160886888,889.345648419368,
