,Unnamed: 0.1,field_1,Unnamed: 0,cinema_name,15_total_route,15_total_duration,15_walk_to,15_walk_from,15_total_changes,18_total_route,18_total_duration,18_walk_to,18_walk_from,18_total_changes,21_total_route,21_total_duration,21_walk_to,21_walk_from,21_total_changes,car_duration,foot_duration,example_for,start_location,distance_start_centroid,distance_start_cinema,geometry
13,13,13,1.0,Gloria & Gloriette,"Gloria & Gloriette_Neuenheim,Blumenthalstraße_15.csv",1360.7,91.9,128.8,1.0,"Gloria & Gloriette_Neuenheim,Blumenthalstraße_18.csv",1360.7,91.9,128.8,1,"Gloria & Gloriette_Neuenheim,Blumenthalstraße_21.csv",1180.7,91.9,128.8,1.0,833.6,2577.5,Heidelberg,POINT (8.683975120477092 49.42868445131181),2686.653522791569,2537.6750502741884,
14,14,14,2.0,Karlstorkino,"Karlstorkino_Neuenheim,Blumenthalstraße_15.csv",1235.0,91.9,123.1,1.0,"Karlstorkino_Neuenheim,Blumenthalstraße_18.csv",1235.0,91.9,123.1,1,"Karlstorkino_Neuenheim,Blumenthalstraße_21.csv",1355.0,91.9,123.1,1.0,977.1,3876.3,Heidelberg,POINT (8.683975120477092 49.42868445131181),2686.653522791569,4653.779092435135,
15,15,15,3.0,Luxor Filmpalast Heidelberg,"Luxor Filmpalast Heidelberg_Neuenheim,Blumenthalstraße_15.csv",1104.4,91.9,352.5,1.0,"Luxor Filmpalast Heidelberg_Neuenheim,Blumenthalstraße_18.csv",1104.4,91.9,352.5,1,"Luxor Filmpalast Heidelberg_Neuenheim,Blumenthalstraße_21.csv",1104.4,91.9,352.5,1.0,575.5,2543.1,Heidelberg,POINT (8.683975120477092 49.42868445131181),2686.653522791569,2846.8646729394923,
16,16,16,0.0,Die Kamera,"Die Kamera_Rohrbach(HD),Kirche_15.csv",811.3,184.2,27.1,0.0,"Die Kamera_Rohrbach(HD),Kirche_18.csv",811.3,184.2,27.1,0,"Die Kamera_Rohrbach(HD),Kirche_21.csv",811.3,184.2,27.1,0.0,457.6,2410.3,Heidelberg,POINT (8.69009575 49.388581800000004),1902.091351545798,2990.365997171597,
17,17,17,1.0,Gloria & Gloriette,"Gloria & Gloriette_Rohrbach(HD),Kirche_15.csv",1213.0,184.2,128.8,1.0,"Gloria & Gloriette_Rohrbach(HD),Kirche_18.csv",1213.0,184.2,128.8,1,no routes possible to this cinema,,,,,597.3,2668.9,Heidelberg,POINT (8.69009575 49.388581800000004),1902.091351545798,2855.549177321141,
18,18,18,2.0,Karlstorkino,"Karlstorkino_Rohrbach(HD),Kirche_15.csv",486.2,303.1,123.1,0.0,"Karlstorkino_Rohrbach(HD),Kirche_18.csv",486.2,303.1,123.1,0,"Karlstorkino_Rohrbach(HD),Kirche_21.csv",486.2,303.1,123.1,0.0,318.7,622.8,Heidelberg,POINT (8.69009575 49.388581800000004),1902.091351545798,687.648815919809,
19,19,19,3.0,Luxor Filmpalast Heidelberg,"Luxor Filmpalast Heidelberg_Rohrbach(HD),Kirche_15.csv",1556.7,184.2,352.5,1.0,"Luxor Filmpalast Heidelberg_Rohrbach(HD),Kirche_18.csv",1556.7,184.2,352.5,1,"Luxor Filmpalast Heidelberg_Rohrbach(HD),Kirche_21.csv",1976.7,184.2,352.5,1.0,519.8,2267.1,Heidelberg,POINT (8.69009575 49.388581800000004),1902.091351545798,2556.4538620348408,
20,20,20,0.0,Die Kamera,"Die Kamera_Pfaffengrund,ImHeimgarten_15.csv",1321.0,633.9,27.1,0.0,"Die Kamera_Pfaffengrund,ImHeimgarten_18.csv",1321.0,633.9,27.1,0,"Die Kamera_Pfaffengrund,ImHeimgarten_21.csv",3642.0,134.9,27.1,3.0,755.8,3030.0,Heidelberg,POINT (8.6495801 49.4000123),3299.210342615182,3540.067467917173,
21,21,21,1.0,Gloria & Gloriette,"Gloria & Gloriette_Pfaffengrund,ImHeimgarten_15.csv",1540.6,391.8,128.8,1.0,"Gloria & Gloriette_Pfaffengrund,ImHeimgarten_18.csv",1540.6,391.8,128.8,1,"Gloria & Gloriette_Pfaffengrund,ImHeimgarten_21.csv",4223.7,134.9,128.8,4.0,920.9,3471.2,Heidelberg,POINT (8.6495801 49.4000123),3299.210342615182,4384.6907958858965,
22,22,22,2.0,Karlstorkino,"Karlstorkino_Pfaffengrund,ImHeimgarten_15.csv",1114.9,391.8,123.1,1.0,"Karlstorkino_Pfaffengrund,ImHeimgarten_18.csv",1114.9,391.8,123.1,1,"Karlstorkino_Pfaffengrund,ImHeimgarten_21.csv",1594.9,391.8,123.1,1.0,800.2,2481.4,Heidelberg,POINT (8.6495801 49.4000123),3299.210342615182,2707.4514847403657,
23,23,23,3.0,Luxor Filmpalast Heidelberg,"Luxor Filmpalast Heidelberg_Pfaffengrund,ImHeimgarten_15.csv",1271.9,391.8,640.1,0.0,"Luxor Filmpalast Heidelberg_Pfaffengrund,ImHeimgarten_18.csv",1271.9,391.8,640.1,0,"Luxor Filmpalast Heidelberg_Pfaffengrund,ImHeimgarten_21.csv",1271.9,391.8,640.1,0.0,398.0,1343.8,Heidelberg,POINT (8.6495801 49.4000123),3299.210342615182,1388.767129165373,
24,24,24,0.0,Die Kamera,"Die Kamera_Heidelberg,Gaisbergstraße_15.csv",554.3,347.2,27.1,0.0,"Die Kamera_Heidelberg,Gaisbergstraße_18.csv",425.0,157.9,27.1,0,"Die Kamera_Heidelberg,Gaisbergstraße_21.csv",425.0,157.9,27.1,0.0,321.4,1499.8,Heidelberg,POINT (8.693478588608912 49.39907296382343),713.7481443919743,1821.997183020383,
