,Unnamed: 0.1,field_1,Unnamed: 0,cinema_name,15_total_route,15_total_duration,15_walk_to,15_walk_from,15_total_changes,18_total_route,18_total_duration,18_walk_to,18_walk_from,18_total_changes,21_total_route,21_total_duration,21_walk_to,21_walk_from,21_total_changes,car_duration,foot_duration,example_for,start_location,distance_start_centroid,distance_start_cinema,geometry
13,13,3,0.0,Gloria Kinocenter Ankum,"Gloria Kinocenter Ankum_Aslage,Wöllermann,Mast1_15.csv",715.6,469.4,126.2,0.0,"Gloria Kinocenter Ankum_Aslage,Wöllermann,Mast1_18.csv",715.6,469.4,126.2,0.0,"Gloria Kinocenter Ankum_Aslage,Wöllermann,Mast1_21.csv",715.6,469.4,126.2,0.0,184.1,467.6,Ankum,POINT (7.862043989774548 52.54038314733144),999.7323393241196,479.0778432460717,
14,14,4,0.0,Gloria Kinocenter Ankum,"Gloria Kinocenter Ankum_Ankum,Schulzentrum,Mast3_15.csv",1468.6,822.2,526.4,0.0,"Gloria Kinocenter Ankum_Ankum,Schulzentrum,Mast3_18.csv",1468.6,822.2,526.4,0.0,"Gloria Kinocenter Ankum_Ankum,Schulzentrum,Mast3_21.csv",1359.4,822.2,357.2,0.0,267.1,964.8,Ankum,POINT (7.8806835854922275 52.53642947767907),454.1198996104709,988.5094341142484,
15,15,5,0.0,Gloria Kinocenter Ankum,"Gloria Kinocenter Ankum_Holsten,Dierker,Mast1_15.csv",1254.1,1007.9,126.2,0.0,"Gloria Kinocenter Ankum_Holsten,Dierker,Mast1_18.csv",1254.1,1007.9,126.2,0.0,"Gloria Kinocenter Ankum_Holsten,Dierker,Mast1_21.csv",1254.1,1007.9,126.2,0.0,169.4,938.5,Ankum,POINT (7.8521438 52.5392997),1562.1022515644315,1159.6848274497193,
16,16,6,0.0,Gloria Kinocenter Ankum,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,404.5,3335.9,Ankum,POINT (7.9078293788596605 52.52256185177458),2685.63249725739,3388.80271633157,
17,17,7,0.0,Gloria Kinocenter Ankum,"Gloria Kinocenter Ankum_Ankum,Krankenhaus,Mast1_15.csv",1032.0,385.6,526.4,0.0,"Gloria Kinocenter Ankum_Ankum,Krankenhaus,Mast1_18.csv",1032.0,385.6,526.4,0.0,"Gloria Kinocenter Ankum_Ankum,Krankenhaus,Mast1_21.csv",922.8,385.6,357.2,0.0,187.3,1340.4,Ankum,POINT (7.888723948953176 52.546677352040774),1599.4948246924318,1463.393333288344,
18,18,8,0.0,Gloria Kinocenter Ankum,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,423.6,3477.1,Ankum,POINT (7.882015202591065 52.50469778202886),3448.472029474437,4200.750691106327,
19,19,9,0.0,Gloria Kinocenter Ankum,"Gloria Kinocenter Ankum_Ankum,Bahnhof,Mast2_15.csv",483.9,237.7,126.2,0.0,"Gloria Kinocenter Ankum_Ankum,Bahnhof,Mast2_18.csv",483.9,237.7,126.2,0.0,"Gloria Kinocenter Ankum_Ankum,Bahnhof,Mast2_21.csv",483.9,237.7,126.2,0.0,42.9,128.8,Ankum,POINT (7.8670944 52.54226140000001),910.325222029687,138.81159617882977,
20,20,0,0.0,Gloria Kinocenter Ankum,"Gloria Kinocenter Ankum_Kettenkamp,Hollermann,Mast2_15.csv",486.2,137.3,108.9,0.0,"Gloria Kinocenter Ankum_Kettenkamp,Hollermann,Mast2_18.csv",486.2,137.3,108.9,0.0,"Gloria Kinocenter Ankum_Kettenkamp,Hollermann,Mast2_21.csv",486.2,137.3,108.9,0.0,229.5,1680.2,Ankum,POINT (7.838540489606166 52.538658215421755),2449.3074977434144,2079.730797136698,
21,21,1,0.0,Gloria Kinocenter Ankum,"Gloria Kinocenter Ankum_Ankum,NeuerMarkt,Mast1_15.csv",1289.0,642.2,526.8,0.0,"Gloria Kinocenter Ankum_Ankum,NeuerMarkt,Mast1_18.csv",1289.0,642.2,526.8,0.0,"Gloria Kinocenter Ankum_Ankum,NeuerMarkt,Mast1_21.csv",1289.0,642.2,526.8,0.0,158.5,696.4,Ankum,POINT (7.874665210765309 52.53663622103805),147.93600853957474,679.0388866691393,
22,22,2,0.0,Gloria Kinocenter Ankum,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,276.9,2574.4,Ankum,POINT (7.832331766249953 52.56054676272466),3992.7771381869047,3250.8957183704333,
23,23,3,0.0,Gloria Kinocenter Ankum,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,413.3,3477.1,Ankum,POINT (7.890790883747327 52.579840252217195),5076.744743018181,4507.782634746064,
24,24,4,0.0,Gloria Kinocenter Ankum,"Gloria Kinocenter Ankum_Sitter,Siedlung,Mast1_15.csv",1543.5,897.1,526.4,0.0,"Gloria Kinocenter Ankum_Sitter,Siedlung,Mast1_18.csv",1543.5,897.1,526.4,0.0,"Gloria Kinocenter Ankum_Sitter,Siedlung,Mast1_21.csv",1434.3,897.1,357.2,0.0,229.0,1858.6,Ankum,POINT (7.900280300000001 52.54747915000001),2224.015458685799,2231.6303906575386,
25,25,5,0.0,Gloria Kinocenter Ankum,"Gloria Kinocenter Ankum_Ankum,Krankenhaus,Mast2_15.csv",821.3,174.9,526.4,0.0,"Gloria Kinocenter Ankum_Ankum,Krankenhaus,Mast2_18.csv",821.3,174.9,526.4,0.0,"Gloria Kinocenter Ankum_Ankum,Krankenhaus,Mast2_21.csv",712.1,174.9,357.2,0.0,199.3,1059.8,Ankum,POINT (7.885333551765681 52.54562002349651),1369.7769826643062,1206.0387430032351,
26,26,6,0.0,Gloria Kinocenter Ankum,"Gloria Kinocenter Ankum_Ankum,A.-Schmidt-Weg,Mast1_15.csv",1354.3,707.9,526.4,0.0,"Gloria Kinocenter Ankum_Ankum,A.-Schmidt-Weg,Mast1_18.csv",1354.3,707.9,526.4,0.0,"Gloria Kinocenter Ankum_Ankum,A.-Schmidt-Weg,Mast1_21.csv",1245.1,707.9,357.2,0.0,189.3,902.1,Ankum,POINT (7.879077897140945 52.54816548193287),1464.856233637062,1009.0656269775396,
27,27,7,0.0,Gloria Kinocenter Ankum,"Gloria Kinocenter Ankum_Ankum,Bahnhof,Mast2_15.csv",606.8,360.6,126.2,0.0,"Gloria Kinocenter Ankum_Ankum,Bahnhof,Mast2_18.csv",606.8,360.6,126.2,0.0,"Gloria Kinocenter Ankum_Ankum,Bahnhof,Mast2_21.csv",606.8,360.6,126.2,0.0,104.6,251.7,Ankum,POINT (7.8684825287164495 52.54440221361342),1081.74654668503,313.3295113751703,
