,cinema_name,15_total_route,15_total_duration,15_walk_to,15_walk_from,15_total_changes,18_total_route,18_total_duration,18_walk_to,18_walk_from,18_total_changes,21_total_route,21_total_duration,21_walk_to,21_walk_from,21_total_changes,car_duration,foot_duration,area,start_location,distance_start_centroid,distance_start_cinema,geometry,average duration,15_speed,18_speed,21_speed,average speed,average duration difference to car,15_fastest_mode,15_trip_duration,15_fastest_overall_mode,15_transit_dur,15_walk_share,18_fastest_mode,18_trip_duration,18_fastest_overall_mode,18_transit_dur,18_walk_share,21_fastest_mode,21_trip_duration,21_fastest_overall_mode,21_transit_dur,21_walk_share,average transit duration,average walk share,population,level,level_dummy,cinemas,population aggr,population density,built-up area,transit departures,transit stops,osm_cinemas,average changes,area average changes,15_chosen_route,18_chosen_route,21_chosen_route,average_chosen_route,15_visit_time,15_likely_women,15_possible_women,18_visit_time,18_likely_women,18_possible_women,21_visit_time,21_likely_women,21_possible_women,average_visit_time,average_likely_women,average_possible_women,15_likely_men,15_possible_men,18_likely_men,18_possible_men,21_likely_men,21_possible_men,average_likely_men,average_possible_men,15_likely_children 10-17,15_possible_children 10-17,18_likely_children 10-17,18_possible_children 10-17,21_likely_children 10-17,21_possible_children 10-17,average_likely_children 10-17,average_possible_children 10-17,15_likely_45-64,15_possible_45-64,18_likely_45-64,18_possible_45-64,21_likely_45-64,21_possible_45-64,average_likely_45-64,average_possible_45-64,15_likely_65 and over,15_possible_65 and over,18_likely_65 and over,18_possible_65 and over,21_likely_65 and over,21_possible_65 and over,average_likely_65 and over,average_possible_65 and over
10,Karlstorkino,"Karlstorkino_Kirchheim,Albert-Fritz-Straße_15.csv",387.1,24.0,123.1,0.0,"Karlstorkino_Kirchheim,Albert-Fritz-Straße_18.csv",387.1,24.0,123.1,0,"Karlstorkino_Kirchheim,Albert-Fritz-Straße_21.csv",387.1,24.0,123.1,0.0,454.9,1603.7,Heidelberg,POINT (8.665880424678265 49.377722618584365),3709.9598999659497,1495.6225297395165,,1161.3000000000002,3.8636593379992674,3.8636593379992674,3.8636593379992674,3.863659337999268,706.4000000000002,transit,387.1,transit,240.00000000000003,38.00051666236114,transit,387.1,transit,240.00000000000003,38.00051666236114,transit,387.1,transit,240.00000000000003,38.00051666236114,720.0000000000001,114.00154998708342,7474.0,top,3,5,162273,1491.07,30.58,47709,238,4,0.0,1.8141809290953543,387.1,387.1,387.1,387.1000000000001,6174.2,yes,yes,6174.2,yes,yes,6174.2,yes,yes,6174.2,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes
11,Luxor Filmpalast Heidelberg,"Luxor Filmpalast Heidelberg_Kirchheim,Albert-Fritz-Straße_15.csv",1036.5,24.0,352.5,0.0,"Luxor Filmpalast Heidelberg_Kirchheim,Albert-Fritz-Straße_18.csv",1036.5,24.0,352.5,0,"Luxor Filmpalast Heidelberg_Kirchheim,Albert-Fritz-Straße_21.csv",1036.5,24.0,352.5,0.0,605.5,2748.2,Heidelberg,POINT (8.665880424678265 49.377722618584365),3709.9598999659497,3113.098714600286,,3109.5,3.003471987072152,3.003471987072152,3.003471987072152,3.003471987072152,2504.0,transit,1036.5,car,660.0,36.32416787264834,transit,1036.5,car,660.0,36.32416787264834,transit,1036.5,car,660.0,36.32416787264834,1980.0,108.97250361794502,1035.0,top,3,5,162273,1491.07,30.58,47709,238,4,0.0,1.8141809290953543,1036.5,1036.5,1036.5,1036.5,7473.0,no,yes,7473.0,no,yes,7473.0,no,yes,7473.0,no,yes,no,yes,no,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes
12,Die Kamera,"Die Kamera_Neuenheim,Blumenthalstraße_15.csv",299.0,91.9,27.1,0.0,"Die Kamera_Neuenheim,Blumenthalstraße_18.csv",299.0,91.9,27.1,0,"Die Kamera_Neuenheim,Blumenthalstraße_21.csv",299.0,91.9,27.1,0.0,317.5,1421.9,Heidelberg,POINT (8.683975120477092 49.42868445131181),2686.653522791569,1590.22849413897,,897.0,5.318489946953077,5.318489946953077,5.318489946953077,5.318489946953077,579.5,transit,299.0,transit,180.0,39.79933110367893,transit,299.0,transit,180.0,39.79933110367893,transit,299.0,transit,180.0,39.79933110367893,540.0,119.3979933110368,10733.0,top,3,5,162273,1491.07,30.58,47709,238,4,0.0,1.8141809290953543,299.0,299.0,299.0,299.0,5998.0,yes,yes,5998.0,yes,yes,5998.0,yes,yes,5998.0,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes
13,Gloria & Gloriette,"Gloria & Gloriette_Neuenheim,Blumenthalstraße_15.csv",1360.7,91.9,128.8,1.0,"Gloria & Gloriette_Neuenheim,Blumenthalstraße_18.csv",1360.7,91.9,128.8,1,"Gloria & Gloriette_Neuenheim,Blumenthalstraße_21.csv",1180.7,91.9,128.8,1.0,833.6,2577.5,Heidelberg,POINT (8.683975120477092 49.42868445131181),2686.653522791569,2537.6750502741884,,3902.1,1.864977622013808,1.864977622013808,2.149297069767247,1.9597507712649544,3068.5000000000005,transit,1360.7,car,1140.0,16.21959285661792,transit,1360.7,car,1140.0,16.21959285661792,transit,1180.7,car,960.0,18.692301177267723,3240.0,51.13148689050356,620.0,top,3,5,162273,1491.07,30.58,47709,238,4,3.0,1.8141809290953543,1360.7,1360.7,1180.7,1300.7,8121.4,no,yes,8121.4,no,yes,7761.4,no,yes,8001.4,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,yes,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes
14,Karlstorkino,"Karlstorkino_Neuenheim,Blumenthalstraße_15.csv",1235.0,91.9,123.1,1.0,"Karlstorkino_Neuenheim,Blumenthalstraße_18.csv",1235.0,91.9,123.1,1,"Karlstorkino_Neuenheim,Blumenthalstraße_21.csv",1355.0,91.9,123.1,1.0,977.1,3876.3,Heidelberg,POINT (8.683975120477092 49.42868445131181),2686.653522791569,4653.779092435135,,3825.0,3.768242180109421,3.768242180109421,3.434523315450284,3.657002558556376,2847.9,transit,1235.0,car,1020.0,17.408906882591094,transit,1235.0,car,1020.0,17.408906882591094,transit,1355.0,car,1140.0,15.867158671586717,3180.0,50.6849724367689,2701.0,top,3,5,162273,1491.07,30.58,47709,238,4,3.0,1.8141809290953543,1235.0,1235.0,1355.0,1275.0,7870.0,no,yes,7870.0,no,yes,8110.0,no,yes,7950.0,no,yes,no,yes,no,yes,no,yes,no,yes,yes,yes,yes,yes,no,yes,yes,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes
15,Luxor Filmpalast Heidelberg,"Luxor Filmpalast Heidelberg_Neuenheim,Blumenthalstraße_15.csv",1104.4,91.9,352.5,1.0,"Luxor Filmpalast Heidelberg_Neuenheim,Blumenthalstraße_18.csv",1104.4,91.9,352.5,1,"Luxor Filmpalast Heidelberg_Neuenheim,Blumenthalstraße_21.csv",1104.4,91.9,352.5,1.0,575.5,2543.1,Heidelberg,POINT (8.683975120477092 49.42868445131181),2686.653522791569,2846.8646729394923,,3313.2000000000003,2.577747802371869,2.577747802371869,2.577747802371869,2.577747802371869,2737.7000000000003,transit,1104.4,car,660.0000000000001,40.23904382470119,transit,1104.4,car,660.0000000000001,40.23904382470119,transit,1104.4,car,660.0000000000001,40.23904382470119,1980.0000000000005,120.71713147410358,829.0,top,3,5,162273,1491.07,30.58,47709,238,4,3.0,1.8141809290953543,1104.4,1104.4,1104.4,1104.4,7608.8,no,yes,7608.8,no,yes,7608.8,no,yes,7608.8,no,yes,no,yes,no,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes
16,Die Kamera,"Die Kamera_Rohrbach(HD),Kirche_15.csv",811.3,184.2,27.1,0.0,"Die Kamera_Rohrbach(HD),Kirche_18.csv",811.3,184.2,27.1,0,"Die Kamera_Rohrbach(HD),Kirche_21.csv",811.3,184.2,27.1,0.0,457.6,2410.3,Heidelberg,POINT (8.69009575 49.388581800000004),1902.091351545798,2990.365997171597,,2433.9,3.6858942403199766,3.6858942403199766,3.6858942403199766,3.6858942403199766,1976.3,transit,811.3,car,600.0,26.04461974608653,transit,811.3,car,600.0,26.04461974608653,transit,811.3,car,600.0,26.04461974608653,1800.0,78.13385923825959,7255.0,top,3,5,162273,1491.07,30.58,47709,238,4,0.0,1.8141809290953543,811.3,811.3,811.3,811.2999999999998,7022.6,no,yes,7022.6,no,yes,7022.6,no,yes,7022.599999999999,no,yes,no,yes,no,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes
17,Gloria & Gloriette,"Gloria & Gloriette_Rohrbach(HD),Kirche_15.csv",1213.0,184.2,128.8,1.0,"Gloria & Gloriette_Rohrbach(HD),Kirche_18.csv",1213.0,184.2,128.8,1,no routes possible to this cinema,,,,,597.3,2668.9,Heidelberg,POINT (8.69009575 49.388581800000004),1902.091351545798,2855.549177321141,,,2.354121333323282,2.354121333323282,,,,transit,1213.0,car,900.0,25.8037922506183,transit,1213.0,car,900.0,25.8037922506183,foot,2668.9,car,,,,,4870.0,top,3,5,162273,1491.07,30.58,47709,238,4,,1.8141809290953543,1213.0,1213.0,2668.9,1698.3,7826.0,no,yes,7826.0,no,yes,10737.8,no,yes,8796.6,no,yes,no,yes,no,yes,no,yes,no,yes,yes,yes,yes,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes
18,Karlstorkino,"Karlstorkino_Rohrbach(HD),Kirche_15.csv",486.2,303.1,123.1,0.0,"Karlstorkino_Rohrbach(HD),Kirche_18.csv",486.2,303.1,123.1,0,"Karlstorkino_Rohrbach(HD),Kirche_21.csv",486.2,303.1,123.1,0.0,318.7,622.8,Heidelberg,POINT (8.69009575 49.388581800000004),1902.091351545798,687.648815919809,,1458.6,1.414333228958883,1.414333228958883,1.414333228958883,1.414333228958883,1139.9,transit,486.2,car,59.99999999999994,87.65939942410532,transit,486.2,car,59.99999999999994,87.65939942410532,transit,486.2,car,59.99999999999994,87.65939942410532,179.99999999999983,262.9781982723159,1520.0,top,3,5,162273,1491.07,30.58,47709,238,4,0.0,1.8141809290953543,486.2,486.2,486.2,486.2,6372.4,yes,yes,6372.4,yes,yes,6372.4,yes,yes,6372.4,yes,yes,no,yes,no,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes
19,Luxor Filmpalast Heidelberg,"Luxor Filmpalast Heidelberg_Rohrbach(HD),Kirche_15.csv",1556.7,184.2,352.5,1.0,"Luxor Filmpalast Heidelberg_Rohrbach(HD),Kirche_18.csv",1556.7,184.2,352.5,1,"Luxor Filmpalast Heidelberg_Rohrbach(HD),Kirche_21.csv",1976.7,184.2,352.5,1.0,519.8,2267.1,Heidelberg,POINT (8.69009575 49.388581800000004),1902.091351545798,2556.4538620348408,,5090.1,1.6422264161590805,1.6422264161590805,1.2932938038320638,1.5259155453834083,4570.3,transit,1556.7,car,1020.0,34.4767777991906,transit,1556.7,car,1020.0,34.4767777991906,transit,1976.7,car,1440.0,27.151312794050693,3480.0,96.1048683924319,7474.0,top,3,5,162273,1491.07,30.58,47709,238,4,3.0,1.8141809290953543,1556.7,1556.7,1976.7,1696.7,8513.4,no,yes,8513.4,no,yes,9353.4,no,yes,8793.4,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes
