,group,osm_cinemas,likely count,possible count
0,children 10-17,4,2,4
0,children 10-17,4,2,4
0,children 10-17,4,0,4
0,children 10-17,4,1,4
0,children 10-17,4,1,4
0,children 10-17,4,1,4
0,children 10-17,4,2,4
0,children 10-17,4,0,4
0,children 10-17,4,0,4
0,children 10-17,4,1,4
0,children 10-17,4,2,4
0,children 10-17,4,2,4
0,children 10-17,4,1,4
0,children 10-17,4,2,4
0,children 10-17,4,1,4
0,children 10-17,4,1,4
0,children 10-17,4,1,4
0,children 10-17,4,1,4
0,children 10-17,4,2,4
0,children 10-17,4,2,4
0,children 10-17,4,2,4
0,children 10-17,4,4,4
0,children 10-17,4,1,4
0,children 10-17,4,1,4
0,children 10-17,4,2,4
0,children 10-17,4,1,4
0,children 10-17,4,1,4
0,children 10-17,4,2,4
0,children 10-17,4,1,4
0,children 10-17,4,2,4
0,children 10-17,4,1,4
0,children 10-17,4,1,4
0,children 10-17,4,0,4
0,children 10-17,4,0,4
0,children 10-17,4,1,4
0,children 10-17,4,2,4
0,children 10-17,4,0,4
0,children 10-17,4,1,4
0,children 10-17,4,3,4
0,children 10-17,4,1,4
0,children 10-17,4,3,4
0,children 10-17,4,3,4
0,children 10-17,4,2,4
0,children 10-17,4,2,4
0,children 10-17,4,2,4
0,children 10-17,4,1,4
0,children 10-17,4,2,4
0,children 10-17,4,3,4
0,children 10-17,4,1,4
0,children 10-17,4,3,4
0,children 10-17,4,1,4
0,children 10-17,4,1,4
0,children 10-17,4,0,4
0,children 10-17,4,0,4
0,children 10-17,4,1,4
0,children 10-17,4,0,4
0,45-64,4,0,4
0,45-64,4,0,4
0,45-64,4,0,4
0,45-64,4,0,4
0,45-64,4,0,4
0,45-64,4,0,4
0,45-64,4,0,4
0,45-64,4,0,4
0,45-64,4,0,4
0,45-64,4,0,4
0,45-64,4,0,4
0,45-64,4,0,4
0,45-64,4,0,4
0,45-64,4,0,4
0,45-64,4,0,4
0,45-64,4,0,4
0,45-64,4,0,4
0,45-64,4,0,4
0,45-64,4,0,4
0,45-64,4,0,4
0,45-64,4,1,4
0,45-64,4,0,4
0,45-64,4,0,4
0,45-64,4,0,4
0,45-64,4,0,4
0,45-64,4,1,4
0,45-64,4,0,4
0,45-64,4,0,4
0,45-64,4,0,4
0,45-64,4,0,4
0,45-64,4,0,4
0,45-64,4,0,4
0,45-64,4,0,4
0,45-64,4,0,4
0,45-64,4,0,4
0,45-64,4,0,4
0,45-64,4,0,4
0,45-64,4,1,4
0,45-64,4,0,4
0,45-64,4,0,4
0,45-64,4,0,4
0,45-64,4,0,4
0,45-64,4,0,4
0,45-64,4,0,4
0,45-64,4,0,4
0,45-64,4,0,4
0,45-64,4,0,4
0,45-64,4,0,4
0,45-64,4,1,4
0,45-64,4,1,4
0,45-64,4,0,4
0,45-64,4,0,4
0,45-64,4,0,4
0,45-64,4,0,4
0,45-64,4,0,4
0,45-64,4,0,4
0,45-64,4,0,4
0,45-64,4,0,4
0,45-64,4,0,4
0,45-64,4,1,4
0,45-64,4,0,4
0,45-64,4,1,4
0,45-64,4,0,4
0,45-64,4,0,4
0,45-64,4,0,4
0,45-64,4,0,4
0,45-64,4,0,4
0,45-64,4,1,4
0,45-64,4,0,4
0,45-64,4,0,4
0,45-64,4,0,4
0,45-64,4,0,4
0,45-64,4,0,4
0,45-64,4,0,4
0,45-64,4,0,4
0,45-64,4,0,4
0,45-64,4,0,4
0,45-64,4,0,4
0,45-64,4,0,4
0,45-64,4,0,4
0,45-64,4,0,4
0,45-64,4,0,4
0,45-64,4,0,4
0,45-64,4,0,4
0,45-64,4,0,4
0,45-64,4,0,4
0,45-64,4,0,4
0,45-64,4,0,4
0,45-64,4,0,4
0,45-64,4,0,4
0,45-64,4,0,4
0,45-64,4,0,4
0,45-64,4,0,4
0,45-64,4,0,4
0,45-64,4,1,4
0,45-64,4,0,4
0,45-64,4,0,4
0,45-64,4,0,4
0,45-64,4,0,4
0,45-64,4,0,4
0,45-64,4,0,4
0,45-64,4,0,4
0,45-64,4,0,4
0,45-64,4,0,4
0,65 and over,4,1,4
0,65 and over,4,1,4
0,65 and over,4,1,4
0,65 and over,4,1,4
0,65 and over,4,1,4
0,65 and over,4,0,4
0,65 and over,4,1,4
0,65 and over,4,0,4
0,65 and over,4,0,4
0,65 and over,4,1,4
0,65 and over,4,1,4
0,65 and over,4,0,4
0,65 and over,4,0,4
0,65 and over,4,0,4
0,65 and over,4,2,4
0,65 and over,4,1,4
0,65 and over,4,0,4
0,65 and over,4,1,4
0,65 and over,4,0,4
0,65 and over,4,0,4
0,65 and over,4,1,4
0,65 and over,4,1,4
0,65 and over,4,0,4
0,65 and over,4,0,4
0,65 and over,4,0,4
0,65 and over,4,1,4
0,65 and over,4,0,4
0,65 and over,4,1,4
0,65 and over,4,1,4
0,65 and over,4,0,4
0,65 and over,4,0,4
0,65 and over,4,0,4
0,65 and over,4,0,4
0,65 and over,4,0,4
0,65 and over,4,1,4
0,65 and over,4,0,4
0,65 and over,4,0,4
0,65 and over,4,2,4
0,65 and over,4,0,4
0,65 and over,4,0,4
0,65 and over,4,0,4
0,65 and over,4,0,4
0,65 and over,4,0,4
0,65 and over,4,0,4
0,65 and over,4,0,4
0,65 and over,4,0,4
0,65 and over,4,0,4
0,65 and over,4,1,4
0,65 and over,4,1,4
0,65 and over,4,1,4
0,65 and over,4,0,4
0,65 and over,4,0,4
0,65 and over,4,0,4
0,65 and over,4,0,4
0,65 and over,4,0,4
0,65 and over,4,0,4
0,65 and over,4,0,4
0,65 and over,4,0,4
0,65 and over,4,1,4
0,65 and over,4,1,4
0,65 and over,4,0,4
0,65 and over,4,1,4
0,65 and over,4,0,4
0,65 and over,4,0,4
0,65 and over,4,1,4
0,65 and over,4,0,4
0,65 and over,4,0,4
0,65 and over,4,1,4
0,65 and over,4,0,4
0,65 and over,4,1,4
0,65 and over,4,0,4
0,65 and over,4,0,4
0,65 and over,4,0,4
0,65 and over,4,0,4
0,65 and over,4,0,4
0,65 and over,4,0,4
0,65 and over,4,0,4
0,65 and over,4,0,4
0,65 and over,4,0,4
0,65 and over,4,0,4
0,65 and over,4,0,4
0,65 and over,4,0,4
0,65 and over,4,0,4
0,65 and over,4,0,4
0,65 and over,4,0,4
0,65 and over,4,0,4
0,65 and over,4,0,4
0,65 and over,4,0,4
0,65 and over,4,1,4
0,65 and over,4,0,4
0,65 and over,4,0,4
0,65 and over,4,0,4
0,65 and over,4,1,4
0,65 and over,4,0,4
0,65 and over,4,1,4
0,65 and over,4,1,4
0,65 and over,4,1,4
0,65 and over,4,0,4
0,65 and over,4,0,4
0,65 and over,4,0,4
0,65 and over,4,0,4
0,65 and over,4,0,4
0,65 and over,4,0,4
0,65 and over,4,0,4
