,osm_cinemas,start_location,15_likely_women,15_possible_women,18_likely_women,18_possible_women,21_likely_women,21_possible_women,average_likely_women,average_possible_women,15_likely_men,15_possible_men,18_likely_men,18_possible_men,21_likely_men,21_possible_men,average_likely_men,average_possible_men,15_likely_children 10-17,15_possible_children 10-17,18_likely_children 10-17,18_possible_children 10-17,21_likely_children 10-17,21_possible_children 10-17,average_likely_children 10-17,average_possible_children 10-17,15_likely_45-64,15_possible_45-64,18_likely_45-64,18_possible_45-64,21_likely_45-64,21_possible_45-64,average_likely_45-64,average_possible_45-64,15_likely_65 and over,15_possible_65 and over,18_likely_65 and over,18_possible_65 and over,21_likely_65 and over,21_possible_65 and over,average_likely_65 and over,average_possible_65 and over,15 transit is reasonable,18 transit is reasonable,21 transit is reasonable,15 transit is more reasonable than car,18 transit is more reasonable than car,21 transit is more reasonable than car
0,5,POINT (11.96248775 51.45422419999999),0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,1,5,2,5,1,5,2,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,100.0,100.0,100.0,0.0,0.0,0.0
0,5,POINT (11.968218749999998 51.4388424),0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,100.0,100.0,100.0,0.0,0.0,0.0
0,5,POINT (11.980176631274562 51.476067968595714),2,5,2,5,2,5,2,5,2,5,2,5,2,5,2,5,3,5,3,5,4,5,4,5,1,5,1,5,1,5,1,5,2,5,2,5,2,5,2,5,40.0,40.0,40.0,0.0,0.0,0.0
0,5,POINT (11.954930712966322 51.48416044118714),0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,1,5,1,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,100.0,100.0,60.0,0.0,0.0,0.0
0,5,POINT (11.965024322039769 51.49882026129474),2,5,2,5,2,5,2,5,2,5,2,5,2,5,2,5,4,5,4,5,3,5,4,5,0,5,0,5,0,5,0,5,2,5,2,5,2,5,2,5,100.0,100.0,100.0,0.0,0.0,0.0
0,5,POINT (11.9644486 51.49386875),2,5,2,5,2,5,2,5,1,5,1,5,1,5,1,5,4,5,4,5,2,5,4,5,0,5,0,5,0,5,0,5,1,5,1,5,1,5,1,5,80.0,80.0,80.0,0.0,0.0,0.0
0,5,POINT (11.970482230158769 51.46880159737597),0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,2,5,3,5,2,5,3,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,60.0,100.0,40.0,0.0,0.0,0.0
0,5,POINT (11.967975100765885 51.47230402302196),0,5,1,5,0,5,0,5,0,5,0,5,0,5,0,5,5,5,5,5,4,5,4,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,80.0,100.0,60.0,0.0,0.0,0.0
0,5,POINT (11.9685926643954 51.503344517802304),1,5,1,5,1,5,1,5,0,5,0,5,0,5,0,5,2,5,2,5,2,5,2,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,80.0,80.0,80.0,0.0,0.0,0.0
0,5,POINT (11.978595049999996 51.456582499999996),0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,3,5,3,5,2,5,3,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,100.0,100.0,100.0,0.0,0.0,0.0
0,5,POINT (11.970579242497157 51.49522918993956),1,5,1,5,2,5,1,5,1,5,1,5,1,5,1,5,4,5,4,5,3,5,4,5,0,5,0,5,0,5,0,5,1,5,1,5,1,5,1,5,80.0,80.0,80.0,0.0,0.0,0.0
0,5,POINT (11.972303673465754 51.43859859514229),0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,100.0,100.0,100.0,0.0,0.0,0.0
0,5,POINT (11.980661102236839 51.49477057101544),0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,3,5,3,5,3,5,3,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,100.0,100.0,100.0,0.0,0.0,0.0
0,5,POINT (11.979125467302618 51.47395752370714),2,5,2,5,2,5,2,5,1,5,1,5,1,5,1,5,4,5,4,5,3,5,4,5,0,5,0,5,0,5,0,5,1,5,1,5,1,5,1,5,60.0,60.0,40.0,0.0,0.0,0.0
0,5,POINT (11.963772973335551 51.49619144127862),2,5,3,5,2,5,2,5,2,5,2,5,2,5,2,5,4,5,4,5,3,5,4,5,0,5,0,5,0,5,0,5,2,5,2,5,2,5,2,5,100.0,100.0,100.0,0.0,0.0,0.0
0,5,POINT (11.967455680512321 51.49153334317622),1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5,4,5,4,5,4,5,4,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5,80.0,80.0,80.0,0.0,0.0,0.0
0,5,POINT (11.988913073359964 51.465235152818984),0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,1,5,1,5,1,5,1,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,100.0,100.0,80.0,0.0,0.0,0.0
0,5,POINT (11.963232709549418 51.512178806469315),2,5,2,5,2,5,2,5,1,5,1,5,1,5,1,5,3,5,3,5,3,5,3,5,0,5,0,5,0,5,0,5,1,5,1,5,1,5,1,5,80.0,100.0,100.0,0.0,0.0,0.0
0,5,POINT (11.967708882924105 51.485468065125666),1,5,1,5,1,5,1,5,0,5,0,5,0,5,0,5,5,5,5,5,5,5,5,5,0,5,0,5,0,5,0,5,1,5,1,5,1,5,1,5,100.0,100.0,100.0,20.0,20.0,20.0
0,5,POINT (11.964294392745185 51.456138975123935),0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,1,5,2,5,1,5,1,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,100.0,100.0,100.0,0.0,0.0,0.0
0,5,POINT (11.95308175871637 51.46588366713828),0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,1,5,1,5,1,5,1,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,80.0,80.0,80.0,0.0,0.0,0.0
0,5,POINT (11.966606892162373 51.48338961231364),1,5,1,5,1,5,1,5,0,5,0,5,0,5,0,5,5,5,5,5,5,5,5,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,100.0,100.0,100.0,0.0,0.0,0.0
0,5,POINT (11.949822901411709 51.507684507178915),0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,2,5,2,5,2,5,2,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,80.0,80.0,100.0,0.0,0.0,0.0
0,5,POINT (11.92382845 51.4948293),0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,1,5,1,5,0,5,1,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,80.0,80.0,60.0,0.0,0.0,0.0
0,5,POINT (11.958835372983629 51.4527346903943),0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,100.0,100.0,100.0,0.0,0.0,0.0
0,5,POINT (11.965475382294928 51.4929080529109),2,5,2,5,2,5,2,5,1,5,1,5,1,5,1,5,4,5,4,5,3,5,4,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5,80.0,80.0,80.0,0.0,0.0,0.0
