,group,average travel time,average visit time,average likely,average possible,15 travel time,15 visit time,15 mode,15 likely,15 possible,18 travel time,18 visit time,18 mode,18 likely,18 possible,21 travel time,21 visit time,21 mode,21 likely,21 possible
40,women,1313.7,8027.4,no,yes,1313.7,8027.4,foot,no,yes,1313.7,8027.4,foot,no,yes,1313.7,8027.4,foot,no,yes
41,women,1304.9,8009.8,no,yes,1304.9,8009.8,foot,no,yes,1304.9,8009.8,foot,no,yes,1304.9,8009.8,foot,no,yes
42,women,1676.5999999999997,8753.199999999999,no,yes,1676.6,8753.2,foot,no,yes,1676.6,8753.2,foot,no,yes,1676.6,8753.2,foot,no,yes
43,women,2012.5,9425.0,no,yes,2012.5,9425.0,foot,no,yes,2012.5,9425.0,foot,no,yes,2012.5,9425.0,foot,no,yes
44,women,2197.5,9795.0,no,yes,2197.5,9795.0,foot,no,yes,2197.5,9795.0,foot,no,yes,2197.5,9795.0,foot,no,yes
45,women,1657.0999999999997,8714.199999999999,no,yes,1657.1,8714.2,foot,no,yes,1657.1,8714.2,foot,no,yes,1657.1,8714.2,foot,no,yes
46,women,1267.5,7935.0,no,yes,1267.5,7935.0,foot,no,yes,1267.5,7935.0,foot,no,yes,1267.5,7935.0,foot,no,yes
47,women,1123.9,7647.8,no,yes,1123.9,7647.8,foot,no,yes,1123.9,7647.8,foot,no,yes,1123.9,7647.8,foot,no,yes
48,women,1763.4000000000003,8926.800000000001,no,yes,1763.4,8926.8,foot,no,yes,1763.4,8926.8,foot,no,yes,1763.4,8926.8,foot,no,yes
49,women,805.6,7011.2,no,yes,805.6,7011.2,foot,no,yes,805.6,7011.2,foot,no,yes,805.6,7011.2,foot,no,yes
50,women,1959.8,9319.6,no,yes,1959.8,9319.6,foot,no,yes,1959.8,9319.6,foot,no,yes,1959.8,9319.6,foot,no,yes
51,women,1555.0,8510.0,no,yes,1555.0,8510.0,foot,no,yes,1555.0,8510.0,foot,no,yes,1555.0,8510.0,foot,no,yes
52,women,2036.5999999999997,9473.199999999999,no,yes,2036.6,9473.2,foot,no,yes,2036.6,9473.2,foot,no,yes,2036.6,9473.2,foot,no,yes
53,women,1268.6,7937.2,no,yes,1268.6,7937.2,foot,no,yes,1268.6,7937.2,foot,no,yes,1268.6,7937.2,foot,no,yes
54,women,2216.6,9833.2,no,yes,2216.6,9833.2,foot,no,yes,2216.6,9833.2,foot,no,yes,2216.6,9833.2,foot,no,yes
55,women,1356.8,8113.6,no,yes,1356.8,8113.6,foot,no,yes,1356.8,8113.6,foot,no,yes,1356.8,8113.6,foot,no,yes
56,women,1619.3,8638.6,no,yes,1619.3,8638.6,foot,no,yes,1619.3,8638.6,foot,no,yes,1619.3,8638.6,foot,no,yes
57,women,1455.9000000000003,8311.800000000001,no,yes,1455.9,8311.8,foot,no,yes,1455.9,8311.8,foot,no,yes,1455.9,8311.8,foot,no,yes
58,women,355.6000000000001,6111.2,yes,yes,355.6,6111.2,foot,yes,yes,355.6,6111.2,foot,yes,yes,355.6,6111.2,foot,yes,yes
59,women,1422.0999999999997,8244.199999999999,no,yes,1422.1,8244.2,foot,no,yes,1422.1,8244.2,foot,no,yes,1422.1,8244.2,foot,no,yes
60,women,1701.8,8803.6,no,yes,1701.8,8803.6,foot,no,yes,1701.8,8803.6,foot,no,yes,1701.8,8803.6,foot,no,yes
61,women,2126.7,9653.4,no,yes,2126.7,9653.4,foot,no,yes,2126.7,9653.4,foot,no,yes,2126.7,9653.4,foot,no,yes
62,women,1058.7,7517.4,no,yes,1058.7,7517.4,foot,no,yes,1058.7,7517.4,foot,no,yes,1058.7,7517.4,foot,no,yes
63,women,1770.9000000000003,8941.800000000001,no,yes,1770.9,8941.8,foot,no,yes,1770.9,8941.8,foot,no,yes,1770.9,8941.8,foot,no,yes
64,women,1954.0,9308.0,no,yes,1954.0,9308.0,foot,no,yes,1954.0,9308.0,foot,no,yes,1954.0,9308.0,foot,no,yes
65,women,1156.3,7712.6,no,yes,1156.3,7712.6,foot,no,yes,1156.3,7712.6,foot,no,yes,1156.3,7712.6,foot,no,yes
66,women,2016.2,9432.4,no,yes,2016.2,9432.4,foot,no,yes,2016.2,9432.4,foot,no,yes,2016.2,9432.4,foot,no,yes
67,women,1243.9,7887.8,no,yes,1243.9,7887.8,foot,no,yes,1243.9,7887.8,foot,no,yes,1243.9,7887.8,foot,no,yes
68,women,370.5,6141.0,yes,yes,370.5,6141.0,foot,yes,yes,370.5,6141.0,foot,yes,yes,370.5,6141.0,foot,yes,yes
69,women,1672.8,8745.6,no,yes,1672.8,8745.6,foot,no,yes,1672.8,8745.6,foot,no,yes,1672.8,8745.6,foot,no,yes
70,women,264.3,5928.6,yes,yes,264.3,5928.6,foot,yes,yes,264.3,5928.6,foot,yes,yes,264.3,5928.6,foot,yes,yes
71,women,371.3999999999999,6142.8,yes,yes,371.4,6142.8,foot,yes,yes,371.4,6142.8,foot,yes,yes,371.4,6142.8,foot,yes,yes
72,women,1669.9000000000003,8739.800000000001,no,yes,1669.9,8739.8,foot,no,yes,1669.9,8739.8,foot,no,yes,1669.9,8739.8,foot,no,yes
73,women,1773.9000000000003,8947.800000000001,no,yes,1773.9,8947.8,foot,no,yes,1773.9,8947.8,foot,no,yes,1773.9,8947.8,foot,no,yes
74,women,2509.7,10419.4,no,yes,2509.7,10419.4,foot,no,yes,2509.7,10419.4,foot,no,yes,2509.7,10419.4,foot,no,yes
