,cinema_name,15_total_route,15_total_duration,15_walk_to,15_walk_from,15_total_changes,18_total_route,18_total_duration,18_walk_to,18_walk_from,18_total_changes,21_total_route,21_total_duration,21_walk_to,21_walk_from,21_total_changes,car_duration,foot_duration,area,start_location,distance_start_centroid,distance_start_cinema,geometry,average duration,15_speed,18_speed,21_speed,average speed,average duration difference to car,15_fastest_mode,15_trip_duration,15_fastest_overall_mode,15_transit_dur,15_walk_share,18_fastest_mode,18_trip_duration,18_fastest_overall_mode,18_transit_dur,18_walk_share,21_fastest_mode,21_trip_duration,21_fastest_overall_mode,21_transit_dur,21_walk_share,average transit duration,average walk share,population,level,level_dummy,cinemas,population aggr,population density,built-up area,transit departures,transit stops,osm_cinemas,average changes,area average changes,15_chosen_route,18_chosen_route,21_chosen_route,average_chosen_route,15_visit_time,15_likely_women,15_possible_women,18_visit_time,18_likely_women,18_possible_women,21_visit_time,21_likely_women,21_possible_women,average_visit_time,average_likely_women,average_possible_women,15_likely_men,15_possible_men,18_likely_men,18_possible_men,21_likely_men,21_possible_men,average_likely_men,average_possible_men,15_likely_children 10-17,15_possible_children 10-17,18_likely_children 10-17,18_possible_children 10-17,21_likely_children 10-17,21_possible_children 10-17,average_likely_children 10-17,average_possible_children 10-17,15_likely_45-64,15_possible_45-64,18_likely_45-64,18_possible_45-64,21_likely_45-64,21_possible_45-64,average_likely_45-64,average_possible_45-64,15_likely_65 and over,15_possible_65 and over,18_likely_65 and over,18_possible_65 and over,21_likely_65 and over,21_possible_65 and over,average_likely_65 and over,average_possible_65 and over
10,Puschkino,Puschkino_AmLeipzigerTurm_15.csv,437.4,116.1,141.3,0.0,Puschkino_AmLeipzigerTurm_18.csv,437.4,116.1,141.3,0.0,Puschkino_AmLeipzigerTurm_21.csv,547.0,45.7,141.3,0.0,586.4,1396.9,Halle (Saale),POINT (11.96987903548722 51.47750306836637),329.837446095303,1597.1455806437948,,1421.8,3.6514530878916207,3.6514530878916207,2.919827386917358,3.407577854233533,835.4,transit,437.4,transit,180.0,58.8477366255144,transit,437.4,transit,180.0,58.8477366255144,transit,547.0,transit,360.0,34.18647166361974,720.0,151.88194491464856,1581.0,top,3,6,242083,1792.81,52.92,60209,290,5,0.0,1.5779092702169626,437.4,437.4,547.0,473.93333333333334,6274.8,yes,yes,6274.8,yes,yes,6494.0,yes,yes,6347.866666666667,yes,yes,yes,yes,yes,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,no,yes,no,yes,yes,yes,yes,yes,no,yes,yes,yes
11,CinemaxX,CinemaxX_AmLeipzigerTurm_15.csv,432.0,116.1,195.9,0.0,CinemaxX_AmLeipzigerTurm_18.csv,361.6,45.7,195.9,0.0,CinemaxX_AmLeipzigerTurm_21.csv,432.0,116.1,195.9,0.0,442.6,784.4,Halle (Saale),POINT (11.96987903548722 51.47750306836637),329.837446095303,796.4410821052558,,1225.6,1.8436136159843883,2.2025472403353312,1.8436136159843883,1.9632581574347028,782.9999999999999,transit,432.0,transit,120.0,72.22222222222223,transit,361.6,transit,120.0,66.8141592920354,transit,432.0,transit,120.0,72.22222222222223,360.0,211.25860373647987,3424.0,top,3,6,242083,1792.81,52.92,60209,290,5,0.0,1.5779092702169626,432.0,361.6,432.0,408.5333333333333,6264.0,yes,yes,6123.2,yes,yes,6264.0,yes,yes,6217.066666666667,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes
12,Bel Etage,Bel Etage_AmLeipzigerTurm_15.csv,633.3,116.1,337.2,0.0,Bel Etage_AmLeipzigerTurm_18.csv,562.9,45.7,337.2,0.0,Bel Etage_AmLeipzigerTurm_21.csv,633.3,116.1,337.2,0.0,252.5,833.7,Halle (Saale),POINT (11.96987903548722 51.47750306836637),329.837446095303,933.3013386890964,,1829.5,1.4737112564173322,1.6580233410714096,1.4737112564173322,1.5351486179686915,1576.9999999999998,transit,633.3,car,180.0,71.57745144481288,transit,562.9,car,180.0,68.02273938532599,transit,633.3,car,180.0,71.57745144481288,540.0,211.1776422749517,2852.0,top,3,6,242083,1792.81,52.92,60209,290,5,0.0,1.5779092702169626,633.3,562.9,633.3,609.8333333333333,6666.6,yes,yes,6525.8,yes,yes,6666.6,yes,yes,6619.666666666666,yes,yes,no,yes,no,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes
13,Prisma Cinema Halle-Neustadt,Prisma Cinema Halle-Neustadt_AmLeipzigerTurm_15.csv,615.4,116.1,79.3,0.0,Prisma Cinema Halle-Neustadt_AmLeipzigerTurm_18.csv,615.4,116.1,79.3,0.0,Prisma Cinema Halle-Neustadt_AmLeipzigerTurm_21.csv,615.4,116.1,79.3,0.0,643.7,2785.9,Halle (Saale),POINT (11.96987903548722 51.47750306836637),329.837446095303,3467.061437856759,,1846.2,5.633833990667466,5.633833990667466,5.633833990667466,5.633833990667466,1202.4999999999998,transit,615.4,transit,420.0,31.751706207344814,transit,615.4,transit,420.0,31.751706207344814,transit,615.4,transit,420.0,31.751706207344814,1260.0,95.25511862203444,6058.0,top,3,6,242083,1792.81,52.92,60209,290,5,0.0,1.5779092702169626,615.4,615.4,615.4,615.4,6630.8,yes,yes,6630.8,yes,yes,6630.8,yes,yes,6630.8,yes,yes,no,yes,no,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes
14,Luchs,Luchs_AmLeipzigerTurm_15.csv,844.9,116.1,68.8,0.0,Luchs_AmLeipzigerTurm_18.csv,844.9,116.1,68.8,0.0,Luchs_AmLeipzigerTurm_21.csv,954.5,45.7,68.8,1.0,728.2,2665.1,Halle (Saale),POINT (11.96987903548722 51.47750306836637),329.837446095303,3233.9342756658743,,2644.3,3.827594124353029,3.827594124353029,3.388092483672996,3.6810935774596847,1916.1,transit,844.9,car,660.0,21.88424665640904,transit,844.9,car,660.0,21.88424665640904,transit,954.5,car,840.0,11.995809324253536,2160.0,55.764302637071616,11639.0,top,3,6,242083,1792.81,52.92,60209,290,5,1.0,1.5779092702169626,844.9,844.9,954.5,881.4333333333334,7089.8,no,yes,7089.8,no,yes,7309.0,no,yes,7162.866666666667,no,yes,no,yes,no,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes
15,Puschkino,Puschkino_WeinbergCampus_15.csv,1037.4,236.1,141.3,0.0,Puschkino_WeinbergCampus_18.csv,1037.4,236.1,141.3,0.0,Puschkino_WeinbergCampus_21.csv,977.4,236.1,141.3,0.0,645.9,2855.1,Halle (Saale),POINT (11.929675609930161 51.50581844633511),3909.6567007042977,3062.970097621453,,3052.2000000000003,2.952544917699492,2.952544917699492,3.133793838368584,3.012961224589189,2406.3,transit,1037.4,car,660.0000000000001,36.37941006362058,transit,1037.4,car,660.0000000000001,36.37941006362058,transit,977.4,car,600.0,38.61264579496624,1920.0,111.3714659222074,2830.0,top,3,6,242083,1792.81,52.92,60209,290,5,0.0,1.5779092702169626,1037.4,1037.4,977.4,1017.4000000000001,7474.8,no,yes,7474.8,no,yes,7354.8,no,yes,7434.8,no,yes,no,yes,no,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes
16,CinemaxX,CinemaxX_WeinbergCampus_15.csv,1512.0,236.1,195.9,1.0,CinemaxX_WeinbergCampus_18.csv,1572.0,236.1,195.9,1.0,CinemaxX_WeinbergCampus_21.csv,1812.0,236.1,195.9,2.0,870.2,3974.2,Halle (Saale),POINT (11.929675609930161 51.50581844633511),3909.6567007042977,4526.294808156906,,4896.0,2.993581222325996,2.8793223970463777,2.497955192139573,2.7902862705039824,4025.8,transit,1512.0,car,1080.0,28.57142857142857,transit,1572.0,car,1140.0,27.48091603053436,transit,1812.0,car,1380.0,23.841059602649004,3600.0,79.89340420461193,97.0,top,3,6,242083,1792.81,52.92,60209,290,5,4.0,1.5779092702169626,1512.0,1572.0,1812.0,1632.0,8424.0,no,yes,8544.0,no,yes,9024.0,no,yes,8664.0,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes
17,Bel Etage,Bel Etage_WeinbergCampus_15.csv,1773.3,236.1,337.2,1.0,Bel Etage_WeinbergCampus_18.csv,1833.3,236.1,337.2,1.0,Bel Etage_WeinbergCampus_21.csv,2013.3,236.1,337.2,2.0,837.4,4345.8,Halle (Saale),POINT (11.929675609930161 51.50581844633511),3909.6567007042977,5018.095113366746,,5619.9,2.829806075321009,2.7371925562465207,2.4924726138015925,2.686490415123041,4782.5,transit,1773.3,car,1200.0,32.32955506682456,transit,1833.3,car,1260.0,31.27147766323024,transit,2013.3,car,1440.0,28.475637013857845,3900.0,92.07666974391265,7811.0,top,3,6,242083,1792.81,52.92,60209,290,5,4.0,1.5779092702169626,1773.3,1833.3,2013.3,1873.3,8946.6,no,yes,9066.6,no,yes,9426.6,no,yes,9146.6,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes
18,Prisma Cinema Halle-Neustadt,Prisma Cinema Halle-Neustadt_WeinbergCampus_15.csv,2037.0,695.1,141.9,0.0,Prisma Cinema Halle-Neustadt_WeinbergCampus_18.csv,1939.9,695.1,104.8,0.0,Prisma Cinema Halle-Neustadt_WeinbergCampus_21.csv,2840.3,961.0,79.3,0.0,608.1,2791.6,Halle (Saale),POINT (11.929675609930161 51.50581844633511),3909.6567007042977,3027.4836037729315,,6817.200000000001,1.4862462463293724,1.560639003955323,1.065902758079404,1.3709293361213666,6209.1,transit,2037.0,car,1200.0,41.08983799705449,transit,1939.9,car,1140.0,41.23408423114593,foot,2791.6,car,1800.0000000000002,36.6264127028835,4140.0,118.95033493108392,4027.0,top,3,6,242083,1792.81,52.92,60209,290,5,0.0,1.5779092702169626,2037.0,1939.9,2791.6,2256.1666666666665,9474.0,no,yes,9279.8,no,yes,10983.2,no,yes,9912.333333333332,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes
19,Luchs,Luchs_WeinbergCampus_15.csv,604.9,236.1,68.8,0.0,Luchs_WeinbergCampus_18.csv,2544.4,236.1,328.3,1.0,Luchs_WeinbergCampus_21.csv,604.9,236.1,68.8,0.0,429.4,2001.9,Halle (Saale),POINT (11.929675609930161 51.50581844633511),3909.6567007042977,2165.112148376533,,3754.2,3.579289383991623,0.8509323016729023,3.579289383991623,2.669837023218716,3324.8,transit,604.9,car,300.0,50.40502562407009,foot,2001.9,car,1980.0,22.18204684797988,transit,604.9,car,300.0,50.40502562407009,2580.0,122.99209809612006,3476.0,top,3,6,242083,1792.81,52.92,60209,290,5,1.0,1.5779092702169626,604.9,2001.9,604.9,1070.5666666666668,6609.8,yes,yes,9403.8,no,yes,6609.8,yes,yes,7541.133333333333,no,yes,no,yes,no,yes,no,yes,no,yes,yes,yes,no,yes,yes,yes,yes,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes
