,group,average travel time,average visit time,average likely,average possible,15 travel time,15 visit time,15 mode,15 likely,15 possible,18 travel time,18 visit time,18 mode,18 likely,18 possible,21 travel time,21 visit time,21 mode,21 likely,21 possible
82,women,,,no,no,,,foot,no,no,,,foot,no,no,,,foot,no,no
83,women,,,no,no,,,foot,no,no,,,foot,no,no,,,foot,no,no
84,women,,,no,no,,,foot,no,no,,,foot,no,no,,,foot,no,no
85,women,,,no,no,,,foot,no,no,,,foot,no,no,,,foot,no,no
86,women,,,no,no,,,foot,no,no,,,foot,no,no,,,foot,no,no
87,women,,,no,no,,,foot,no,no,,,foot,no,no,,,foot,no,no
88,women,,,no,no,,,foot,no,no,,,foot,no,no,,,foot,no,no
89,women,,,no,no,,,foot,no,no,,,foot,no,no,,,foot,no,no
90,women,,,no,no,,,foot,no,no,,,foot,no,no,,,foot,no,no
91,women,,,no,no,,,foot,no,no,,,foot,no,no,,,foot,no,no
92,women,,,no,no,,,foot,no,no,,,foot,no,no,,,foot,no,no
93,women,,,no,no,,,foot,no,no,,,foot,no,no,,,foot,no,no
94,women,,,no,no,,,foot,no,no,,,foot,no,no,,,foot,no,no
95,women,,,no,no,,,foot,no,no,,,foot,no,no,,,foot,no,no
96,women,,,no,no,,,foot,no,no,,,foot,no,no,,,foot,no,no
97,women,,,no,no,,,foot,no,no,,,foot,no,no,,,foot,no,no
98,women,,,no,no,,,foot,no,no,,,foot,no,no,,,foot,no,no
99,women,,,no,no,,,foot,no,no,,,foot,no,no,,,foot,no,no
100,women,,,no,no,,,foot,no,no,,,foot,no,no,,,foot,no,no
101,women,,,no,no,,,foot,no,no,,,foot,no,no,,,foot,no,no
102,women,,,no,no,,,foot,no,no,,,foot,no,no,,,foot,no,no
103,women,,,no,no,,,foot,no,no,,,foot,no,no,,,foot,no,no
0,men,,,no,no,,,foot,no,no,,,foot,no,no,,,foot,no,no
1,men,,,no,no,,,foot,no,no,,,foot,no,no,,,foot,no,no
2,men,,,no,no,,,foot,no,no,,,foot,no,no,,,foot,no,no
3,men,,,no,no,,,foot,no,no,,,foot,no,no,,,foot,no,no
4,men,,,no,no,,,foot,no,no,,,foot,no,no,,,foot,no,no
5,men,,,no,no,,,foot,no,no,,,foot,no,no,,,foot,no,no
6,men,,,no,no,,,foot,no,no,,,foot,no,no,,,foot,no,no
7,men,,,no,no,,,foot,no,no,,,foot,no,no,,,foot,no,no
8,men,,,no,no,,,foot,no,no,,,foot,no,no,,,foot,no,no
9,men,,,no,no,,,foot,no,no,,,foot,no,no,,,foot,no,no
10,men,,,no,no,,,foot,no,no,,,foot,no,no,,,foot,no,no
11,men,,,no,no,,,foot,no,no,,,foot,no,no,,,foot,no,no
12,men,,,no,no,,,foot,no,no,,,foot,no,no,,,foot,no,no
13,men,,,no,no,,,foot,no,no,,,foot,no,no,,,foot,no,no
14,men,,,no,no,,,foot,no,no,,,foot,no,no,,,foot,no,no
15,men,,,no,no,,,foot,no,no,,,foot,no,no,,,foot,no,no
16,men,,,no,no,,,foot,no,no,,,foot,no,no,,,foot,no,no
17,men,,,no,no,,,foot,no,no,,,foot,no,no,,,foot,no,no
18,men,,,no,no,,,foot,no,no,,,foot,no,no,,,foot,no,no
19,men,,,no,no,,,foot,no,no,,,foot,no,no,,,foot,no,no
20,men,,,no,no,,,foot,no,no,,,foot,no,no,,,foot,no,no
21,men,,,no,no,,,foot,no,no,,,foot,no,no,,,foot,no,no
22,men,,,no,no,,,foot,no,no,,,foot,no,no,,,foot,no,no
23,men,,,no,no,,,foot,no,no,,,foot,no,no,,,foot,no,no
24,men,,,no,no,,,foot,no,no,,,foot,no,no,,,foot,no,no
25,men,,,no,no,,,foot,no,no,,,foot,no,no,,,foot,no,no
26,men,,,no,no,,,foot,no,no,,,foot,no,no,,,foot,no,no
27,men,,,no,no,,,foot,no,no,,,foot,no,no,,,foot,no,no
28,men,,,no,no,,,foot,no,no,,,foot,no,no,,,foot,no,no
29,men,,,no,no,,,foot,no,no,,,foot,no,no,,,foot,no,no
30,men,,,no,no,,,foot,no,no,,,foot,no,no,,,foot,no,no
31,men,,,no,no,,,foot,no,no,,,foot,no,no,,,foot,no,no
32,men,,,no,no,,,foot,no,no,,,foot,no,no,,,foot,no,no
33,men,,,no,no,,,foot,no,no,,,foot,no,no,,,foot,no,no
34,men,,,no,no,,,foot,no,no,,,foot,no,no,,,foot,no,no
35,men,,,no,no,,,foot,no,no,,,foot,no,no,,,foot,no,no
36,men,,,no,no,,,foot,no,no,,,foot,no,no,,,foot,no,no
37,men,,,no,no,,,foot,no,no,,,foot,no,no,,,foot,no,no
38,men,,,no,no,,,foot,no,no,,,foot,no,no,,,foot,no,no
39,men,,,no,no,,,foot,no,no,,,foot,no,no,,,foot,no,no
40,men,,,no,no,,,foot,no,no,,,foot,no,no,,,foot,no,no
41,men,,,no,no,,,foot,no,no,,,foot,no,no,,,foot,no,no
42,men,,,no,no,,,foot,no,no,,,foot,no,no,,,foot,no,no
43,men,,,no,no,,,foot,no,no,,,foot,no,no,,,foot,no,no
44,men,,,no,no,,,foot,no,no,,,foot,no,no,,,foot,no,no
45,men,,,no,no,,,foot,no,no,,,foot,no,no,,,foot,no,no
46,men,,,no,no,,,foot,no,no,,,foot,no,no,,,foot,no,no
47,men,,,no,no,,,foot,no,no,,,foot,no,no,,,foot,no,no
48,men,,,no,no,,,foot,no,no,,,foot,no,no,,,foot,no,no
49,men,,,no,no,,,foot,no,no,,,foot,no,no,,,foot,no,no
50,men,,,no,no,,,foot,no,no,,,foot,no,no,,,foot,no,no
51,men,,,no,no,,,foot,no,no,,,foot,no,no,,,foot,no,no
52,men,,,no,no,,,foot,no,no,,,foot,no,no,,,foot,no,no
53,men,,,no,no,,,foot,no,no,,,foot,no,no,,,foot,no,no
54,men,,,no,no,,,foot,no,no,,,foot,no,no,,,foot,no,no
55,men,,,no,no,,,foot,no,no,,,foot,no,no,,,foot,no,no
56,men,,,no,no,,,foot,no,no,,,foot,no,no,,,foot,no,no
57,men,,,no,no,,,foot,no,no,,,foot,no,no,,,foot,no,no
58,men,,,no,no,,,foot,no,no,,,foot,no,no,,,foot,no,no
59,men,,,no,no,,,foot,no,no,,,foot,no,no,,,foot,no,no
60,men,,,no,no,,,foot,no,no,,,foot,no,no,,,foot,no,no
61,men,,,no,no,,,foot,no,no,,,foot,no,no,,,foot,no,no
62,men,,,no,no,,,foot,no,no,,,foot,no,no,,,foot,no,no
63,men,,,no,no,,,foot,no,no,,,foot,no,no,,,foot,no,no
64,men,,,no,no,,,foot,no,no,,,foot,no,no,,,foot,no,no
65,men,,,no,no,,,foot,no,no,,,foot,no,no,,,foot,no,no
66,men,,,no,no,,,foot,no,no,,,foot,no,no,,,foot,no,no
67,men,,,no,no,,,foot,no,no,,,foot,no,no,,,foot,no,no
68,men,,,no,no,,,foot,no,no,,,foot,no,no,,,foot,no,no
69,men,,,no,no,,,foot,no,no,,,foot,no,no,,,foot,no,no
70,men,,,no,no,,,foot,no,no,,,foot,no,no,,,foot,no,no
71,men,,,no,no,,,foot,no,no,,,foot,no,no,,,foot,no,no
72,men,,,no,no,,,foot,no,no,,,foot,no,no,,,foot,no,no
73,men,,,no,no,,,foot,no,no,,,foot,no,no,,,foot,no,no
74,men,,,no,no,,,foot,no,no,,,foot,no,no,,,foot,no,no
