,group,average travel time,average visit time,average likely,average possible,15 travel time,15 visit time,15 mode,15 likely,15 possible,18 travel time,18 visit time,18 mode,18 likely,18 possible,21 travel time,21 visit time,21 mode,21 likely,21 possible
138,women,406.1000000000001,6212.2,yes,yes,406.1,6212.2,transit,yes,yes,406.1,6212.2,transit,yes,yes,406.1,6212.2,transit,yes,yes
139,women,995.5,7391.0,no,yes,995.5,7391.0,transit,no,yes,995.5,7391.0,transit,no,yes,995.5,7391.0,transit,no,yes
140,women,1431.2,8262.4,no,yes,1431.2,8262.4,transit,no,yes,1431.2,8262.4,transit,no,yes,1431.2,8262.4,transit,no,yes
141,women,2305.9666666666667,10011.933333333334,no,yes,2012.9,9425.8,transit,no,yes,2012.9,9425.8,transit,no,yes,2892.1,11184.2,transit,no,yes
142,women,2447.2,10294.4,no,yes,2547.2,10494.4,transit,no,yes,2547.2,10494.4,transit,no,yes,2247.2,9894.4,transit,no,yes
143,women,1271.7,7943.4,no,yes,1271.7,7943.4,foot,no,yes,1271.7,7943.4,foot,no,yes,1271.7,7943.4,foot,no,yes
144,women,2458.2333333333336,10316.466666666667,no,yes,1884.7,9169.4,transit,no,yes,1884.7,9169.4,transit,no,yes,3605.3,12610.6,foot,no,yes
145,women,2488.9666666666667,10377.933333333334,no,yes,1830.3,9060.6,transit,no,yes,1830.3,9060.6,transit,no,yes,3806.3,13012.6,transit,no,yes
146,women,1564.5999999999997,8529.199999999999,no,yes,1404.6,8209.2,transit,no,yes,1404.6,8209.2,transit,no,yes,1884.6,9169.2,transit,no,yes
147,women,1239.1,7878.2,no,yes,1239.1,7878.2,transit,no,yes,1239.1,7878.2,transit,no,yes,1239.1,7878.2,transit,no,yes
148,women,455.3,6310.6,yes,yes,455.3,6310.6,transit,yes,yes,455.3,6310.6,transit,yes,yes,455.3,6310.6,transit,yes,yes
149,women,67.9,5535.8,yes,yes,67.9,5535.8,foot,yes,yes,67.9,5535.8,foot,yes,yes,67.9,5535.8,foot,yes,yes
150,women,1691.3,8782.6,no,yes,1631.3,8662.6,transit,no,yes,1631.3,8662.6,transit,no,yes,1811.3,9022.6,transit,no,yes
151,women,1480.7,8361.4,no,yes,1440.7,8281.4,transit,no,yes,1440.7,8281.4,transit,no,yes,1560.7,8521.4,transit,no,yes
152,women,1435.9000000000003,8271.800000000001,no,yes,1475.9,8351.8,transit,no,yes,1475.9,8351.8,transit,no,yes,1355.9,8111.8,transit,no,yes
153,women,1357.6,8115.2,no,yes,1397.6,8195.2,transit,no,yes,1397.6,8195.2,transit,no,yes,1277.6,7955.2,transit,no,yes
154,women,2871.9,11143.8,no,yes,2651.9,10703.8,transit,no,yes,2651.9,10703.8,transit,no,yes,3311.9,12023.8,transit,no,yes
155,women,2461.3,10322.6,no,yes,2461.3,10322.6,transit,no,yes,2461.3,10322.6,transit,no,yes,2461.3,10322.6,transit,no,yes
156,women,894.7999999999998,7189.599999999999,no,yes,894.8,7189.6,transit,no,yes,894.8,7189.6,transit,no,yes,894.8,7189.6,transit,no,yes
157,women,1395.6000000000001,8191.200000000001,no,yes,1294.5,7989.0,transit,no,yes,1294.5,7989.0,transit,no,yes,1597.8,8595.6,transit,no,yes
158,women,1335.6666666666667,8071.333333333334,no,yes,1329.0,8058.0,transit,no,yes,1329.0,8058.0,transit,no,yes,1349.0,8098.0,foot,no,yes
159,women,1180.2333333333333,7760.466666666667,no,yes,1246.0,7892.0,foot,no,yes,1246.0,7892.0,foot,no,yes,1048.7,7497.4,transit,no,yes
160,women,2032.0,9464.0,no,yes,2072.0,9544.0,transit,no,yes,2072.0,9544.0,transit,no,yes,1952.0,9304.0,transit,no,yes
161,women,1453.5999999999997,8307.199999999999,no,yes,1493.6,8387.2,transit,no,yes,1493.6,8387.2,transit,no,yes,1373.6,8147.2,transit,no,yes
162,women,3540.5,12481.0,no,yes,3320.5,12041.0,transit,no,yes,3320.5,12041.0,transit,no,yes,3980.5,13361.0,transit,no,yes
