,cinema_name,15_total_route,15_total_duration,15_walk_to,15_walk_from,15_total_changes,18_total_route,18_total_duration,18_walk_to,18_walk_from,18_total_changes,21_total_route,21_total_duration,21_walk_to,21_walk_from,21_total_changes,car_duration,foot_duration,area,start_location,distance_start_centroid,distance_start_cinema,geometry,average duration,15_speed,18_speed,21_speed,average speed,average duration difference to car,15_fastest_mode,15_trip_duration,15_fastest_overall_mode,15_transit_dur,15_walk_share,18_fastest_mode,18_trip_duration,18_fastest_overall_mode,18_transit_dur,18_walk_share,21_fastest_mode,21_trip_duration,21_fastest_overall_mode,21_transit_dur,21_walk_share,average transit duration,average walk share,average changes,15_chosen_route,18_chosen_route,21_chosen_route,average_chosen_route,15_visit_time,15_likely_women,15_possible_women,18_visit_time,18_likely_women,18_possible_women,21_visit_time,21_likely_women,21_possible_women,average_visit_time,average_likely_women,average_possible_women,15_likely_men,15_possible_men,18_likely_men,18_possible_men,21_likely_men,21_possible_men,average_likely_men,average_possible_men,15_likely_children 10-17,15_possible_children 10-17,18_likely_children 10-17,18_possible_children 10-17,21_likely_children 10-17,21_possible_children 10-17,average_likely_children 10-17,average_possible_children 10-17,15_likely_45-64,15_possible_45-64,18_likely_45-64,18_possible_45-64,21_likely_45-64,21_possible_45-64,average_likely_45-64,average_possible_45-64,15_likely_65 and over,15_possible_65 and over,18_likely_65 and over,18_possible_65 and over,21_likely_65 and over,21_possible_65 and over,average_likely_65 and over,average_possible_65 and over
10,Kinowelt Alfeld,Kinowelt Alfeld_DelligsenKindergarten_15.csv,4053.3,1376.4,576.9,0,Kinowelt Alfeld_DelligsenKindergarten_18.csv,7496.7,235.1,1861.6,1,no routes possible to this cinema,,,,,597.7,2536.7,Alfeld (Leine),POINT (9.802413055950284 51.964253350583554),2903.637935628045,3062.073018358213,,,0.755451858574054,0.4084561231419442,,,,foot,2536.7,car,2100.0,48.19036340759381,foot,2536.7,car,5400.0,27.96830605466405,foot,2536.7,car,,,,,,2536.7,2536.7,2536.7,2536.7,10473.4,no,yes,10473.4,no,yes,10473.4,no,yes,10473.4,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes
11,Kinowelt Alfeld,Kinowelt Alfeld_AlfeldBreslauerStraße_15.csv,6530.4,2088.8,1861.6,0,Kinowelt Alfeld_AlfeldBreslauerStraße_18.csv,6530.4,2088.8,1861.6,2,no routes possible to this cinema,,,,,530.9,2351.9,Alfeld (Leine),POINT (9.80117726703149 51.96670337007964),2723.541701696306,2876.532770383184,,,0.4404833961753008,0.4404833961753008,,,,foot,2351.9,car,2579.9999999999995,60.49246600514517,foot,2351.9,car,2579.9999999999995,60.49246600514517,foot,2351.9,car,,,,,,2351.9,2351.9,2351.9,2351.9,10103.8,no,yes,10103.8,no,yes,10103.8,no,yes,10103.8,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes
12,Kinowelt Alfeld,Kinowelt Alfeld_AlfeldAndenSteinköpfen_15.csv,4134.8,874.4,1160.4,0,Kinowelt Alfeld_AlfeldAndenSteinköpfen_18.csv,4367.4,1249.1,898.3,0,no routes possible to this cinema,,,,,487.5,2034.6,Alfeld (Leine),POINT (9.806258499603212 51.96874259679973),2340.013077533068,2497.675758843271,,,0.604062048670618,0.5718907722771606,,,,foot,2034.6,car,2100.0,49.21157008803328,foot,2034.6,car,2220.0,49.16884187388377,foot,2034.6,car,,,,,,2034.6,2034.6,2034.6,2034.5999999999997,9469.2,no,yes,9469.2,no,yes,9469.2,no,yes,9469.199999999999,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes
13,Kinowelt Alfeld,Kinowelt Alfeld_AlfeldBergstraße_15.csv,1007.6,240.2,407.4,0,Kinowelt Alfeld_AlfeldBergstraße_18.csv,1007.6,240.2,407.4,0,Kinowelt Alfeld_AlfeldBergstraße_21.csv,2527.0,2168.7,178.3,0.0,432.6,2225.6,Alfeld (Leine),POINT (9.860776512230908 51.97546677571994),2784.9836484192497,2842.8688904602964,,4542.2,2.821426052461588,2.821426052461588,1.124997582295329,2.255949895739502,4109.599999999999,transit,1007.6,car,360.0000000000001,64.27153632393807,transit,1007.6,car,360.0000000000001,64.27153632393807,foot,2225.6,car,180.0,92.8769291650178,900.0000000000002,73.80666727096465,0.0,1007.6,1007.6,2225.6,1413.6000000000001,7415.2,no,yes,7415.2,no,yes,9851.2,no,yes,8227.2,no,yes,no,yes,no,yes,no,yes,no,yes,yes,yes,yes,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes
14,Kinowelt Alfeld,"Kinowelt Alfeld_Alfeld(Leine),Dr.-Jansen-Str._15.csv",805.1,566.8,178.3,0,"Kinowelt Alfeld_Alfeld(Leine),Dr.-Jansen-Str._18.csv",805.1,566.8,178.3,0,"Kinowelt Alfeld_Alfeld(Leine),Dr.-Jansen-Str._21.csv",805.1,566.8,178.3,0.0,664.6,1032.3,Alfeld (Leine),POINT (9.833298832298972 51.99520149047929),1139.9179612090393,985.9273107787008,,2415.3,1.2246022988184089,1.2246022988184089,1.2246022988184089,1.2246022988184089,1750.7000000000005,transit,805.1,car,60.000000000000114,92.54750962613338,transit,805.1,car,60.000000000000114,92.54750962613338,transit,805.1,car,60.000000000000114,92.54750962613338,180.00000000000034,92.54750962613338,0.0,805.1,805.1,805.1,805.1,7010.2,no,yes,7010.2,no,yes,7010.2,no,yes,7010.2,no,yes,no,yes,no,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes
15,Kinowelt Alfeld,Kinowelt Alfeld_HoheWarte_15.csv,6826.1,3857.6,448.5,1,Kinowelt Alfeld_HoheWarte_18.csv,7467.1,3148.8,178.3,1,no routes possible to this cinema,,,,,590.6,3796.8,Alfeld (Leine),POINT (9.769293399999999 51.986781900000004),3785.3125952234377,3812.261446151101,,,0.5584830937359694,0.5105410997778389,,,,foot,3796.8,car,2520.0,63.08287309005142,foot,3796.8,car,4140.0,44.55678911491744,foot,3796.8,car,,,,,,3796.8,3796.8,3796.8,3796.8000000000006,12993.6,no,yes,12993.6,no,yes,12993.6,no,yes,12993.600000000002,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes
16,Kinowelt Alfeld,Kinowelt Alfeld_AlfeldNeuerFriedhofH.S._15.csv,578.3,340.0,178.3,0,Kinowelt Alfeld_AlfeldNeuerFriedhofH.S._18.csv,578.3,340.0,178.3,0,Kinowelt Alfeld_AlfeldNeuerFriedhofH.S._21.csv,695.2,396.9,178.3,0.0,200.6,423.2,Alfeld (Leine),POINT (9.823092415426474 51.99234312636171),651.2567269729794,488.8413252845936,,1851.8,0.8453074966014069,0.8453074966014069,0.7031664632977468,0.7979271521668536,1651.2,foot,423.2,car,60.0,89.62476223413454,foot,423.2,car,60.0,89.62476223413454,foot,423.2,car,120.0,82.73878020713464,240.0,87.32943489180124,0.0,423.2,423.2,423.2,423.2,6246.4,yes,yes,6246.4,yes,yes,6246.4,yes,yes,6246.4,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes
17,Kinowelt Alfeld,Kinowelt Alfeld_AlfeldAntoniplatz_15.csv,666.1,427.8,178.3,0,Kinowelt Alfeld_AlfeldAntoniplatz_18.csv,666.1,427.8,178.3,0,Kinowelt Alfeld_AlfeldAntoniplatz_21.csv,692.6,394.3,178.3,0.0,229.8,325.3,Alfeld (Leine),POINT (9.824003479453523 51.99204197598623),612.0657041378097,444.7218643565611,,2024.8,0.6676502992892375,0.6676502992892375,0.6421049153285606,0.6591351713023452,1795.0000000000002,foot,325.3,car,60.0,90.99234349196816,foot,325.3,car,60.0,90.99234349196816,foot,325.3,car,120.0,82.67398209644817,240.0,88.21955636012817,0.0,325.3,325.3,325.3,325.3,6050.6,yes,yes,6050.6,yes,yes,6050.6,yes,yes,6050.6,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes
18,Kinowelt Alfeld,Kinowelt Alfeld_AlfeldAndenSteinköpfen_15.csv,4535.7,1275.3,1160.4,0,Kinowelt Alfeld_AlfeldAndenSteinköpfen_18.csv,4768.3,1650.0,898.3,0,no routes possible to this cinema,,,,,541.3,2435.5,Alfeld (Leine),POINT (9.800261342705934 51.96762784408372),2679.387936061556,2829.1381351197506,,,0.6237489549837403,0.5933221766918505,,,,foot,2435.5,car,2100.0,53.70064157682386,foot,2435.5,car,2220.0,53.44252668665982,foot,2435.5,car,,,,,,2435.5,2435.5,2435.5,2435.5,10271.0,no,yes,10271.0,no,yes,10271.0,no,yes,10271.0,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes
19,Kinowelt Alfeld,Kinowelt Alfeld_AlfeldAndenSteinköpfen_15.csv,4579.3,1318.9,1160.4,0,Kinowelt Alfeld_AlfeldAndenSteinköpfen_18.csv,4811.9,1693.6,898.3,0,no routes possible to this cinema,,,,,546.8,2479.1,Alfeld (Leine),POINT (9.799187315853887 51.96553052675657),2909.562384525496,3061.580898718368,,,0.6685696282659725,0.6362519792012237,,,,foot,2479.1,car,2100.0,54.14146266896688,foot,2479.1,car,2220.0,53.864377896465015,foot,2479.1,car,,,,,,2479.1,2479.1,2479.1,2479.1,10358.2,no,yes,10358.2,no,yes,10358.2,no,yes,10358.2,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes
