,cinema_name,15_total_route,15_total_duration,15_walk_to,15_walk_from,15_total_changes,18_total_route,18_total_duration,18_walk_to,18_walk_from,18_total_changes,21_total_route,21_total_duration,21_walk_to,21_walk_from,21_total_changes,car_duration,foot_duration,area,start_location,distance_start_centroid,distance_start_cinema,geometry,average duration,15_speed,18_speed,21_speed,average speed,average duration difference to car,15_fastest_mode,15_trip_duration,15_fastest_overall_mode,15_transit_dur,15_walk_share,18_fastest_mode,18_trip_duration,18_fastest_overall_mode,18_transit_dur,18_walk_share,21_fastest_mode,21_trip_duration,21_fastest_overall_mode,21_transit_dur,21_walk_share,average transit duration,average walk share,average changes,15_chosen_route,18_chosen_route,21_chosen_route,average_chosen_route,15_visit_time,15_likely_women,15_possible_women,18_visit_time,18_likely_women,18_possible_women,21_visit_time,21_likely_women,21_possible_women,average_visit_time,average_likely_women,dummy_women,average_possible_women,dummy_possible_women,15_likely_men,15_possible_men,18_likely_men,18_possible_men,21_likely_men,21_possible_men,average_likely_men,dummy_men,average_possible_men,15_likely_children 10-17,15_possible_children 10-17,18_likely_children 10-17,18_possible_children 10-17,21_likely_children 10-17,21_possible_children 10-17,average_likely_children 10-17,average_possible_children 10-17,15_likely_45-64,15_possible_45-64,18_likely_45-64,18_possible_45-64,21_likely_45-64,21_possible_45-64,average_likely_45-64,average_possible_45-64,15_likely_65 and over,15_possible_65 and over,18_likely_65 and over,18_possible_65 and over,21_likely_65 and over,21_possible_65 and over,average_likely_65 and over,average_possible_65 and over
114,Eden Palast,Eden Palast_Hohenzollernplatzlw-41_15.csv,1209.1,121.8,367.3,3,Eden Palast_Hohenzollernplatzlw-41_18.csv,1209.1,121.8,367.3,3,Eden Palast_Hohenzollernplatzlw-41_21.csv,736.1,254.8,121.3,0,496.4,1875.1,Aachen,POINT (6.114731413182091 50.77283330212028),1580.87502610009,2084.58668272625,,3154.3,1.72408128585415,1.72408128585415,2.83193408874643,2.09336555348491,2657.9,transit,1209.1,car,720,40.4515755520635,transit,1209.1,car,720,40.4515755520635,transit,736.1,car,360,51.0936014128515,1800,43.9989175056595,6,1209.1,1209.1,736.1,1051.43333333333,7818.2,no,yes,7818.2,no,yes,6872.2,no,yes,7502.86666666667,no,no,yes,1,no,yes,no,yes,no,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes
115,Apollo Kino,Apollo Kino_DriescherGässchen(TechnischeHochschule)sw_15.csv,418.6,282.8,75.8,0,Apollo Kino_DriescherGässchen(TechnischeHochschule)sw_18.csv,418.6,282.8,75.8,0,Apollo Kino_DriescherGässchen(TechnischeHochschule)sw_21.csv,567.9,302.1,145.8,0,493,592.6,Aachen,POINT (6.080015862581927 50.7750023062246),2847.22430473414,636.423302854249,,1405.1,1.52036144972348,1.52036144972348,1.12066086081044,1.3871279200858,912.1,transit,418.6,transit,60,85.6665074056378,transit,418.6,transit,60,85.6665074056378,transit,567.9,car,120,78.8695192815637,240,83.4008446976131,0,418.6,418.6,567.9,468.366666666667,6237.2,yes,yes,6237.2,yes,yes,6535.8,yes,yes,6336.73333333333,yes,1,yes,1,yes,yes,yes,yes,no,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,no,yes,no,yes,yes,yes,yes,yes,no,yes,yes,yes
116,Capitol,Capitol_DriescherGässchen(TechnischeHochschule)sw_15.csv,562.3,282.8,99.5,0,Capitol_DriescherGässchen(TechnischeHochschule)sw_18.csv,562.3,282.8,99.5,0,Capitol_DriescherGässchen(TechnischeHochschule)sw_21.csv,562.3,282.8,99.5,0,372.2,564.9,Aachen,POINT (6.080015862581927 50.7750023062246),2847.22430473414,649.850277383809,,1686.9,1.15570029767706,1.15570029767706,1.15570029767706,1.15570029767706,1314.7,transit,562.3,car,180,67.9886181753512,transit,562.3,car,180,67.9886181753512,transit,562.3,car,180,67.9886181753512,540,67.9886181753512,0,562.3,562.3,562.3,562.3,6524.6,yes,yes,6524.6,yes,yes,6524.6,yes,yes,6524.6,yes,1,yes,1,no,yes,no,yes,no,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes
117,,None_DriescherGässchen(TechnischeHochschule)sw_15.csv,622.2,269.5,172.7,0,None_DriescherGässchen(TechnischeHochschule)sw_18.csv,622.2,269.5,172.7,0,None_DriescherGässchen(TechnischeHochschule)sw_21.csv,622.2,269.5,172.7,0,267.8,392.8,Aachen,POINT (6.080015862581927 50.7750023062246),2847.22430473414,406.027054746914,,1866.6,0.652566786799926,0.652566786799926,0.652566786799926,0.652566786799926,1598.8,foot,392.8,car,180,71.0703953712633,foot,392.8,car,180,71.0703953712633,foot,392.8,car,180,71.0703953712633,540,71.0703953712633,0,392.8,392.8,392.8,392.8,6185.6,yes,yes,6185.6,yes,yes,6185.6,yes,yes,6185.6,yes,1,yes,1,yes,yes,yes,yes,yes,yes,yes,1,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes
118,Cineplex Aachen,Cineplex Aachen_DriescherGässchen(TechnischeHochschule)sw_15.csv,619.5,269.5,170,0,Cineplex Aachen_DriescherGässchen(TechnischeHochschule)sw_18.csv,619.5,269.5,170,0,Cineplex Aachen_DriescherGässchen(TechnischeHochschule)sw_21.csv,619.5,269.5,170,0,277.3,598.5,Aachen,POINT (6.080015862581927 50.7750023062246),2847.22430473414,634.608227289634,,1858.5,1.02438777609303,1.02438777609303,1.02438777609303,1.02438777609303,1581.2,foot,598.5,car,180,70.9443099273608,foot,598.5,car,180,70.9443099273608,foot,598.5,car,180,70.9443099273608,540,70.9443099273608,0,598.5,598.5,598.5,598.5,6597,yes,yes,6597,yes,yes,6597,yes,yes,6597,yes,1,yes,1,no,yes,no,yes,no,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes
119,Eden Palast,Eden Palast_DriescherGässchen(TechnischeHochschule)sw_15.csv,940.6,279.3,121.3,0,Eden Palast_DriescherGässchen(TechnischeHochschule)sw_18.csv,826.1,464.8,121.3,0,Eden Palast_DriescherGässchen(TechnischeHochschule)sw_21.csv,826.1,464.8,121.3,0,240.9,571.4,Aachen,POINT (6.080015862581927 50.7750023062246),2847.22430473414,587.333904447626,,2592.8,0.624424733624948,0.710971921616785,0.710971921616785,0.682122858952839,2351.9,foot,571.4,car,540,42.5898362747183,foot,571.4,car,240,70.9478271395715,foot,571.4,car,240,70.9478271395715,1020,61.4951635179537,0,571.4,571.4,571.4,571.4,6542.8,yes,yes,6542.8,yes,yes,6542.8,yes,yes,6542.8,yes,1,yes,1,no,yes,no,yes,no,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes
120,Apollo Kino,Apollo Kino_Aachen-RotheErde_15.csv,1048.6,312.8,75.8,1,Apollo Kino_Aachen-RotheErde_18.csv,1048.6,312.8,75.8,1,Apollo Kino_Aachen-RotheErde_21.csv,1118.6,312.8,145.8,1,599.9,2403.2,Aachen,POINT (6.116812520898977 50.7745275107795),1793.64108680836,2756.90995814096,,3215.8,2.62913404362098,2.62913404362098,2.4646075077248,2.57429186498892,2615.9,transit,1048.6,car,660,37.0589357238222,transit,1048.6,car,660,37.0589357238222,transit,1118.6,car,660,40.9976756660111,1980,38.3718490378852,3,1048.6,1048.6,1118.6,1071.93333333333,7497.2,no,yes,7497.2,no,yes,7637.2,no,yes,7543.86666666667,no,no,yes,1,no,yes,no,yes,no,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes
121,Capitol,Capitol_Aachen-RotheErde_15.csv,952.3,312.8,99.5,2,Capitol_Aachen-RotheErde_18.csv,952.3,312.8,99.5,2,Capitol_Aachen-RotheErde_21.csv,892.3,312.8,99.5,0,523.5,1913,Aachen,POINT (6.116812520898977 50.7745275107795),1793.64108680836,2113.14935899502,,2796.9,2.2189954415573,2.2189954415573,2.36820504202064,2.26873197504508,2273.4,transit,952.3,car,540,43.2951800903077,transit,952.3,car,540,43.2951800903077,transit,892.3,car,480,46.206432814076,1560,44.2655976648971,4,952.3,952.3,892.3,932.3,7304.6,no,yes,7304.6,no,yes,7184.6,no,yes,7264.6,no,no,yes,1,no,yes,no,yes,no,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes
122,,None_Aachen-RotheErde_15.csv,1281.6,318.1,183.5,1,None_Aachen-RotheErde_18.csv,1281.6,318.1,183.5,1,None_Aachen-RotheErde_21.csv,1311.1,347.6,183.5,1,507.4,2007.9,Aachen,POINT (6.116812520898977 50.7745275107795),1793.64108680836,2253.7958141112,,3874.3,1.75857975508052,1.75857975508052,1.71901137526596,1.74539029514234,3366.9,transit,1281.6,car,780,39.1385767790262,transit,1281.6,car,780,39.1385767790262,transit,1311.1,car,780,40.5079704065289,2340,39.5950413215271,3,1281.6,1281.6,1311.1,1291.43333333333,7963.2,no,yes,7963.2,no,yes,8022.2,no,yes,7982.86666666667,no,no,yes,1,no,yes,no,yes,no,yes,no,no,yes,yes,yes,yes,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes
123,Cineplex Aachen,Cineplex Aachen_Aachen-RotheErde_15.csv,1162.5,445.8,176.7,0,Cineplex Aachen_Aachen-RotheErde_18.csv,1162.5,445.8,176.7,0,Cineplex Aachen_Aachen-RotheErde_21.csv,1081.8,445.8,276,0,436.7,1909,Aachen,POINT (6.116812520898977 50.7745275107795),1793.64108680836,2128.32722120914,,3406.8,1.83081911501862,1.83081911501862,1.96739436236748,1.87634419746824,2970.1,transit,1162.5,car,540,53.5483870967742,transit,1162.5,car,540,53.5483870967742,transit,1081.8,car,360,66.7221297836938,1440,57.9396346590808,0,1162.5,1162.5,1081.8,1135.6,7725,no,yes,7725,no,yes,7563.6,no,yes,7671.2,no,no,yes,1,no,yes,no,yes,no,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes
124,Eden Palast,Eden Palast_Aachen-RotheErde_15.csv,1154.1,312.8,121.3,3,Eden Palast_Aachen-RotheErde_18.csv,1154.1,312.8,121.3,3,Eden Palast_Aachen-RotheErde_21.csv,972.7,445.8,166.9,0,528.4,2095.9,Aachen,POINT (6.116812520898977 50.7745275107795),1793.64108680836,2256.27195091755,,3280.9,1.95500558956551,1.95500558956551,2.31959694758667,2.07653604223923,2752.5,transit,1154.1,car,720,37.6137249805043,transit,1154.1,car,720,37.6137249805043,transit,972.7,car,360,62.9896165313046,1800,46.0723554974377,6,1154.1,1154.1,972.7,1093.63333333333,7708.2,no,yes,7708.2,no,yes,7345.4,no,yes,7587.26666666667,no,no,yes,1,no,yes,no,yes,no,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes
125,Apollo Kino,Apollo Kino_Couven-Gymnasiumlw_15.csv,629,253.2,75.8,0,Apollo Kino_Couven-Gymnasiumlw_18.csv,629,253.2,75.8,0,Apollo Kino_Couven-Gymnasiumlw_21.csv,629,253.2,75.8,0,614.3,1559.4,Aachen,POINT (6.074702107100762 50.76557404338923),2686.78361348359,1707.53922088728,,1887,2.71468874544878,2.71468874544878,2.71468874544878,2.71468874544878,1272.7,transit,629,car,300,52.3052464228935,transit,629,car,300,52.3052464228935,transit,629,car,300,52.3052464228935,900,52.3052464228935,0,629,629,629,629,6658,yes,yes,6658,yes,yes,6658,yes,yes,6658,yes,1,yes,1,no,yes,no,yes,no,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes
126,Capitol,Capitol_Couven-Gymnasiumlw_15.csv,832.7,253.2,99.5,0,Capitol_Couven-Gymnasiumlw_18.csv,832.7,253.2,99.5,0,Capitol_Couven-Gymnasiumlw_21.csv,832.7,253.2,99.5,0,493.5,1640,Aachen,POINT (6.074702107100762 50.76557404338923),2686.78361348359,1689.78644515739,,2498.1,2.02928599154244,2.02928599154244,2.02928599154244,2.02928599154244,2004.6,transit,832.7,car,480,42.3561907049358,transit,832.7,car,480,42.3561907049358,transit,832.7,car,480,42.3561907049358,1440,42.3561907049358,0,832.7,832.7,832.7,832.7,7065.4,no,yes,7065.4,no,yes,7065.4,no,yes,7065.4,no,no,yes,1,no,yes,no,yes,no,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes
127,,None_Couven-Gymnasiumlw_15.csv,905.9,253.2,172.7,0,None_Couven-Gymnasiumlw_18.csv,905.9,253.2,172.7,0,None_Couven-Gymnasiumlw_21.csv,845.9,253.2,172.7,0,389.1,1149,Aachen,POINT (6.074702107100762 50.76557404338923),2686.78361348359,1107.25436265311,,2657.7,1.22226996650084,1.22226996650084,1.3089660274892,1.25116865349696,2268.6,transit,905.9,car,480,47.014019207418,transit,905.9,car,480,47.014019207418,transit,845.9,car,420,50.3487409859321,1380,48.1255931335894,0,905.9,905.9,845.9,885.9,7211.8,no,yes,7211.8,no,yes,7091.8,no,yes,7171.8,no,no,yes,1,no,yes,no,yes,no,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes
128,Cineplex Aachen,Cineplex Aachen_Couven-Gymnasiumlw_15.csv,903.2,253.2,170,0,Cineplex Aachen_Couven-Gymnasiumlw_18.csv,903.2,253.2,170,0,Cineplex Aachen_Couven-Gymnasiumlw_21.csv,843.2,253.2,170,0,275.2,1164.2,Aachen,POINT (6.074702107100762 50.76557404338923),2686.78361348359,1087.87645317478,,2649.6,1.20446905798802,1.20446905798802,1.290176059268,1.23303805841468,2374.4,transit,903.2,car,480,46.8556244464128,transit,903.2,car,480,46.8556244464128,transit,843.2,car,420,50.1897533206831,1380,47.9670007378362,0,903.2,903.2,843.2,883.2,7206.4,no,yes,7206.4,no,yes,7086.4,no,yes,7166.4,no,no,yes,1,no,yes,no,yes,no,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes
129,Eden Palast,Eden Palast_Couven-Gymnasiumlw_15.csv,774.7,473.4,121.3,0,Eden Palast_Couven-Gymnasiumlw_18.csv,774.7,473.4,121.3,0,Eden Palast_Couven-Gymnasiumlw_21.csv,794.5,253.2,121.3,0,266.3,1087.3,Aachen,POINT (6.074702107100762 50.76557404338923),2686.78361348359,958.805203234901,,2343.9,1.2376470933715,1.2376470933715,1.20680327657005,1.22736582110435,2077.6,transit,774.7,car,180,76.7651994320382,transit,774.7,car,180,76.7651994320382,transit,794.5,car,420,47.136563876652,780,66.8889875802428,0,774.7,774.7,794.5,781.3,6949.4,no,yes,6949.4,no,yes,6989,no,yes,6962.6,no,no,yes,1,no,yes,no,yes,no,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes
130,Apollo Kino,Apollo Kino_AmHügellw_15.csv,509.9,194.1,75.8,0,Apollo Kino_AmHügellw_18.csv,509.9,194.1,75.8,0,Apollo Kino_AmHügellw_21.csv,639.9,194.1,145.8,0,396.4,1242.3,Aachen,POINT (6.059495447726253 50.777815124293284),4220.1635472946,1409.25150921802,,1659.7,2.76378017104926,2.76378017104926,2.20229959246448,2.57661997818767,1263.3,transit,509.9,car,240,52.9319474406746,transit,509.9,car,240,52.9319474406746,transit,639.9,car,300,53.117674636662,780,52.9938565060038,0,509.9,509.9,639.9,553.233333333333,6419.8,yes,yes,6419.8,yes,yes,6679.8,yes,yes,6506.46666666667,yes,1,yes,1,no,yes,no,yes,no,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,no,yes,no,yes,yes,yes,yes,yes,no,yes,no,yes
131,Capitol,Capitol_AmHügellw_15.csv,893.6,194.1,99.5,0,Capitol_AmHügellw_18.csv,893.6,194.1,99.5,0,Capitol_AmHügellw_21.csv,833.6,194.1,99.5,0,415.8,1662.6,Aachen,POINT (6.059495447726253 50.777815124293284),4220.1635472946,1975.9679454758,,2620.8,2.21124434363899,2.21124434363899,2.37040300560917,2.26429723096238,2205,transit,893.6,car,600,32.8558639212175,transit,893.6,car,600,32.8558639212175,transit,833.6,car,540,35.2207293666027,1740,33.6441524030126,0,893.6,893.6,833.6,873.6,7187.2,no,yes,7187.2,no,yes,7067.2,no,yes,7147.2,no,no,yes,1,no,yes,no,yes,no,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes
132,,None_AmHügellw_15.csv,942,109.3,172.7,0,None_AmHügellw_18.csv,942,109.3,172.7,0,None_AmHügellw_21.csv,762,109.3,172.7,1,502.7,1602.6,Aachen,POINT (6.059495447726253 50.777815124293284),4220.1635472946,1869.74729881483,,2646,1.98486974396479,1.98486974396479,2.45373661261789,2.14115870018249,2143.3,transit,942,car,660,29.9363057324841,transit,942,car,660,29.9363057324841,transit,762,car,480,37.007874015748,1800,32.2934951602387,1,942,942,762,882,7284,no,yes,7284,no,yes,6924,no,yes,7164,no,no,yes,1,no,yes,no,yes,no,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes
133,Cineplex Aachen,Cineplex Aachen_AmHügellw_15.csv,939.3,109.3,170,0,Cineplex Aachen_AmHügellw_18.csv,939.3,109.3,170,0,Cineplex Aachen_AmHügellw_21.csv,759.3,109.3,170,1,512.1,1749.3,Aachen,POINT (6.059495447726253 50.777815124293284),4220.1635472946,2068.58646064549,,2637.9,2.20226387804268,2.20226387804268,2.72433354490385,2.37628710032974,2125.8,transit,939.3,car,660,29.7349089747684,transit,939.3,car,660,29.7349089747684,transit,759.3,car,480,36.7838798893718,1800,32.0845659463029,1,939.3,939.3,759.3,879.3,7278.6,no,yes,7278.6,no,yes,6918.6,no,yes,7158.6,no,no,yes,1,no,yes,no,yes,no,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes
134,Eden Palast,Eden Palast_AmHügellw_15.csv,1498.7,194.1,224.6,0,Eden Palast_AmHügellw_18.csv,1498.7,194.1,224.6,0,Eden Palast_AmHügellw_21.csv,710.6,109.3,121.3,1,475.7,1717.6,Aachen,POINT (6.059495447726253 50.777815124293284),4220.1635472946,1976.79275989284,,3708,1.31900497757579,1.31900497757579,2.78186428355311,1.8066247462349,3232.3,transit,1498.7,car,1080,27.93754587309,transit,1498.7,car,1080,27.93754587309,transit,710.6,car,480,32.4514494793133,2640,29.4421804084978,1,1498.7,1498.7,710.6,1236,8397.4,no,yes,8397.4,no,yes,6821.2,yes,yes,7872,no,no,yes,1,no,yes,no,yes,no,yes,no,no,yes,no,yes,no,yes,yes,yes,yes,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes
135,Apollo Kino,Apollo Kino_Schanz-HBF(13)H2_15.csv,703.6,207.8,75.8,0,Apollo Kino_Schanz-HBF(13)H2_18.csv,703.6,207.8,75.8,0,Apollo Kino_Schanz-HBF(13)H2_21.csv,1106.3,190.5,75.8,0,540.4,1393.3,Aachen,POINT (6.0785622615040165 50.76650294890928),2460.59825318673,1577.86763689575,,2513.5,2.24256344072733,2.24256344072733,1.42625656412885,1.97046114852784,1973.1,transit,703.6,car,420,40.3069926094372,transit,703.6,car,420,40.3069926094372,transit,1106.3,car,840,24.0712284190545,1680,34.895071212643,0,703.6,703.6,1106.3,837.833333333333,6807.2,yes,yes,6807.2,yes,yes,7612.6,no,yes,7075.66666666667,no,no,yes,1,no,yes,no,yes,no,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes
136,Capitol,Capitol_Schanz-HBF(13)H2_15.csv,1301.2,361.7,99.5,0,Capitol_Schanz-HBF(13)H2_18.csv,829.8,190.3,99.5,1,Capitol_Schanz-HBF(13)H2_21.csv,1181.2,361.7,99.5,0,419.6,1264.5,Aachen,POINT (6.0785622615040165 50.76650294890928),2460.59825318673,1467.46978766253,,3312.2,1.12778188415503,1.76846202417755,1.24235505220329,1.37953298684529,2892.6,foot,1264.5,car,840,35.4442053489087,transit,829.8,car,540,34.9240780911063,transit,1181.2,car,720,39.0450389434473,2100,36.4711074611541,1,1264.5,829.8,1181.2,1091.83333333333,7929,no,yes,7059.6,no,yes,7762.4,no,yes,7583.66666666667,no,no,yes,1,no,yes,no,yes,no,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes
137,,None_Schanz-HBF(13)H2_15.csv,603,190.3,172.7,0,None_Schanz-HBF(13)H2_18.csv,603,190.3,172.7,0,None_Schanz-HBF(13)H2_21.csv,543,190.3,172.7,0,315.2,773.5,Aachen,POINT (6.0785622615040165 50.76650294890928),2460.59825318673,862.49172834833,,1749,1.43033454120784,1.43033454120784,1.58838255681092,1.48301721307554,1433.8,transit,603,car,240,60.1990049751244,transit,603,car,240,60.1990049751244,transit,543,car,180,66.8508287292818,660,62.4162795598435,0,603,603,543,583,6606,yes,yes,6606,yes,yes,6486,yes,yes,6566,yes,1,yes,1,no,yes,no,yes,no,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes
138,Cineplex Aachen,Cineplex Aachen_Schanz-HBF(13)H2_15.csv,420.3,190.3,170,0,Cineplex Aachen_Schanz-HBF(13)H2_18.csv,420.3,190.3,170,0,Cineplex Aachen_Schanz-HBF(13)H2_21.csv,420.3,190.3,170,0,201.3,750.2,Aachen,POINT (6.0785622615040165 50.76650294890928),2460.59825318673,811.97489994082,,1260.9,1.93189364725391,1.93189364725391,1.93189364725391,1.93189364725391,1059.6,transit,420.3,car,60,85.7244825124911,transit,420.3,car,60,85.7244825124911,transit,420.3,car,60,85.7244825124911,180,85.7244825124911,0,420.3,420.3,420.3,420.3,6240.6,yes,yes,6240.6,yes,yes,6240.6,yes,yes,6240.6,yes,1,yes,1,yes,yes,yes,yes,yes,yes,yes,1,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes
139,Eden Palast,Eden Palast_Schanz-HBF(13)H2_15.csv,431.8,190.5,121.3,0,Eden Palast_Schanz-HBF(13)H2_18.csv,431.8,190.5,121.3,0,Eden Palast_Schanz-HBF(13)H2_21.csv,594.9,190.3,224.6,0,192.4,711.8,Aachen,POINT (6.0785622615040165 50.76650294890928),2460.59825318673,687.104390794618,,1458.5,1.59125611578189,1.59125611578189,1.15499141165678,1.44583454774018,1266.1,transit,431.8,car,120,72.2093561834183,transit,431.8,car,120,72.2093561834183,transit,594.9,car,180,69.7428139183056,420,71.3871754283807,0,431.8,431.8,594.9,486.166666666667,6263.6,yes,yes,6263.6,yes,yes,6589.8,yes,yes,6372.33333333333,yes,1,yes,1,yes,yes,yes,yes,no,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,no,yes,no,yes,yes,yes,yes,yes,no,yes,yes,yes
140,Apollo Kino,Apollo Kino_AachenBushofH5_15.csv,547.7,111.9,75.8,0,Apollo Kino_AachenBushofH5_18.csv,547.7,111.9,75.8,1,Apollo Kino_AachenBushofH5_21.csv,654.8,279,75.8,1,446.4,960.5,Aachen,POINT (6.091083776358926 50.77502009985853),2298.24654803619,1062.51539742735,,1750.2,1.93995873183741,1.93995873183741,1.62265637969968,1.83419128112483,1303.8,transit,547.7,car,360,34.2705860872741,transit,547.7,car,360,34.2705860872741,transit,654.8,car,300,54.184483811851,1020,40.9085519954664,2,547.7,547.7,654.8,583.4,6495.4,yes,yes,6495.4,yes,yes,6709.6,yes,yes,6566.8,yes,1,yes,1,no,yes,no,yes,no,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes
141,Capitol,Capitol_AachenBushofH5_15.csv,391.4,111.9,99.5,0,Capitol_AachenBushofH5_18.csv,391.4,111.9,99.5,0,Capitol_AachenBushofH5_21.csv,438.5,279,99.5,0,325.6,397.2,Aachen,POINT (6.091083776358926 50.77502009985853),2298.24654803619,454.923652236175,,1221.3,1.16229854940259,1.16229854940259,1.03745416701522,1.12068375527347,895.7,transit,391.4,car,180,54.0112416964742,transit,391.4,car,180,54.0112416964742,foot,397.2,car,60,86.3169897377423,420,64.7798243768969,0,391.4,391.4,397.2,393.333333333333,6182.8,yes,yes,6182.8,yes,yes,6194.4,yes,yes,6186.66666666667,yes,1,yes,1,yes,yes,yes,yes,yes,yes,yes,1,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes
142,,None_AachenBushofH5_15.csv,571.8,240.2,151.6,0,None_AachenBushofH5_18.csv,571.8,240.2,151.6,0,None_AachenBushofH5_21.csv,588.8,296.1,172.7,0,221.2,447.9,Aachen,POINT (6.091083776358926 50.77502009985853),2298.24654803619,482.283958604899,,1732.4,0.84344868591273,0.84344868591273,0.819096397087125,0.835331256304195,1511.2,foot,447.9,car,180,68.5204616998951,foot,447.9,car,180,68.5204616998951,foot,447.9,car,120,79.6195652173913,480,72.2201628723938,0,447.9,447.9,447.9,447.9,6295.8,yes,yes,6295.8,yes,yes,6295.8,yes,yes,6295.8,yes,1,yes,1,yes,yes,yes,yes,yes,yes,yes,1,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes
143,Cineplex Aachen,Cineplex Aachen_AachenBushofH5_15.csv,596.9,240.2,176.7,0,Cineplex Aachen_AachenBushofH5_18.csv,596.9,240.2,176.7,0,Cineplex Aachen_AachenBushofH5_21.csv,586.1,296.1,170,0,150.5,434.5,Aachen,POINT (6.091083776358926 50.77502009985853),2298.24654803619,490.060471741525,,1779.9,0.821009334463939,0.821009334463939,0.836137982838295,0.826052217255391,1629.4,foot,434.5,car,180,69.8441950075389,foot,434.5,car,180,69.8441950075389,foot,434.5,car,120,79.5256782119092,480,73.0713560756624,0,434.5,434.5,434.5,434.5,6269,yes,yes,6269,yes,yes,6269,yes,yes,6269,yes,1,yes,1,yes,yes,yes,yes,yes,yes,yes,1,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes
