,cinema_name,15_total_route,15_total_duration,15_walk_to,15_walk_from,15_total_changes,18_total_route,18_total_duration,18_walk_to,18_walk_from,18_total_changes,21_total_route,21_total_duration,21_walk_to,21_walk_from,21_total_changes,car_duration,foot_duration,area,start_location,distance_start_centroid,distance_start_cinema,geometry,average duration,15_speed,18_speed,21_speed,average speed,average duration difference to car,15_fastest_mode,15_trip_duration,15_fastest_overall_mode,15_transit_dur,15_walk_share,18_fastest_mode,18_trip_duration,18_fastest_overall_mode,18_transit_dur,18_walk_share,21_fastest_mode,21_trip_duration,21_fastest_overall_mode,21_transit_dur,21_walk_share,average transit duration,average walk share,average changes,15_chosen_route,18_chosen_route,21_chosen_route,average_chosen_route,15_visit_time,15_likely_women,15_possible_women,18_visit_time,18_likely_women,18_possible_women,21_visit_time,21_likely_women,21_possible_women,average_visit_time,average_likely_women,dummy_women,average_possible_women,dummy_possible_women,15_likely_men,15_possible_men,18_likely_men,18_possible_men,21_likely_men,21_possible_men,average_likely_men,dummy_men,average_possible_men,15_likely_children 10-17,15_possible_children 10-17,18_likely_children 10-17,18_possible_children 10-17,21_likely_children 10-17,21_possible_children 10-17,average_likely_children 10-17,average_possible_children 10-17,15_likely_45-64,15_possible_45-64,18_likely_45-64,18_possible_45-64,21_likely_45-64,21_possible_45-64,average_likely_45-64,average_possible_45-64,15_likely_65 and over,15_possible_65 and over,18_likely_65 and over,18_possible_65 and over,21_likely_65 and over,21_possible_65 and over,average_likely_65 and over,average_possible_65 and over
10,Apollo Kino,Apollo Kino_Scheibenstraßelw_15.csv,1078.9,463.1,75.8,1,Apollo Kino_Scheibenstraßelw_18.csv,1078.9,463.1,75.8,1,Apollo Kino_Scheibenstraßelw_21.csv,1065.8,450,75.8,2,483.2,1919.8,Aachen,POINT (6.104966414083623 50.77082564432684),1409.76853346326,2137.69366853819,,3223.6,1.98136404535934,1.98136404535934,2.00571745969055,1.98948185013641,2740.4,transit,1078.9,car,540,49.949022152192,transit,1078.9,car,540,49.949022152192,transit,1065.8,car,540,49.3338337399137,1620,49.7439593480993,4,1078.9,1078.9,1065.8,1074.53333333333,7557.8,no,yes,7557.8,no,yes,7531.6,no,yes,7549.06666666667,no,no,yes,1,no,yes,no,yes,no,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes
11,Capitol,Capitol_Scheibenstraßelw_15.csv,982.6,463.1,99.5,2,Capitol_Scheibenstraßelw_18.csv,982.6,463.1,99.5,2,Capitol_Scheibenstraßelw_21.csv,883.9,184.4,99.5,0,374.4,1302,Aachen,POINT (6.104966414083623 50.77082564432684),1409.76853346326,1494.28489081767,,2849.1,1.52074586893718,1.52074586893718,1.6905587632285,1.57735016703428,2474.7,transit,982.6,car,420,57.2562589049461,transit,982.6,car,420,57.2562589049461,transit,883.9,car,600,32.1190179884602,1440,48.8771785994508,4,982.6,982.6,883.9,949.7,7365.2,no,yes,7365.2,no,yes,7167.8,no,yes,7299.4,no,no,yes,1,no,yes,no,yes,no,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes
12,,nan_Scheibenstraßelw_15.csv,837.1,184.4,172.7,0,nan_Scheibenstraßelw_18.csv,837.1,184.4,172.7,0,nan_Scheibenstraßelw_21.csv,717.1,184.4,172.7,0,305.4,1262.5,Aachen,POINT (6.104966414083623 50.77082564432684),1409.76853346326,1435.46371508792,,2391.3,1.71480553707791,1.71480553707791,2.00176225782725,1.81045777732769,2085.9,transit,837.1,car,480,42.6591805041214,transit,837.1,car,480,42.6591805041214,transit,717.1,car,360,49.7977966810766,1320,45.0387192297731,0,837.1,837.1,717.1,797.1,7074.2,no,yes,7074.2,no,yes,6834.2,yes,yes,6994.2,no,no,yes,1,no,yes,no,yes,no,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes
13,Cineplex Aachen,Cineplex Aachen_Scheibenstraßelw_15.csv,834.4,184.4,170,0,Cineplex Aachen_Scheibenstraßelw_18.csv,834.4,184.4,170,0,Cineplex Aachen_Scheibenstraßelw_21.csv,714.4,184.4,170,0,234.7,1163.6,Aachen,POINT (6.104966414083623 50.77082564432684),1409.76853346326,1266.57685291704,,2383.2,1.51794924846242,1.51794924846242,1.77292392625566,1.60294080772683,2148.5,transit,834.4,car,480,42.4736337488015,transit,834.4,car,480,42.4736337488015,transit,714.4,car,360,49.6080627099664,1320,44.8517767358565,0,834.4,834.4,714.4,794.4,7068.8,no,yes,7068.8,no,yes,6828.8,yes,yes,6988.8,no,no,yes,1,no,yes,no,yes,no,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes
14,Eden Palast,Eden Palast_Scheibenstraßelw_15.csv,1184.4,463.1,121.3,3,Eden Palast_Scheibenstraßelw_18.csv,785.7,184.4,121.3,0,Eden Palast_Scheibenstraßelw_21.csv,665.7,184.4,121.3,0,326.3,1350.5,Aachen,POINT (6.104966414083623 50.77082564432684),1409.76853346326,1385.10569179834,,2635.8,1.16945769317658,1.76289384217684,2.08067551719745,1.67100901751695,2309.5,transit,1184.4,car,600,49.3414387031408,transit,785.7,car,480,38.9079801450935,transit,665.7,car,360,45.9215863001352,1440,44.7236683827899,3,1184.4,785.7,665.7,878.6,7768.8,no,yes,6971.4,no,yes,6731.4,yes,yes,7157.2,no,no,yes,1,no,yes,no,yes,no,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes
15,Apollo Kino,Apollo Kino_CarolusThermensw_15.csv,1310,214.2,75.8,2,Apollo Kino_CarolusThermensw_18.csv,1310,214.2,75.8,2,Apollo Kino_CarolusThermensw_21.csv,1310,214.2,75.8,2,270.7,1271.5,Aachen,POINT (6.0933840986466485 50.786702836388514),3350.75704478432,1218.32577330499,,3930,0.930019674278618,0.930019674278618,0.930019674278618,0.930019674278618,3659.3,foot,1271.5,car,1020,22.1374045801527,foot,1271.5,car,1020,22.1374045801527,foot,1271.5,car,1020,22.1374045801527,3060,22.1374045801527,6,1271.5,1271.5,1271.5,1271.5,7943,no,yes,7943,no,yes,7943,no,yes,7943,no,no,yes,1,no,yes,no,yes,no,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes
16,Capitol,Capitol_CarolusThermensw_15.csv,2231.9,272.4,99.5,3,Capitol_CarolusThermensw_18.csv,1931.9,272.4,99.5,5,Capitol_CarolusThermensw_21.csv,1691.9,272.4,99.5,1,222.1,1035,Aachen,POINT (6.0933840986466485 50.786702836388514),3350.75704478432,1011.35080417765,,5855.7,0.453134461300977,0.523500597431363,0.597760390198977,0.524798482977106,5633.6,foot,1035,car,1860,16.6629329271025,foot,1035,car,1560,19.2504788032507,foot,1035,car,1320,21.9812045629174,4740,19.2982054310902,9,1035,1035,1035,1035,7470,no,yes,7470,no,yes,7470,no,yes,7470,no,no,yes,1,no,yes,no,yes,no,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes
17,,nan_CarolusThermensw_15.csv,806.9,214.2,172.7,0,nan_CarolusThermensw_18.csv,806.9,214.2,172.7,0,nan_CarolusThermensw_21.csv,806.9,214.2,172.7,0,560.7,1442.9,Aachen,POINT (6.0933840986466485 50.786702836388514),3350.75704478432,1624.72312707917,,2420.7,2.01353715092226,2.01353715092226,2.01353715092226,2.01353715092226,1860,transit,806.9,car,420,47.9489403891436,transit,806.9,car,420,47.9489403891436,transit,806.9,car,420,47.9489403891436,1260,47.9489403891436,0,806.9,806.9,806.9,806.9,7013.8,no,yes,7013.8,no,yes,7013.8,no,yes,7013.8,no,no,yes,1,no,yes,no,yes,no,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes
18,Cineplex Aachen,Cineplex Aachen_CarolusThermensw_15.csv,804.2,214.2,170,0,Cineplex Aachen_CarolusThermensw_18.csv,804.2,214.2,170,0,Cineplex Aachen_CarolusThermensw_21.csv,804.2,214.2,170,0,489.9,1632.7,Aachen,POINT (6.0933840986466485 50.786702836388514),3350.75704478432,1756.21547028969,,2412.6,2.18380436494615,2.18380436494615,2.18380436494615,2.18380436494615,1922.7,transit,804.2,car,420,47.7741855259886,transit,804.2,car,420,47.7741855259886,transit,804.2,car,420,47.7741855259886,1260,47.7741855259886,0,804.2,804.2,804.2,804.2,7008.4,no,yes,7008.4,no,yes,7008.4,no,yes,7008.4,no,no,yes,1,no,yes,no,yes,no,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes
19,Eden Palast,Eden Palast_CarolusThermensw_15.csv,815.5,214.2,121.3,1,Eden Palast_CarolusThermensw_18.csv,815.5,214.2,121.3,1,Eden Palast_CarolusThermensw_21.csv,815.5,214.2,121.3,1,581.6,1684.5,Aachen,POINT (6.0933840986466485 50.786702836388514),3350.75704478432,1843.2506170829,,2446.5,2.26027052983801,2.26027052983801,2.26027052983801,2.26027052983801,1864.9,transit,815.5,car,480,41.140404659718,transit,815.5,car,480,41.140404659718,transit,815.5,car,480,41.140404659718,1440,41.140404659718,3,815.5,815.5,815.5,815.5,7031,no,yes,7031,no,yes,7031,no,yes,7031,no,no,yes,1,no,yes,no,yes,no,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes
