,cinema_name,15_total_route,15_total_duration,15_walk_to,15_walk_from,15_total_changes,18_total_route,18_total_duration,18_walk_to,18_walk_from,18_total_changes,21_total_route,21_total_duration,21_walk_to,21_walk_from,21_total_changes,car_duration,foot_duration,area,start_location,distance_start_centroid,distance_start_cinema,geometry,average duration,15_speed,18_speed,21_speed,average speed,average duration difference to car,15_fastest_mode,15_trip_duration,15_fastest_overall_mode,15_transit_dur,15_walk_share,18_fastest_mode,18_trip_duration,18_fastest_overall_mode,18_transit_dur,18_walk_share,21_fastest_mode,21_trip_duration,21_fastest_overall_mode,21_transit_dur,21_walk_share,average transit duration,average walk share,average changes,15_chosen_route,18_chosen_route,21_chosen_route,average_chosen_route,15_visit_time,15_likely_women,15_possible_women,18_visit_time,18_likely_women,18_possible_women,21_visit_time,21_likely_women,21_possible_women,average_visit_time,average_likely_women,average_possible_women,15_likely_men,15_possible_men,18_likely_men,18_possible_men,21_likely_men,21_possible_men,average_likely_men,average_possible_men,15_likely_children 10-17,15_possible_children 10-17,18_likely_children 10-17,18_possible_children 10-17,21_likely_children 10-17,21_possible_children 10-17,average_likely_children 10-17,average_possible_children 10-17,15_likely_45-64,15_possible_45-64,18_likely_45-64,18_possible_45-64,21_likely_45-64,21_possible_45-64,average_likely_45-64,average_possible_45-64,15_likely_65 and over,15_possible_65 and over,18_likely_65 and over,18_possible_65 and over,21_likely_65 and over,21_possible_65 and over,average_likely_65 and over,average_possible_65 and over
10,Kino Breitwand Schloss Seefeld,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,244.6,1470.3,Seefeld,POINT (11.189190485664847 48.034952881816054),685121.7935549082,1207.309091725828,,,,,,,,foot,1470.3,car,,,foot,1470.3,car,,,foot,1470.3,car,,,,,,1470.3,1470.3,1470.3,1470.3,8340.6,no,yes,8340.6,no,yes,8340.6,no,yes,8340.6,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes
11,Kino Breitwand Schloss Seefeld,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,122.5,972.0,Seefeld,POINT (11.19551725 48.037685899999985),684898.9379675898,995.3004315326034,,,,,,,,foot,972.0,car,,,foot,972.0,car,,,foot,972.0,car,,,,,,972.0,972.0,972.0,972.0,7344.0,no,yes,7344.0,no,yes,7344.0,no,yes,7344.0,no,yes,no,yes,no,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes
12,Kino Breitwand Schloss Seefeld,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,138.4,935.2,Seefeld,POINT (11.21017335739118 48.04063079293345),684755.3304747882,1170.987888739604,,,,,,,,foot,935.2,car,,,foot,935.2,car,,,foot,935.2,car,,,,,,935.2,935.2,935.2,935.2000000000002,7270.4,no,yes,7270.4,no,yes,7270.4,no,yes,7270.400000000001,no,yes,no,yes,no,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes
13,Kino Breitwand Schloss Seefeld,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,181.8,1404.8,Seefeld,POINT (11.215252081507579 48.04150184291066),684722.3356965987,1439.0799596438535,,,,,,,,foot,1404.8,car,,,foot,1404.8,car,,,foot,1404.8,car,,,,,,1404.8,1404.8,1404.8,1404.8,8209.6,no,yes,8209.6,no,yes,8209.6,no,yes,8209.6,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes
14,Kino Breitwand Schloss Seefeld,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,81.1,334.6,Seefeld,POINT (11.20930598365517 48.0320436987365),685686.3818494148,401.5490512266813,,,,,,,,foot,334.6,car,,,foot,334.6,car,,,foot,334.6,car,,,,,,334.6,334.6,334.6,334.6,6069.2,yes,yes,6069.2,yes,yes,6069.2,yes,yes,6069.2,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes
15,Kino Breitwand Schloss Seefeld,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,400.1,3190.2,Seefeld,POINT (11.2385772 48.054889300000006),683544.4005949782,3699.79775101685,,,,,,,,foot,3190.2,car,,,foot,3190.2,car,,,foot,3190.2,car,,,,,,3190.2,3190.2,3190.2,3190.1999999999994,11780.4,no,yes,11780.4,no,yes,11780.4,no,yes,11780.399999999998,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes
16,Kino Breitwand Schloss Seefeld,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,244.6,1329.0,Seefeld,POINT (11.219271372858737 48.04016451917471),684918.5792463808,1525.0794303768362,,,,,,,,foot,1329.0,car,,,foot,1329.0,car,,,foot,1329.0,car,,,,,,1329.0,1329.0,1329.0,1329.0,8058.0,no,yes,8058.0,no,yes,8058.0,no,yes,8058.0,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes
17,Kino Breitwand Schloss Seefeld,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,141.9,1270.9,Seefeld,POINT (11.19179695 48.038248949999996),684791.8887279499,1235.1202924751296,,,,,,,,foot,1270.9,car,,,foot,1270.9,car,,,foot,1270.9,car,,,,,,1270.9,1270.9,1270.9,1270.9,7941.8,no,yes,7941.8,no,yes,7941.8,no,yes,7941.8,no,yes,no,yes,no,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes
18,Kino Breitwand Schloss Seefeld,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,66.6,437.8,Seefeld,POINT (11.210012933799147 48.03286744690984),685604.7215801657,485.83326431879567,,,,,,,,foot,437.8,car,,,foot,437.8,car,,,foot,437.8,car,,,,,,437.8,437.8,437.8,437.8,6275.6,yes,yes,6275.6,yes,yes,6275.6,yes,yes,6275.6,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes
19,Kino Breitwand Schloss Seefeld,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,470.2,2141.0,Seefeld,POINT (11.182245733377323 48.0263810001893),685978.1274585495,1712.609508138223,,,,,,,,foot,2141.0,car,,,foot,2141.0,car,,,foot,2141.0,car,,,,,,2141.0,2141.0,2141.0,2141.0,9682.0,no,yes,9682.0,no,yes,9682.0,no,yes,9682.0,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes
