,cinema_name,15_total_route,15_total_duration,15_walk_to,15_walk_from,15_total_changes,18_total_route,18_total_duration,18_walk_to,18_walk_from,18_total_changes,21_total_route,21_total_duration,21_walk_to,21_walk_from,21_total_changes,car_duration,foot_duration,area,start_location,distance_start_centroid,distance_start_cinema,geometry,average duration,15_speed,18_speed,21_speed,average speed,average duration difference to car,15_fastest_mode,15_trip_duration,15_fastest_overall_mode,15_transit_dur,15_walk_share,18_fastest_mode,18_trip_duration,18_fastest_overall_mode,18_transit_dur,18_walk_share,21_fastest_mode,21_trip_duration,21_fastest_overall_mode,21_transit_dur,21_walk_share,average transit duration,average walk share,average changes,15_chosen_route,18_chosen_route,21_chosen_route,average_chosen_route,15_visit_time,15_likely_women,15_possible_women,18_visit_time,18_likely_women,18_possible_women,21_visit_time,21_likely_women,21_possible_women,average_visit_time,average_likely_women,average_possible_women,15_likely_men,15_possible_men,18_likely_men,18_possible_men,21_likely_men,21_possible_men,average_likely_men,average_possible_men,15_likely_children 10-17,15_possible_children 10-17,18_likely_children 10-17,18_possible_children 10-17,21_likely_children 10-17,21_possible_children 10-17,average_likely_children 10-17,average_possible_children 10-17,15_likely_45-64,15_possible_45-64,18_likely_45-64,18_possible_45-64,21_likely_45-64,21_possible_45-64,average_likely_45-64,average_possible_45-64,15_likely_65 and over,15_possible_65 and over,18_likely_65 and over,18_possible_65 and over,21_likely_65 and over,21_possible_65 and over,average_likely_65 and over,average_possible_65 and over
10,3-Seiten-Kino,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,760.5,4716.2,Osnabrück,POINT (8.005411426610497 52.256298067489325),3778.462363230007,4471.492956476059,,,,,,,,foot,4716.2,car,,,foot,4716.2,car,,,foot,4716.2,car,,,,,,4716.2,4716.2,4716.2,4716.2,14832.4,no,yes,14832.4,no,yes,14832.4,no,yes,14832.4,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes
11,Cinema Arthouse,Cinema Arthouse_LipperStraße_15.csv,1647.1,543.6,203.5,0.0,Cinema Arthouse_LipperStraße_18.csv,1647.1,543.6,203.5,0.0,no routes possible to this cinema,,,,,767.6,3670.5,Osnabrück,POINT (8.005411426610497 52.256298067489325),3778.462363230007,3868.3917254182575,,,2.348607689525989,2.348607689525989,,,,transit,1647.1,car,899.9999999999999,45.358508894420495,transit,1647.1,car,899.9999999999999,45.358508894420495,foot,3670.5,car,,,,,,1647.1,1647.1,3670.5,2321.5666666666666,8694.2,no,yes,8694.2,no,yes,12741.0,no,yes,10043.133333333333,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes
12,Filmtheater Hasetor,Filmtheater Hasetor_Graf-Stauffenberg-Gymn._15.csv,1735.1,469.1,6.0,1.0,Filmtheater Hasetor_Graf-Stauffenberg-Gymn._18.csv,1735.1,469.1,6.0,1.0,Filmtheater Hasetor_Graf-Stauffenberg-Gymn._21.csv,1615.1,469.1,6.0,1.0,574.2,2393.9,Osnabrück,POINT (8.043324945065656 52.25377890090723),2746.300568577799,3017.4557306163947,,5085.299999999999,1.7390673336501612,1.7390673336501612,1.86827795840282,1.7821375419010477,4511.099999999999,transit,1735.1,car,1260.0,27.381707106218663,transit,1735.1,car,1260.0,27.381707106218663,transit,1615.1,car,1140.0,29.41613522382515,3660.0,28.05984981208749,3.0,1735.1,1735.1,1615.1,1695.0999999999997,8870.2,no,yes,8870.2,no,yes,8630.2,no,yes,8790.199999999999,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes
13,Hall of Fame,Hall of Fame_Graf-Stauffenberg-Gymn._15.csv,1468.9,261.0,67.9,2.0,Hall of Fame_Graf-Stauffenberg-Gymn._18.csv,1580.7,261.0,119.7,1.0,Hall of Fame_Graf-Stauffenberg-Gymn._21.csv,1348.2,328.5,119.7,1.0,393.5,1854.0,Osnabrück,POINT (8.043324945065656 52.25377890090723),2746.300568577799,2305.4525215728736,,4397.8,1.569509511588858,1.4585009942258955,1.7100226387575088,1.5793443815240875,4004.3,transit,1468.9,car,1140.0,22.390904758662945,transit,1580.7,car,1200.0,24.084266464224708,transit,1348.2,car,900.0,33.244325767690256,3240.0,26.57316566352597,4.0,1468.9,1580.7,1348.2,1465.9333333333334,8337.8,no,yes,8561.4,no,yes,8096.4,no,yes,8331.866666666667,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes
14,3-Seiten-Kino,3-Seiten-Kino_Graf-Stauffenberg-Gymn._15.csv,2441.7,608.0,333.7,1.0,3-Seiten-Kino_Graf-Stauffenberg-Gymn._18.csv,2441.7,608.0,333.7,1.0,3-Seiten-Kino_Graf-Stauffenberg-Gymn._21.csv,2261.7,608.0,333.7,1.0,681.0,1898.3,Osnabrück,POINT (8.043324945065656 52.25377890090723),2746.300568577799,1879.5110419467967,,7145.099999999999,0.7697551058470725,0.7697551058470725,0.8310169527111451,0.79017572146843,6464.099999999999,foot,1898.3,car,1499.9999999999998,38.56739157144613,foot,1898.3,car,1499.9999999999998,38.56739157144613,foot,1898.3,car,1319.9999999999998,41.63682185966309,4319.999999999999,39.59053500085179,3.0,1898.3,1898.3,1898.3,1898.3,9196.6,no,yes,9196.6,no,yes,9196.6,no,yes,9196.6,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes
15,Cinema Arthouse,Cinema Arthouse_Graf-Stauffenberg-Gymn._15.csv,1500.1,608.0,232.1,0.0,Cinema Arthouse_Graf-Stauffenberg-Gymn._18.csv,1500.1,608.0,232.1,0.0,Cinema Arthouse_Graf-Stauffenberg-Gymn._21.csv,1380.1,608.0,232.1,0.0,522.1,2265.9,Osnabrück,POINT (8.043324945065656 52.25377890090723),2746.300568577799,2682.525971046436,,4380.299999999999,1.788231431935495,1.788231431935495,1.943718550138712,1.8400604713365676,3858.2,transit,1500.1,car,659.9999999999999,56.00293313779081,transit,1500.1,car,659.9999999999999,56.00293313779081,transit,1380.1,car,539.9999999999999,60.872400550684745,1859.9999999999995,57.62608894208879,0.0,1500.1,1500.1,1380.1,1460.0999999999997,8400.2,no,yes,8400.2,no,yes,8160.2,no,yes,8320.199999999999,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes
16,Filmtheater Hasetor,Filmtheater Hasetor_KinderhospitalJugendhbg._15.csv,1000.0,214.0,6.0,0.0,Filmtheater Hasetor_KinderhospitalJugendhbg._18.csv,1000.0,214.0,6.0,0.0,Filmtheater Hasetor_KinderhospitalJugendhbg._21.csv,1180.0,214.0,6.0,0.0,508.4,2332.3,Osnabrück,POINT (8.067155009595895 52.25852846276014),2577.2730358702256,2954.9595321973457,,3180.0,2.954959532197346,2.954959532197346,2.504202993387581,2.804707352594091,2671.6,transit,1000.0,car,780.0,22.0,transit,1000.0,car,780.0,22.0,transit,1180.0,car,960.0,18.64406779661017,2520.0,20.88135593220339,0.0,1000.0,1000.0,1180.0,1060.0,7400.0,no,yes,7400.0,no,yes,7760.0,no,yes,7520.0,no,yes,no,yes,no,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes
17,Hall of Fame,Hall of Fame_KinderhospitalJugendhbg._15.csv,1496.0,255.7,100.3,2.0,Hall of Fame_KinderhospitalJugendhbg._18.csv,1496.0,255.7,100.3,2.0,Hall of Fame_KinderhospitalJugendhbg._21.csv,671.7,255.7,56.0,0.0,323.9,1379.3,Osnabrück,POINT (8.067155009595895 52.25852846276014),2577.2730358702256,1628.9854089652745,,3663.7,1.0888939899500498,1.0888939899500498,2.4251680943356773,1.5343186914119256,3339.8,foot,1379.3,car,1140.0,23.796791443850267,foot,1379.3,car,1140.0,23.796791443850267,transit,671.7,car,360.00000000000006,46.40464493077266,2640.0,31.332742606157733,4.0,1379.3,1379.3,671.7,1143.4333333333334,8158.6,no,yes,8158.6,no,yes,6743.4,yes,yes,7686.866666666667,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,yes,yes,yes,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes
18,3-Seiten-Kino,3-Seiten-Kino_KinderhospitalJugendhbg._15.csv,649.4,255.7,333.7,0.0,3-Seiten-Kino_KinderhospitalJugendhbg._18.csv,649.4,255.7,333.7,0.0,3-Seiten-Kino_KinderhospitalJugendhbg._21.csv,607.7,214.0,333.7,0.0,490.3,928.8,Osnabrück,POINT (8.067155009595895 52.25852846276014),2577.2730358702256,1015.3667849053464,,1906.5,1.56354601925677,1.56354601925677,1.670835584836838,1.5993092077834592,1416.2,transit,649.4,car,60.0,90.76070218663382,transit,649.4,car,60.0,90.76070218663382,transit,607.7,car,60.0,90.12670725687016,180.0,90.54937054337928,0.0,649.4,649.4,607.7,635.5,6698.8,yes,yes,6698.8,yes,yes,6615.4,yes,yes,6671.0,yes,yes,no,yes,no,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes
19,Cinema Arthouse,Cinema Arthouse_KinderhospitalJugendhbg._15.csv,1046.1,214.0,232.1,0.0,Cinema Arthouse_KinderhospitalJugendhbg._18.csv,1046.1,214.0,232.1,0.0,Cinema Arthouse_KinderhospitalJugendhbg._21.csv,986.1,214.0,232.1,0.0,452.6,1959.3,Osnabrück,POINT (8.067155009595895 52.25852846276014),2577.2730358702256,2403.208660065124,,3078.3,2.2973029921280226,2.2973029921280226,2.437084129464683,2.343896704573576,2625.7,transit,1046.1,car,599.9999999999999,42.64410668196158,transit,1046.1,car,599.9999999999999,42.64410668196158,transit,986.1,car,540.0,45.23881959233344,1739.9999999999998,43.50901098541887,0.0,1046.1,1046.1,986.1,1026.1,7492.2,no,yes,7492.2,no,yes,7372.2,no,yes,7452.2,no,yes,no,yes,no,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes
20,Filmtheater Hasetor,Filmtheater Hasetor_Landwehrstraße_15.csv,1356.4,390.4,6.0,0.0,Filmtheater Hasetor_Landwehrstraße_18.csv,3198.3,912.3,6.0,2.0,Filmtheater Hasetor_Landwehrstraße_21.csv,6111.6,2172.7,278.9,2.0,791.1,4064.1,Osnabrück,POINT (7.975933523824302 52.300551449563606),5474.671710068336,5119.945726984541,,10666.3,3.774657716738824,1.6008334824702313,0.8377422813967766,2.0710778268686103,9875.2,transit,1356.4,car,960.0,29.224417575936297,transit,3198.3,car,2280.0,28.71212831816903,foot,4064.1,car,3660.000000000001,40.11388179854702,6900.0,32.68347589755078,4.0,1356.4,3198.3,4064.1,2872.933333333334,8112.8,no,yes,11796.6,no,yes,13528.2,no,yes,11145.866666666669,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes
21,Hall of Fame,Hall of Fame_Landwehrstraße_15.csv,3068.3,912.3,56.0,2.0,Hall of Fame_Landwehrstraße_18.csv,2126.4,390.4,56.0,0.0,Hall of Fame_Landwehrstraße_21.csv,2246.4,390.4,56.0,1.0,965.5,5157.5,Osnabrück,POINT (7.975933523824302 52.300551449563606),5474.671710068336,6466.594816126949,,7441.1,2.107549723340921,3.0410998947173384,2.8786479772644893,2.675765865107583,6475.6,transit,3068.3,car,2100.0,31.55819183261089,transit,2126.4,car,1680.0,20.993227990970656,transit,2246.4,car,1800.0,19.87179487179487,5580.0,24.141071565125472,3.0,3068.3,2126.4,2246.4,2480.366666666667,11536.6,no,yes,9652.8,no,yes,9892.8,no,yes,10360.733333333334,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes
22,3-Seiten-Kino,3-Seiten-Kino_Landwehrstraße_15.csv,3124.1,390.4,333.7,1.0,3-Seiten-Kino_Landwehrstraße_18.csv,3124.1,390.4,333.7,2.0,3-Seiten-Kino_Landwehrstraße_21.csv,3124.1,390.4,333.7,1.0,1422.3,7024.9,Osnabrück,POINT (7.975933523824302 52.300551449563606),5474.671710068336,8564.295451626878,,9372.3,2.741364057369124,2.741364057369124,2.741364057369124,2.741364057369124,7949.999999999999,transit,3124.1,car,2400.0,23.17787522806568,transit,3124.1,car,2400.0,23.17787522806568,transit,3124.1,car,2400.0,23.17787522806568,7200.0,23.17787522806568,4.0,3124.1,3124.1,3124.1,3124.1,11648.2,no,yes,11648.2,no,yes,11648.2,no,yes,11648.2,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes
23,Cinema Arthouse,Cinema Arthouse_Landwehrstraße_15.csv,2542.5,390.4,232.1,1.0,Cinema Arthouse_Landwehrstraße_18.csv,2542.5,390.4,232.1,2.0,Cinema Arthouse_Landwehrstraße_21.csv,2273.9,390.4,203.5,1.0,865.2,4554.3,Osnabrück,POINT (7.975933523824302 52.300551449563606),5474.671710068336,5685.367388168398,,7358.9,2.2361326993779342,2.2361326993779342,2.5002715106945765,2.324178969816815,6493.7,transit,2542.5,car,1920.0,24.48377581120944,transit,2542.5,car,1920.0,24.48377581120944,transit,2273.9,car,1680.0,26.11812304850697,5520.0,25.02855822364195,4.0,2542.5,2542.5,2273.9,2452.9666666666667,10485.0,no,yes,10485.0,no,yes,9947.8,no,yes,10305.933333333334,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes
24,Filmtheater Hasetor,Filmtheater Hasetor_AmNahnerFriedhof_15.csv,1827.0,621.0,6.0,0.0,Filmtheater Hasetor_AmNahnerFriedhof_18.csv,1820.3,674.3,6.0,1.0,Filmtheater Hasetor_AmNahnerFriedhof_21.csv,1707.0,621.0,6.0,1.0,859.5,3790.5,Osnabrück,POINT (8.075702746919154 52.240307911492465),4645.597343198626,5012.843716759242,,5354.3,2.7437568236230114,2.753855802208011,2.9366395528759472,2.811417392902323,4494.8,transit,1827.0,car,1200.0,34.31855500821018,transit,1820.3,car,1140.0,37.37296050101632,transit,1707.0,car,1080.0,36.7311072056239,3420.0,36.140874238283466,2.0,1827.0,1820.3,1707.0,1784.7666666666667,9054.0,no,yes,9040.6,no,yes,8814.0,no,yes,8969.533333333333,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes
25,Hall of Fame,Hall of Fame_AmNahnerFriedhof_15.csv,1930.3,674.3,56.0,3.0,Hall of Fame_AmNahnerFriedhof_18.csv,1577.0,621.0,56.0,3.0,Hall of Fame_AmNahnerFriedhof_21.csv,1697.0,621.0,56.0,1.0,675.0,3065.4,Osnabrück,POINT (8.075702746919154 52.240307911492465),4645.597343198626,3735.0567195165527,,5204.3,1.934961777711523,2.368457019351016,2.2009762637104022,2.1681316869243137,4529.3,transit,1930.3,car,1200.0,37.83349738382635,transit,1577.0,car,900.0,42.9296131896005,transit,1697.0,car,1020.0,39.8939304655274,3120.0,40.21901367965142,7.0,1930.3,1577.0,1697.0,1734.7666666666667,9260.6,no,yes,8554.0,no,yes,8794.0,no,yes,8869.533333333333,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes
26,3-Seiten-Kino,3-Seiten-Kino_AmNahnerFriedhof_15.csv,1014.7,621.0,333.7,0.0,3-Seiten-Kino_AmNahnerFriedhof_18.csv,1014.7,621.0,333.7,0.0,3-Seiten-Kino_AmNahnerFriedhof_21.csv,1014.7,621.0,333.7,0.0,314.5,984.7,Osnabrück,POINT (8.075702746919154 52.240307911492465),4645.597343198626,1101.3933114918834,,3044.1000000000004,1.0854373819768242,1.0854373819768242,1.0854373819768242,1.0854373819768242,2729.6000000000004,foot,984.7,car,60.0,94.0869222430275,foot,984.7,car,60.0,94.0869222430275,foot,984.7,car,60.0,94.0869222430275,180.0,94.0869222430275,0.0,984.7,984.7,984.7,984.7000000000002,7369.4,no,yes,7369.4,no,yes,7369.4,no,yes,7369.400000000001,no,yes,no,yes,no,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes
